DEWP,TEMP,PRES,Iws,Ir,year,month,day,hour,cbwd,Is,pm2.5
12,31.0,1010.0,3.58,0,a1,b5,c24,d16,SE,i0,22.0
19,27.0,1006.0,1.79,0,a3,b6,c10,d14,cv,i0,44.0
-12,17.0,1027.0,1.79,0,a3,b9,c14,d15,SE,i0,15.0
21,25.0,1007.0,44.27,0,a3,b6,c13,d2,SE,i0,92.0
3,15.0,1027.0,33.97,0,a1,b10,c7,d12,NW,i0,25.0
19,21.0,1008.0,0.89,0,a2,b6,c15,d5,cv,i0,68.0
20,26.0,1010.0,19.22,0,a0,b8,c4,d20,SE,i0,117.0
15,22.0,1020.0,9.84,0,a4,b9,c9,d16,SE,i0,261.0
1,2.0,1017.0,0.89,0,a0,b10,c5,d6,cv,i0,147.0
-2,14.0,1027.0,19.21,0,a0,b9,c28,d21,SE,i0,49.0
4,17.0,1006.0,0.89,0,a1,b4,c14,d2,NW,i0,50.0
-7,25.0,1003.0,14.75,0,a3,b4,c19,d10,SE,i0,40.0
16,21.0,1012.0,30.41,0,a3,b8,c8,d21,SE,i0,103.0
-24,-6.0,1043.0,4.02,0,a3,b0,c2,d13,NW,i0,18.0
8,20.0,1013.0,67.04,0,a1,b4,c23,d0,SE,i0,53.0
1,4.0,1010.0,2.24,0,a0,b10,c19,d21,cv,i0,395.0
-7,-5.0,1028.0,0.89,0,a1,b1,c17,d2,NE,i0,353.0
-14,3.0,1022.0,16.98,0,a2,b1,c21,d22,NW,i0,16.0
-16,-3.0,1031.0,3.13,0,a2,b10,c22,d1,NE,i0,16.0
19,28.0,1002.0,24.15,0,a3,b6,c21,d19,SE,i0,117.0
15,26.0,1013.0,25.93,0,a2,b7,c22,d19,SE,i0,69.0
-15,-1.0,1029.0,9.84,0,a2,b1,c23,d22,NW,i0,15.0
11,28.0,1011.0,1.79,0,a0,b4,c14,d14,SE,i0,185.0
-12,-8.0,1032.0,10.74,0,a1,b11,c26,d6,NW,i0,121.0
20,28.0,1010.0,3.58,0,a0,b7,c0,d10,NW,i0,66.0
-19,-3.0,1033.0,3.13,0,a3,b1,c7,d15,SE,i0,56.0
-5,15.0,1026.0,3.13,0,a2,b9,c27,d13,SE,i0,16.0
-24,-16.0,1035.0,7.15,0,a0,b0,c6,d4,NW,i0,30.0
-22,5.0,1026.0,4.02,0,a2,b1,c10,d14,NE,i0,40.0
-4,7.0,1012.0,1.79,0,a0,b3,c28,d1,SE,i0,16.0
-21,4.0,1025.0,68.38,0,a1,b0,c30,d20,NW,i0,61.0
-21,2.0,1030.0,2.68,0,a2,b1,c9,d12,cv,i0,23.0
-6,13.0,1031.0,2.68,0,a1,b9,c24,d11,cv,i0,21.0
-5,15.0,1026.0,24.13,0,a3,b9,c13,d10,NE,i0,17.0
-19,2.0,1013.0,73.78,0,a0,b11,c25,d15,NW,i0,55.0
14,19.0,1016.0,2.67,0,a4,b8,c20,d5,cv,i0,79.0
-9,2.0,1023.0,1.79,0,a0,b2,c15,d21,NE,i0,67.0
-12,1.0,1028.0,88.52,0,a1,b1,c27,d23,NW,i0,8.0
-22,-3.0,1029.0,33.52,0,a4,b11,c4,d0,NW,i0,6.0
19,21.0,1009.0,8.94,0,a4,b8,c7,d0,NW,i0,104.0
10,11.0,1015.0,3.13,8,a4,b9,c0,d20,NW,i0,93.0
16,26.0,1011.0,3.13,0,a0,b8,c8,d13,SE,i0,211.0
9,10.0,1016.0,1.79,0,a1,b8,c20,d2,NW,i0,60.0
16,24.0,1002.0,1.79,0,a4,b6,c11,d2,NE,i0,21.0
-2,-1.0,1026.0,3.13,0,a3,b1,c24,d15,NW,i0,143.0
18,21.0,1008.0,3.58,0,a4,b7,c15,d4,NW,i0,82.0
-17,-2.0,1031.0,1.79,0,a3,b1,c14,d9,SE,i0,16.0
-10,1.0,1021.0,15.63,0,a2,b1,c26,d20,SE,i0,190.0
-9,10.0,1022.0,3.13,0,a1,b1,c18,d17,SE,i0,153.0
-5,0.0,1020.0,1.79,0,a3,b3,c5,d6,NW,i0,12.0
10,15.0,1020.0,17.89,0,a1,b9,c7,d9,NW,i0,113.0
-2,-1.0,1024.0,0.89,0,a1,b11,c1,d9,cv,i3,301.0
0,3.0,1016.0,5.37,0,a4,b10,c24,d22,SE,i0,311.0
2,18.0,1007.0,0.89,0,a1,b3,c16,d1,cv,i0,60.0
20,24.0,1009.0,1.79,0,a3,b7,c21,d22,NE,i0,141.0
-2,4.0,1019.0,8.94,0,a2,b2,c26,d3,NW,i0,261.0
11,13.0,1017.0,1.34,0,a2,b9,c24,d18,cv,i0,331.0
-3,17.0,1015.0,12.96,0,a3,b3,c1,d14,SE,i0,144.0
19,27.0,1013.0,1.79,3,a4,b7,c27,d17,SE,i0,84.0
-24,-3.0,1025.0,128.29,0,a3,b10,c26,d2,NW,i0,6.0
5,5.0,1012.0,3.58,0,a2,b9,c23,d5,NW,i0,129.0
-22,-6.0,1033.0,3.13,0,a1,b0,c19,d10,NW,i0,25.0
15,19.0,1016.0,1.78,0,a0,b9,c7,d11,cv,i0,344.0
-10,9.0,1023.0,41.55,0,a0,b11,c4,d16,NW,i0,11.0
13,14.0,1016.0,9.84,0,a1,b8,c28,d2,NW,i0,241.0
8,12.0,1018.0,33.97,0,a0,b3,c18,d22,SE,i0,155.0
4,8.0,1027.0,1.79,0,a1,b10,c7,d2,NW,i0,157.0
-6,1.0,1029.0,1.79,0,a2,b2,c8,d11,cv,i0,133.0
-9,21.0,1000.0,7.6,0,a3,b4,c11,d8,NE,i0,47.0
-20,11.0,1025.0,186.87,0,a1,b2,c23,d18,NW,i0,6.0
21,25.0,1010.0,71.97,0,a2,b6,c16,d23,SE,i0,80.0
20,22.0,1004.0,0.45,2,a0,b6,c19,d0,cv,i0,63.0
19,34.0,1008.0,3.58,0,a4,b6,c25,d13,cv,i0,80.0
17,19.0,1004.0,7.15,5,a0,b5,c12,d21,SE,i0,35.0
-17,1.0,1022.0,109.08,0,a2,b10,c27,d8,NW,i0,10.0
10,11.0,1020.0,13.41,0,a2,b8,c14,d6,NW,i0,24.0
7,9.0,1021.0,4.92,0,a1,b8,c19,d4,NW,i0,59.0
-8,0.0,1035.0,184.22,0,a0,b10,c13,d6,NW,i0,27.0
8,16.0,1015.0,108.18,0,a0,b9,c1,d20,NW,i0,10.0
-12,-8.0,1021.0,2.23,0,a1,b1,c4,d6,cv,i0,82.0
19,26.0,1003.0,0.89,0,a3,b6,c25,d5,cv,i0,40.0
20,21.0,998.0,2.67,0,a3,b5,c25,d6,cv,i0,186.0
3,6.0,1025.0,0.89,0,a4,b9,c20,d23,NE,i0,97.0
24,27.0,1004.0,11.18,0,a2,b6,c19,d2,SE,i0,167.0
-6,6.0,1031.0,30.4,0,a0,b9,c24,d2,NW,i0,10.0
-23,-12.0,1031.0,32.63,0,a0,b11,c24,d7,NW,i0,19.0
-5,2.0,1020.0,4.47,0,a2,b2,c25,d5,NE,i0,136.0
21,21.0,1013.0,3.12,0,a2,b5,c26,d6,cv,i0,130.0
-4,3.0,1032.0,6.71,0,a1,b9,c24,d1,NW,i0,8.0
-25,-11.0,1036.0,117.13,0,a1,b0,c28,d5,NW,i0,2.0
15,16.0,1014.0,1.79,0,a1,b8,c27,d4,SE,i0,246.0
-3,8.0,1030.0,4.92,0,a4,b10,c6,d20,SE,i0,57.0
9,20.0,1015.0,6.26,0,a3,b4,c7,d9,SE,i0,135.0
-19,-5.0,1028.0,1.79,0,a0,b1,c4,d3,NE,i0,47.0
7,10.0,1018.0,0.89,0,a2,b9,c17,d21,SE,i0,102.0
-12,-5.0,1028.0,1.78,0,a4,b1,c10,d21,cv,i0,204.0
2,17.0,1018.0,1.78,0,a3,b4,c0,d8,cv,i0,45.0
17,29.0,1010.0,3.58,0,a4,b7,c16,d11,NW,i0,44.0
12,13.0,1000.0,1.78,0,a1,b3,c29,d0,cv,i0,178.0
21,25.0,1008.0,2.67,0,a1,b5,c18,d9,cv,i0,198.0
-13,13.0,1025.0,8.94,0,a1,b2,c24,d16,NE,i0,25.0
17,21.0,1008.0,3.13,0,a4,b5,c12,d21,NW,i0,22.0
-12,7.0,1021.0,26.81,0,a1,b2,c15,d19,SE,i0,79.0
-24,-10.0,1039.0,117.57,0,a2,b11,c22,d1,NW,i0,10.0
-14,1.0,1021.0,1.79,0,a0,b10,c27,d11,NW,i0,173.0
-16,-5.0,1020.0,3.13,0,a0,b0,c29,d7,NW,i0,24.0
-8,-5.0,1028.0,46.04,0,a3,b0,c14,d3,SE,i0,61.0
-14,-1.0,1027.0,0.45,0,a1,b11,c19,d20,cv,i0,47.0
-13,22.0,1008.0,8.05,0,a4,b2,c14,d16,SE,i0,136.0
-2,12.0,1010.0,2.68,0,a0,b10,c19,d13,cv,i0,214.0
12,19.0,1009.0,25.47,0,a2,b4,c24,d22,SE,i0,83.0
26,31.0,1003.0,2.67,0,a1,b7,c8,d11,cv,i0,212.0
-25,8.0,1027.0,12.07,0,a4,b2,c4,d13,SE,i0,23.0
-16,-3.0,1028.0,0.89,0,a4,b11,c11,d21,SE,i0,47.0
14,18.0,1013.0,3.58,0,a3,b8,c9,d21,SE,i0,68.0
-13,7.0,1017.0,47.83,0,a3,b2,c22,d19,NW,i0,15.0
17,29.0,1013.0,3.13,0,a0,b5,c6,d12,SE,i0,151.0
-14,6.0,1023.0,1.79,0,a1,b3,c10,d5,SE,i0,16.0
-5,-3.0,1029.0,1.34,0,a2,b10,c14,d3,cv,i0,200.0
-15,14.0,1020.0,8.94,0,a3,b10,c6,d13,SE,i0,27.0
-9,1.0,1022.0,3.56,0,a3,b0,c10,d16,cv,i0,340.0
24,29.0,1007.0,5.37,0,a1,b7,c4,d11,SE,i0,134.0
17,18.0,1010.0,39.76,0,a1,b8,c1,d1,SE,i0,32.0
13,27.0,1014.0,5.37,0,a3,b8,c1,d16,SE,i0,65.0
-8,0.0,1025.0,1.78,0,a3,b10,c19,d22,NE,i0,131.0
-5,8.0,1017.0,1.78,0,a1,b2,c4,d11,cv,i0,109.0
12,20.0,1004.0,8.94,0,a4,b4,c19,d6,NE,i0,122.0
21,23.0,1008.0,4.02,0,a1,b8,c0,d3,SE,i0,41.0
3,3.0,1013.0,16.1,0,a2,b2,c16,d11,SE,i0,191.0
-22,9.0,1018.0,103.26,0,a3,b2,c8,d18,NW,i0,13.0
-9,-6.0,1021.0,1.78,0,a0,b10,c21,d5,cv,i0,68.0
-8,0.0,1026.0,66.14,0,a1,b1,c26,d19,NE,i0,29.0
-13,5.0,1023.0,31.75,0,a2,b10,c22,d17,NW,i0,49.0
14,32.0,999.0,3.58,0,a0,b5,c14,d16,SE,i0,75.0
-6,22.0,1006.0,8.94,0,a1,b3,c23,d16,NW,i0,23.0
0,15.0,1026.0,3.57,0,a1,b10,c6,d15,cv,i0,37.0
16,33.0,1004.0,18.33,0,a4,b6,c24,d17,SE,i0,38.0
21,24.0,1007.0,2.67,0,a0,b6,c14,d8,cv,i0,175.0
-4,-3.0,1023.0,4.92,0,a3,b1,c2,d6,SE,i1,135.0
3,6.0,1020.0,1.78,0,a2,b10,c15,d13,cv,i0,256.0
13,20.0,1019.0,0.89,0,a0,b9,c0,d11,cv,i0,266.0
3,8.0,1024.0,2.67,0,a4,b9,c21,d6,cv,i0,104.0
11,25.0,1009.0,11.18,0,a0,b5,c22,d23,SE,i0,69.0
22,23.0,1002.0,1.79,0,a2,b7,c28,d3,NW,i0,143.0
18,25.0,1006.0,34.87,0,a0,b5,c12,d11,SE,i0,154.0
-8,1.0,1021.0,0.89,0,a1,b2,c16,d3,NW,i0,128.0
21,23.0,998.0,1.79,0,a3,b5,c25,d9,SE,i0,189.0
5,27.0,997.0,29.05,0,a4,b4,c14,d18,SE,i0,109.0
-5,-4.0,1026.0,34.45,0,a3,b0,c29,d5,SE,i0,266.0
-14,-1.0,1028.0,0.89,0,a3,b2,c1,d23,cv,i0,153.0
-5,16.0,1019.0,64.81,0,a4,b3,c14,d22,SE,i0,65.0
15,15.0,1017.0,0.89,0,a4,b8,c24,d3,cv,i0,89.0
12,23.0,1014.0,6.26,0,a3,b8,c0,d9,NE,i0,35.0
15,18.0,1016.0,0.45,0,a3,b8,c20,d6,cv,i0,34.0
2,20.0,1019.0,0.89,0,a1,b8,c16,d16,cv,i0,7.0
13,19.0,1020.0,4.01,0,a2,b9,c7,d11,cv,i0,209.0
-1,15.0,1013.0,154.21,0,a0,b4,c10,d0,NW,i0,10.0
18,23.0,1008.0,5.37,0,a3,b4,c25,d10,SE,i0,114.0
-4,2.0,1030.0,0.89,0,a4,b1,c21,d19,SE,i0,341.0
-5,25.0,1013.0,1.79,0,a3,b4,c0,d14,cv,i0,34.0
-5,0.0,1025.0,16.11,0,a4,b2,c7,d6,SE,i0,141.0
11,18.0,1018.0,6.71,0,a1,b9,c21,d12,NW,i0,287.0
-15,-7.0,1018.0,8.05,0,a3,b11,c11,d5,NW,i0,14.0
-10,1.0,1022.0,1.78,0,a2,b1,c26,d22,cv,i0,278.0
-6,-1.0,1032.0,0.89,0,a2,b0,c7,d12,cv,i0,151.0
14,29.0,1005.0,6.26,0,a4,b4,c20,d13,cv,i0,90.0
-11,8.0,1021.0,8.94,0,a0,b2,c26,d2,NE,i0,61.0
-16,-1.0,1028.0,30.84,0,a1,b11,c23,d2,NW,i0,11.0
-16,6.0,1025.0,16.09,0,a2,b10,c13,d12,NE,i0,27.0
-4,15.0,1025.0,1.79,0,a1,b2,c28,d12,NW,i0,101.0
12,12.0,1010.0,1.79,0,a2,b3,c29,d7,SE,i0,144.0
8,11.0,1017.0,1.78,0,a4,b9,c16,d23,cv,i0,225.0
2,7.0,1015.0,1.79,0,a0,b3,c10,d22,NW,i0,86.0
12,13.0,1014.0,4.47,0,a1,b8,c23,d5,NW,i0,125.0
1,11.0,1003.0,55.43,0,a3,b3,c14,d21,SE,i0,64.0
13,17.0,1012.0,20.12,0,a1,b9,c12,d10,NW,i0,11.0
21,22.0,1006.0,4.92,6,a1,b7,c8,d21,SE,i0,36.0
14,30.0,1002.0,12.07,0,a4,b6,c8,d21,SE,i0,29.0
18,30.0,997.0,21.91,0,a3,b6,c22,d18,SE,i0,33.0
6,9.0,1022.0,3.13,3,a0,b3,c21,d0,NW,i0,34.0
-12,0.0,1033.0,0.89,0,a2,b11,c10,d13,cv,i0,114.0
-21,-7.0,1031.0,3.13,0,a3,b1,c18,d3,NE,i0,8.0
-6,-4.0,1030.0,0.89,0,a4,b1,c19,d23,SE,i0,424.0
-11,-9.0,1022.0,102.8,0,a0,b0,c2,d11,SE,i16,98.0
20,24.0,1012.0,0.89,0,a1,b7,c21,d8,cv,i0,53.0
-22,-15.0,1035.0,29.97,0,a3,b0,c3,d7,NW,i0,37.0
-26,-3.0,1030.0,179.27,0,a4,b10,c29,d23,NW,i0,33.0
7,21.0,1010.0,3.58,0,a4,b2,c25,d13,SE,i0,327.0
-17,6.0,1023.0,3.13,0,a1,b2,c7,d19,NW,i0,15.0
22,23.0,1005.0,1.79,0,a3,b5,c28,d22,NW,i0,164.0
13,18.0,1007.0,3.13,0,a0,b4,c16,d19,SE,i0,90.0
12,26.0,1012.0,16.09,0,a1,b8,c23,d17,SE,i0,141.0
16,22.0,1013.0,42.92,0,a3,b5,c3,d12,SE,i0,125.0
-12,-4.0,1031.0,0.89,0,a0,b0,c15,d13,cv,i0,127.0
8,9.0,1019.0,1.34,0,a4,b10,c0,d2,cv,i0,215.0
14,27.0,1012.0,4.92,0,a0,b8,c11,d10,NE,i0,107.0
7,13.0,1010.0,0.89,0,a4,b3,c8,d6,cv,i0,153.0
4,21.0,997.0,87.62,0,a3,b4,c19,d23,SE,i0,79.0
20,24.0,1010.0,9.84,0,a0,b7,c30,d12,SE,i0,102.0
-9,2.0,1030.0,11.18,0,a3,b2,c12,d22,SE,i0,34.0
-18,6.0,1021.0,92.51,0,a0,b3,c0,d5,NW,i0,26.0
-26,-11.0,1039.0,137.68,0,a2,b11,c22,d4,NW,i0,9.0
15,17.0,1013.0,0.89,0,a2,b8,c20,d4,NE,i0,170.0
10,11.0,1007.0,2.68,0,a2,b4,c25,d5,NE,i0,138.0
-13,9.0,1017.0,43.36,0,a0,b11,c18,d11,NW,i0,49.0
-7,-1.0,1027.0,20.11,0,a4,b0,c6,d9,NW,i0,196.0
20,21.0,1013.0,3.58,0,a4,b7,c30,d6,NW,i0,86.0
15,16.0,1014.0,0.89,5,a0,b9,c1,d3,cv,i0,80.0
-17,13.0,1021.0,286.97,0,a2,b2,c29,d15,NW,i0,8.0
-5,-3.0,1025.0,37.56,0,a3,b1,c4,d9,SE,i1,89.0
-1,15.0,1004.0,134.1,0,a0,b4,c4,d23,NW,i0,10.0
-17,3.0,1012.0,26.81,0,a0,b11,c16,d17,SE,i0,136.0
15,29.0,1002.0,26.37,0,a3,b4,c30,d13,SE,i0,98.0
-20,-11.0,1033.0,5.37,0,a4,b0,c12,d5,NW,i0,105.0
0,22.0,1012.0,199.81,0,a1,b4,c0,d9,NW,i0,89.0
-15,-2.0,1032.0,2.23,0,a2,b0,c0,d18,cv,i0,55.0
5,16.0,1012.0,8.04,0,a1,b9,c13,d1,NW,i0,23.0
23,33.0,1002.0,3.13,0,a1,b6,c30,d17,SE,i0,47.0
-17,-4.0,1032.0,164.04,0,a0,b0,c21,d22,NW,i0,35.0
14,24.0,1012.0,10.28,0,a0,b5,c0,d18,SE,i0,80.0
-13,4.0,1018.0,7.15,0,a2,b1,c21,d20,NW,i0,154.0
-7,3.0,1027.0,1.79,0,a3,b1,c23,d12,NW,i0,347.0
-1,16.0,1009.0,48.73,0,a3,b3,c26,d0,SE,i0,45.0
2,7.0,1019.0,0.89,0,a2,b2,c20,d23,cv,i0,398.0
-7,15.0,1019.0,77.8,0,a2,b9,c15,d17,NW,i0,7.0
-8,9.0,1020.0,3.13,0,a3,b10,c22,d11,NE,i0,153.0
-5,15.0,1011.0,3.13,0,a3,b3,c13,d12,SE,i0,59.0
15,29.0,1003.0,1.79,0,a2,b5,c16,d10,SE,i0,65.0
11,18.0,1012.0,3.13,0,a2,b8,c2,d1,NE,i0,5.0
15,35.0,1001.0,23.69,0,a1,b5,c20,d15,SE,i0,109.0
8,21.0,1009.0,4.02,0,a1,b3,c12,d20,SE,i0,170.0
-16,-2.0,1037.0,115.78,0,a1,b11,c6,d22,NW,i0,12.0
-18,3.0,1027.0,12.96,0,a3,b10,c18,d10,NE,i0,22.0
20,26.0,998.0,0.89,0,a3,b5,c17,d7,cv,i0,80.0
12,13.0,1011.0,0.45,0,a4,b9,c23,d19,cv,i0,341.0
14,15.0,1015.0,13.86,0,a1,b8,c28,d3,NW,i0,80.0
-28,18.0,1022.0,12.96,0,a4,b3,c2,d15,NE,i0,14.0
-23,-8.0,1027.0,57.67,0,a2,b0,c22,d20,NW,i0,103.0
-13,-1.0,1029.0,0.89,0,a3,b1,c3,d17,SE,i0,27.0
7,27.0,1011.0,33.08,0,a2,b8,c17,d11,NW,i0,29.0
-14,-5.0,1031.0,16.1,0,a0,b0,c9,d16,NW,i0,71.0
23,23.0,997.0,7.15,22,a2,b6,c21,d2,NW,i0,13.0
-2,9.0,1010.0,104.11,0,a0,b10,c10,d17,NW,i0,12.0
-14,-2.0,1023.0,0.89,0,a3,b10,c28,d2,cv,i0,38.0
4,32.0,1000.0,3.13,0,a1,b4,c29,d15,NW,i0,67.0
-2,9.0,1030.0,33.97,0,a4,b9,c26,d21,SE,i0,57.0
15,34.0,1005.0,13.41,0,a4,b5,c28,d15,SE,i0,61.0
-15,-3.0,1023.0,0.89,0,a4,b11,c20,d23,cv,i0,64.0
5,14.0,1016.0,0.89,0,a4,b4,c9,d5,cv,i0,47.0
-2,3.0,1016.0,3.13,0,a0,b2,c17,d15,NW,i0,219.0
20,29.0,1000.0,25.49,0,a0,b6,c3,d22,SE,i0,77.0
17,21.0,1006.0,0.89,0,a4,b5,c28,d4,NE,i0,37.0
-7,10.0,1013.0,434.98,0,a0,b3,c28,d0,NW,i0,18.0
-14,14.0,1017.0,10.28,0,a2,b2,c12,d14,SE,i0,127.0
-9,0.0,1024.0,2.67,0,a2,b0,c17,d14,cv,i0,382.0
6,11.0,1019.0,1.79,0,a4,b9,c0,d2,NE,i0,83.0
-7,-5.0,1022.0,4.46,0,a1,b1,c21,d5,NW,i0,431.0
18,30.0,1008.0,0.45,0,a0,b7,c29,d12,cv,i0,54.0
11,11.0,1016.0,1.34,0,a0,b9,c7,d6,cv,i0,387.0
8,12.0,1021.0,1.34,0,a4,b3,c27,d4,cv,i0,64.0
20,22.0,1006.0,1.79,0,a4,b6,c15,d23,NW,i0,74.0
1,6.0,1022.0,4.02,0,a1,b9,c16,d5,NW,i0,22.0
-4,6.0,1017.0,51.85,0,a3,b2,c21,d20,SE,i0,69.0
22,24.0,1001.0,0.89,0,a3,b6,c26,d5,NW,i0,89.0
-13,1.0,1021.0,16.98,0,a0,b2,c14,d6,NW,i0,69.0
18,30.0,1002.0,3.13,0,a0,b5,c27,d12,SE,i0,152.0
21,25.0,1004.0,50.07,0,a1,b7,c3,d0,SE,i0,85.0
-10,5.0,1021.0,79.12,0,a3,b3,c9,d4,NW,i0,11.0
24,26.0,1005.0,8.49,0,a4,b7,c1,d3,SE,i0,93.0
18,20.0,1009.0,5.81,0,a1,b8,c7,d1,NW,i0,69.0
14,20.0,1009.0,21.02,0,a0,b5,c23,d3,SE,i0,69.0
-15,1.0,1035.0,84.94,0,a1,b11,c6,d19,NW,i0,13.0
20,28.0,999.0,4.02,0,a1,b6,c4,d14,NW,i0,153.0
-12,14.0,1023.0,193.99,0,a4,b10,c1,d13,NW,i0,9.0
-22,-12.0,1035.0,3.13,0,a0,b0,c10,d5,NW,i0,16.0
-11,0.0,1027.0,1.79,0,a4,b10,c12,d4,NW,i0,11.0
-7,0.0,1029.0,39.79,0,a2,b2,c17,d9,NE,i0,16.0
-7,9.0,1015.0,54.98,0,a2,b3,c0,d18,SE,i0,38.0
-1,1.0,1029.0,0.89,0,a0,b9,c26,d23,cv,i0,164.0
22,28.0,1005.0,10.29,0,a1,b5,c28,d12,SE,i0,232.0
6,12.0,1021.0,0.89,0,a4,b3,c18,d5,SE,i0,64.0
16,27.0,1003.0,23.69,0,a2,b5,c4,d21,SE,i0,57.0
16,17.0,1007.0,0.89,0,a4,b4,c18,d5,cv,i0,90.0
21,28.0,1013.0,1.78,0,a1,b7,c19,d11,cv,i0,79.0
-8,28.0,1009.0,19.22,0,a4,b3,c8,d16,NE,i0,56.0
-11,10.0,1018.0,9.84,0,a3,b11,c7,d15,NW,i0,47.0
7,13.0,1014.0,0.89,0,a2,b4,c8,d6,NE,i0,108.0
4,8.0,1021.0,19.68,0,a3,b10,c1,d19,SE,i0,284.0
7,23.0,1012.0,12.97,0,a3,b8,c14,d18,SE,i0,28.0
-16,-5.0,1030.0,3.13,0,a2,b1,c13,d23,SE,i0,71.0
-12,-9.0,1022.0,2.67,0,a2,b11,c3,d7,NE,i0,99.0
21,22.0,1004.0,0.89,0,a1,b7,c3,d6,SE,i0,108.0
-24,-1.0,1032.0,81.8,0,a2,b10,c29,d16,NE,i0,16.0
7,14.0,1020.0,72.98,0,a2,b9,c14,d9,cv,i0,77.0
11,16.0,1017.0,21.0,0,a1,b9,c6,d18,SE,i0,104.0
-11,12.0,1019.0,3.13,0,a4,b2,c15,d9,NW,i0,78.0
15,28.0,1000.0,8.94,0,a4,b6,c10,d7,NW,i0,41.0
24,29.0,1008.0,3.58,0,a2,b7,c2,d11,NE,i0,76.0
11,29.0,1012.0,19.21,0,a2,b7,c23,d16,SE,i0,52.0
4,23.0,1018.0,4.92,0,a4,b3,c26,d17,SE,i0,77.0
-11,-4.0,1029.0,0.89,0,a3,b0,c25,d10,cv,i0,96.0
5,22.0,1013.0,8.04,0,a4,b4,c7,d13,SE,i0,58.0
15,34.0,996.0,62.58,0,a3,b6,c1,d13,NW,i0,15.0
0,8.0,1017.0,11.62,0,a0,b3,c9,d3,NW,i0,49.0
-7,-5.0,1027.0,54.54,0,a2,b11,c27,d19,NW,i2,254.0
