year,month,day,hour,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir,pm2.5
a0,b0,c3,d11,-23,-12.0,1031.0,NW,108.61,i0,0,25.0
a0,b0,c3,d12,-21,-11.0,1030.0,NW,117.55,i0,0,29.0
a0,b0,c3,d13,-20,-10.0,1030.0,NW,127.38,i0,0,32.0
a0,b0,c3,d14,-21,-10.0,1030.0,NW,136.32,i0,0,28.0
a0,b0,c3,d15,-21,-9.0,1030.0,NW,145.26,i0,0,29.0
a0,b0,c3,d16,-21,-9.0,1031.0,NW,152.41,i0,0,30.0
a0,b0,c3,d17,-20,-11.0,1032.0,NW,159.56,i0,0,30.0
a0,b0,c3,d18,-23,-11.0,1032.0,NW,165.37,i0,0,28.0
a0,b0,c3,d19,-21,-12.0,1033.0,NW,171.18,i0,0,26.0
a0,b0,c3,d20,-24,-12.0,1034.0,NW,180.12,i0,0,31.0
a0,b0,c3,d21,-24,-13.0,1034.0,NW,187.27,i0,0,33.0
a0,b0,c3,d22,-24,-13.0,1035.0,NW,195.32,i0,0,29.0
a0,b0,c3,d23,-26,-15.0,1035.0,NW,198.45,i0,0,31.0
a0,b0,c4,d0,-26,-17.0,1035.0,NW,201.58,i0,0,30.0
a0,b0,c4,d1,-26,-18.0,1035.0,NW,205.6,i0,0,34.0
a0,b0,c4,d2,-26,-19.0,1035.0,NW,208.73,i0,0,27.0
a0,b0,c4,d3,-27,-18.0,1035.0,NW,213.65,i0,0,25.0
a0,b0,c4,d4,-27,-19.0,1035.0,NW,218.57,i0,0,28.0
a0,b0,c4,d5,-27,-16.0,1034.0,NE,4.92,i0,0,28.0
a0,b0,c4,d6,-26,-16.0,1035.0,NE,8.05,i0,0,27.0
a0,b0,c4,d7,-27,-16.0,1034.0,NE,13.86,i0,0,27.0
a0,b0,c4,d8,-26,-16.0,1035.0,NE,18.78,i0,0,27.0
a0,b0,c4,d9,-26,-15.0,1035.0,NE,24.59,i0,0,29.0
a0,b0,c4,d10,-25,-14.0,1035.0,NE,29.51,i0,0,36.0
a0,b0,c4,d11,-25,-13.0,1035.0,NE,34.43,i0,0,30.0
a0,b0,c4,d12,-25,-12.0,1034.0,NE,39.35,i0,0,27.0
a0,b0,c4,d13,-24,-11.0,1032.0,NE,41.14,i0,0,39.0
a0,b0,c4,d14,-22,-11.0,1032.0,cv,0.89,i0,0,41.0
a0,b0,c4,d15,-23,-11.0,1031.0,NW,1.79,i0,0,33.0
a0,b0,c4,d16,-24,-11.0,1031.0,NW,3.58,i0,0,50.0
a0,b0,c4,d17,-23,-11.0,1031.0,NW,5.37,i0,0,56.0
a0,b0,c4,d18,-23,-11.0,1032.0,NW,7.16,i0,0,59.0
a0,b0,c4,d19,-22,-13.0,1033.0,NW,10.29,i0,0,60.0
a0,b0,c4,d20,-22,-12.0,1033.0,NW,13.42,i0,0,84.0
a0,b0,c4,d21,-24,-18.0,1033.0,NW,16.55,i0,0,106.0
a0,b0,c4,d22,-22,-13.0,1034.0,NW,20.57,i0,0,66.0
a0,b0,c4,d23,-22,-16.0,1033.0,NW,23.7,i0,0,50.0
a0,b0,c5,d0,-25,-17.0,1033.0,NW,26.83,i0,0,56.0
a0,b0,c5,d1,-25,-14.0,1033.0,NE,4.02,i0,0,77.0
a0,b0,c5,d2,-26,-14.0,1034.0,NE,8.04,i0,0,50.0
a0,b0,c5,d3,-26,-14.0,1033.0,NE,13.85,i0,0,44.0
a0,b0,c5,d4,-26,-14.0,1033.0,NE,17.87,i0,0,27.0
a0,b0,c5,d5,-26,-14.0,1033.0,NE,23.68,i0,0,28.0
a0,b0,c5,d6,-26,-14.0,1033.0,NE,28.6,i0,0,21.0
a0,b0,c5,d7,-26,-15.0,1034.0,NE,33.52,i0,0,25.0
a0,b0,c5,d8,-26,-14.0,1034.0,NE,39.33,i0,0,20.0
a0,b0,c5,d9,-25,-13.0,1035.0,NE,44.25,i0,0,29.0
a0,b0,c5,d10,-25,-12.0,1035.0,NE,50.06,i0,0,34.0
a0,b0,c5,d11,-24,-11.0,1035.0,NE,54.98,i0,0,42.0
a0,b0,c5,d12,-24,-10.0,1034.0,NE,59.0,i0,0,28.0
a0,b0,c5,d13,-22,-10.0,1033.0,NW,4.02,i0,0,36.0
a0,b0,c5,d14,-22,-9.0,1033.0,NW,5.81,i0,0,48.0
a0,b0,c5,d15,-22,-8.0,1033.0,cv,0.89,i0,0,49.0
a0,b0,c5,d16,-22,-8.0,1033.0,NW,1.79,i0,0,52.0
a0,b0,c5,d17,-21,-9.0,1033.0,NW,3.58,i0,0,56.0
a0,b0,c5,d18,-22,-9.0,1033.0,NW,5.37,i0,0,96.0
a0,b0,c5,d19,-22,-14.0,1034.0,cv,0.89,i0,0,75.0
a0,b0,c5,d20,-22,-12.0,1035.0,NW,1.79,i0,0,105.0
a0,b0,c5,d21,-21,-14.0,1034.0,NW,3.58,i0,0,132.0
a0,b0,c5,d22,-22,-16.0,1035.0,NW,5.37,i0,0,93.0
a0,b0,c5,d23,-21,-16.0,1035.0,NW,7.16,i0,0,131.0
a0,b0,c6,d0,-21,-16.0,1035.0,NW,8.95,i0,0,127.0
a0,b0,c6,d1,-21,-16.0,1035.0,cv,0.45,i0,0,130.0
a0,b0,c6,d2,-22,-18.0,1036.0,cv,1.34,i0,0,43.0
a0,b0,c6,d3,-23,-15.0,1036.0,NW,4.02,i0,0,37.0
a0,b0,c6,d4,-24,-16.0,1035.0,NW,7.15,i0,0,30.0
a0,b0,c6,d5,-25,-15.0,1035.0,NW,10.28,i0,0,28.0
a0,b0,c6,d6,-24,-15.0,1035.0,NW,14.3,i0,0,24.0
a0,b0,c6,d7,-25,-13.0,1036.0,NE,4.92,i0,0,23.0
a0,b0,c6,d8,-24,-14.0,1036.0,NW,4.02,i0,0,24.0
a0,b0,c6,d9,-23,-12.0,1036.0,NW,8.94,i0,0,27.0
a0,b0,c6,d10,-22,-11.0,1036.0,NW,12.96,i0,0,40.0
a0,b0,c6,d11,-20,-10.0,1036.0,NW,16.09,i0,0,42.0
a0,b0,c6,d12,-21,-9.0,1035.0,NW,19.22,i0,0,42.0
a0,b0,c6,d13,-21,-8.0,1034.0,NW,21.01,i0,0,55.0
a0,b0,c6,d14,-20,-7.0,1033.0,NW,22.8,i0,0,52.0
a0,b0,c6,d15,-20,-7.0,1032.0,NW,24.59,i0,0,51.0
a0,b0,c6,d16,-18,-8.0,1032.0,NW,26.38,i0,0,57.0
a0,b0,c6,d17,-19,-9.0,1032.0,NW,28.17,i0,0,50.0
a0,b0,c6,d18,-19,-11.0,1032.0,NE,0.89,i0,0,54.0
a0,b0,c6,d19,-18,-11.0,1033.0,NW,1.79,i0,0,67.0
a0,b0,c6,d20,-19,-15.0,1032.0,NE,1.79,i0,0,106.0
a0,b0,c6,d21,-19,-14.0,1032.0,cv,0.45,i0,0,159.0
a0,b0,c6,d22,-21,-14.0,1032.0,cv,1.34,i0,0,198.0
a0,b0,c6,d23,-21,-16.0,1032.0,cv,2.23,i0,0,190.0
a0,b0,c7,d0,-21,-17.0,1031.0,NW,1.79,i0,0,210.0
a0,b0,c7,d1,-19,-16.0,1031.0,NW,3.58,i0,0,195.0
a0,b0,c7,d2,-20,-16.0,1031.0,NE,0.89,i0,0,275.0
a0,b0,c7,d3,-19,-15.0,1030.0,SE,0.89,i0,0,164.0
a0,b0,c7,d4,-18,-15.0,1030.0,cv,0.45,i0,0,110.0
a0,b0,c7,d5,-18,-15.0,1029.0,cv,1.34,i0,0,100.0
a0,b0,c7,d6,-18,-15.0,1029.0,NW,1.79,i0,0,81.0
a0,b0,c7,d7,-16,-13.0,1029.0,NE,0.89,i0,0,71.0
a0,b0,c7,d8,-16,-12.0,1029.0,SE,0.89,i0,0,66.0
a0,b0,c7,d9,-16,-12.0,1030.0,SE,1.78,i0,0,92.0
a0,b0,c7,d10,-17,-10.0,1030.0,NE,0.89,i0,0,135.0
a0,b0,c7,d11,-16,-10.0,1029.0,cv,0.89,i0,0,155.0
a0,b0,c7,d12,-16,-9.0,1028.0,SE,3.13,i0,0,198.0
a0,b0,c7,d13,-15,-8.0,1026.0,SE,4.92,i0,0,250.0
a0,b0,c7,d14,-16,-8.0,1026.0,cv,0.89,i0,0,200.0
a0,b0,c7,d15,-16,-8.0,1025.0,cv,1.78,i0,0,231.0
a0,b0,c7,d16,-16,-8.0,1025.0,cv,2.67,i0,0,250.0
a0,b0,c7,d17,-17,-8.0,1025.0,SE,0.89,i0,0,212.0
a0,b0,c7,d18,-17,-9.0,1026.0,cv,0.45,i0,0,219.0
a0,b0,c7,d19,-17,-11.0,1026.0,cv,1.34,i0,0,227.0
a0,b0,c7,d20,-17,-12.0,1026.0,cv,1.79,i0,0,226.0
a0,b0,c7,d21,-18,-14.0,1027.0,NW,1.79,i0,0,225.0
a0,b0,c7,d22,-16,-9.0,1027.0,NW,4.92,i0,0,168.0
a0,b0,c7,d23,-16,-11.0,1027.0,NW,6.71,i0,0,169.0
a0,b0,c8,d0,-17,-13.0,1027.0,cv,0.89,i0,0,165.0
a0,b0,c8,d1,-17,-13.0,1027.0,NW,3.13,i0,0,159.0
a0,b0,c8,d2,-17,-14.0,1027.0,NW,4.92,i0,0,167.0
a0,b0,c8,d3,-17,-15.0,1027.0,NW,8.05,i0,0,196.0
a0,b0,c8,d4,-17,-13.0,1027.0,NW,9.84,i0,0,169.0
a0,b0,c8,d5,-19,-16.0,1027.0,NW,13.86,i0,0,155.0
a0,b0,c8,d6,-18,-15.0,1027.0,NW,17.88,i0,0,119.0
a0,b0,c8,d7,-19,-15.0,1027.0,NW,21.9,i0,0,106.0
a0,b0,c8,d8,-18,-14.0,1028.0,NW,25.92,i0,0,93.0
a0,b0,c8,d9,-18,-9.0,1029.0,NE,5.81,i0,0,84.0
a0,b0,c8,d10,-17,-7.0,1029.0,NE,11.62,i0,0,73.0
a0,b0,c8,d11,-17,-6.0,1030.0,NE,17.43,i0,0,66.0
a0,b0,c8,d12,-16,-6.0,1029.0,NE,23.24,i0,0,40.0
a0,b0,c8,d13,-16,-5.0,1029.0,NE,28.16,i0,0,49.0
a0,b0,c8,d14,-15,-4.0,1029.0,NE,33.08,i0,0,50.0
a0,b0,c8,d15,-14,-4.0,1028.0,NE,37.1,i0,0,49.0
a0,b0,c8,d16,-15,-4.0,1029.0,NE,38.89,i0,0,41.0
a0,b0,c8,d17,-15,-4.0,1030.0,NW,1.79,i0,0,37.0
a0,b0,c8,d18,-15,-7.0,1030.0,NE,3.13,i0,0,45.0
a0,b0,c8,d19,-15,-6.0,1031.0,NW,3.13,i0,0,44.0
a0,b0,c8,d20,-15,-7.0,1032.0,NW,4.92,i0,0,54.0
a0,b0,c8,d21,-15,-6.0,1032.0,NE,3.13,i0,0,50.0
a0,b0,c8,d22,-15,-8.0,1033.0,cv,0.45,i0,0,47.0
a0,b0,c8,d23,-15,-8.0,1033.0,cv,0.9,i0,0,66.0
a0,b0,c9,d0,-15,-11.0,1033.0,NW,0.89,i0,0,75.0
a0,b0,c9,d1,-17,-13.0,1033.0,NW,1.78,i0,0,82.0
a0,b0,c9,d2,-17,-12.0,1033.0,NW,4.91,i0,0,66.0
a0,b0,c9,d3,-17,-13.0,1033.0,NW,8.04,i0,0,83.0
a0,b0,c9,d4,-19,-14.0,1032.0,NW,9.83,i0,0,62.0
a0,b0,c9,d5,-18,-13.0,1032.0,NW,12.96,i0,0,40.0
a0,b0,c9,d6,-19,-13.0,1032.0,NW,16.09,i0,0,23.0
a0,b0,c9,d7,-19,-14.0,1033.0,NW,19.22,i0,0,25.0
a0,b0,c9,d8,-19,-14.0,1034.0,NW,22.35,i0,0,27.0
a0,b0,c9,d9,-17,-12.0,1033.0,NW,24.14,i0,0,35.0
a0,b0,c9,d10,-16,-7.0,1033.0,NE,4.02,i0,0,50.0
a0,b0,c9,d11,-15,-7.0,1033.0,NW,3.13,i0,0,70.0
a0,b0,c9,d12,-15,-7.0,1032.0,NW,6.26,i0,0,75.0
a0,b0,c9,d13,-14,-6.0,1031.0,NW,9.39,i0,0,58.0
a0,b0,c9,d14,-14,-6.0,1031.0,NW,12.52,i0,0,70.0
a0,b0,c9,d15,-13,-5.0,1030.0,NW,14.31,i0,0,68.0
a0,b0,c9,d16,-14,-5.0,1031.0,NW,16.1,i0,0,71.0
a0,b0,c9,d17,-14,-6.0,1031.0,NW,19.23,i0,0,88.0
a0,b0,c9,d18,-13,-7.0,1032.0,NW,23.25,i0,0,84.0
a0,b0,c9,d19,-15,-6.0,1032.0,NW,27.27,i0,0,83.0
a0,b0,c9,d20,-15,-6.0,1033.0,NW,30.4,i0,0,66.0
a0,b0,c9,d21,-15,-4.0,1034.0,NW,35.32,i0,0,27.0
a0,b0,c9,d22,-16,-4.0,1034.0,NW,44.26,i0,0,24.0
a0,b0,c9,d23,-17,-5.0,1035.0,NW,52.31,i0,0,22.0
a0,b0,c10,d0,-17,-6.0,1035.0,NW,60.36,i0,0,23.0
a0,b0,c10,d1,-17,-8.0,1035.0,cv,0.89,i0,0,27.0
a0,b0,c10,d2,-19,-11.0,1036.0,NW,4.02,i0,0,23.0
a0,b0,c10,d3,-20,-11.0,1036.0,NW,8.94,i0,0,17.0
a0,b0,c10,d4,-21,-11.0,1035.0,NE,4.02,i0,0,17.0
a0,b0,c10,d5,-22,-12.0,1035.0,NW,3.13,i0,0,16.0
a0,b0,c10,d6,-22,-12.0,1035.0,NE,4.92,i0,0,16.0
a0,b0,c10,d7,-22,-13.0,1036.0,NW,5.81,i0,0,20.0
a0,b0,c10,d8,-22,-9.0,1036.0,NW,13.86,i0,0,20.0
a0,b0,c10,d9,-22,-10.0,1036.0,NW,21.91,i0,0,18.0
a0,b0,c10,d10,-22,-9.0,1036.0,NW,29.06,i0,0,25.0
a0,b0,c10,d11,-21,-9.0,1036.0,NW,33.08,i0,0,26.0
a0,b0,c10,d12,-20,-6.0,1035.0,NW,42.02,i0,0,27.0
a0,b0,c10,d13,-19,-5.0,1034.0,NW,50.96,i0,0,28.0
a0,b0,c10,d14,-19,-5.0,1033.0,NW,59.01,i0,0,15.0
a0,b0,c10,d15,-20,-5.0,1033.0,NW,66.16,i0,0,24.0
a0,b0,c10,d16,-20,-5.0,1032.0,NW,71.97,i0,0,13.0
a0,b0,c10,d17,-20,-5.0,1033.0,NW,76.89,i0,0,13.0
a0,b0,c10,d18,-20,-7.0,1033.0,NW,81.81,i0,0,13.0
a0,b0,c10,d19,-22,-7.0,1033.0,NW,85.83,i0,0,17.0
a0,b0,c10,d20,-22,-8.0,1033.0,NW,89.85,i0,0,20.0
a0,b0,c10,d21,-23,-10.0,1033.0,NW,91.64,i0,0,27.0
a0,b0,c10,d22,-23,-13.0,1033.0,NW,93.43,i0,0,20.0
a0,b0,c10,d23,-22,-12.0,1032.0,cv,0.89,i0,0,15.0
a0,b0,c11,d0,-22,-15.0,1031.0,cv,1.78,i0,0,21.0
a0,b0,c11,d1,-22,-14.0,1031.0,NE,1.79,i0,0,21.0
a0,b0,c11,d2,-22,-14.0,1031.0,NW,0.89,i0,0,37.0
a0,b0,c11,d3,-24,-18.0,1030.0,NE,1.79,i0,0,26.0
a0,b0,c11,d4,-24,-13.0,1030.0,NE,3.58,i0,0,15.0
a0,b0,c11,d5,-25,-14.0,1030.0,NW,3.13,i0,0,9.0
a0,b0,c11,d6,-24,-14.0,1030.0,NW,7.15,i0,0,11.0
a0,b0,c11,d7,-25,-12.0,1030.0,NW,12.96,i0,0,11.0
a0,b0,c11,d8,-26,-14.0,1030.0,NW,16.98,i0,0,16.0
a0,b0,c11,d9,-25,-12.0,1031.0,NW,21.0,i0,0,13.0
a0,b0,c11,d10,-25,-11.0,1031.0,NW,26.81,i0,0,15.0
a0,b0,c11,d11,-24,-11.0,1030.0,NW,35.75,i0,0,21.0
a0,b0,c11,d12,-23,-11.0,1029.0,NW,47.82,i0,0,24.0
a0,b0,c11,d13,-22,-11.0,1029.0,NW,63.02,i0,0,22.0
a0,b0,c11,d14,-23,-11.0,1029.0,NW,75.98,i0,0,22.0
a0,b0,c11,d15,-22,-11.0,1029.0,NW,88.05,i0,0,22.0
a0,b0,c11,d16,-23,-11.0,1030.0,NW,101.01,i0,0,19.0
a0,b0,c11,d17,-24,-11.0,1030.0,NW,109.06,i0,0,23.0
a0,b0,c11,d18,-24,-11.0,1032.0,NW,118.0,i0,0,25.0
a0,b0,c11,d19,-23,-11.0,1032.0,NW,126.05,i0,0,25.0
a0,b0,c11,d20,-23,-12.0,1032.0,NW,134.1,i0,0,31.0
a0,b0,c11,d21,-24,-12.0,1033.0,NW,142.15,i0,0,25.0
a0,b0,c11,d22,-23,-12.0,1033.0,NW,150.2,i0,0,22.0
a0,b0,c11,d23,-23,-12.0,1034.0,NW,160.03,i0,0,22.0
a0,b0,c12,d0,-24,-12.0,1034.0,NW,169.86,i0,0,15.0
a0,b0,c12,d1,-24,-12.0,1033.0,NW,178.8,i0,0,16.0
a0,b0,c12,d2,-25,-12.0,1033.0,NW,189.98,i0,0,11.0
a0,b0,c12,d3,-24,-13.0,1033.0,NW,198.03,i0,0,11.0
a0,b0,c12,d4,-25,-12.0,1032.0,NW,205.18,i0,0,12.0
a0,b0,c12,d5,-25,-12.0,1033.0,NW,215.01,i0,0,11.0
a0,b0,c12,d6,-25,-12.0,1032.0,NW,226.19,i0,0,12.0
a0,b0,c12,d7,-25,-12.0,1032.0,NW,235.13,i0,0,27.0
a0,b0,c12,d8,-25,-12.0,1032.0,NW,243.18,i0,0,28.0
a0,b0,c12,d9,-23,-11.0,1033.0,NW,252.12,i0,0,34.0
a0,b0,c12,d10,-23,-10.0,1033.0,NW,257.93,i0,0,33.0
a0,b0,c12,d11,-22,-9.0,1033.0,NW,263.74,i0,0,36.0
a0,b0,c12,d12,-21,-8.0,1031.0,NW,270.89,i0,0,26.0
a0,b0,c12,d13,-21,-6.0,1030.0,NW,278.94,i0,0,49.0
a0,b0,c12,d14,-20,-5.0,1029.0,NW,286.99,i0,0,52.0
a0,b0,c12,d15,-22,-5.0,1028.0,NW,294.14,i0,0,47.0
a0,b0,c12,d16,-21,-5.0,1028.0,NW,299.06,i0,0,47.0
a0,b0,c12,d17,-19,-7.0,1028.0,SE,1.79,i0,0,39.0
a0,b0,c12,d18,-19,-8.0,1028.0,cv,0.45,i0,0,59.0
a0,b0,c12,d19,-20,-9.0,1028.0,cv,1.34,i0,0,76.0
a0,b0,c12,d20,-19,-10.0,1027.0,SE,1.79,i0,0,96.0
a0,b0,c12,d21,-19,-13.0,1027.0,cv,0.89,i0,0,95.0
a0,b0,c12,d22,-18,-12.0,1027.0,cv,1.78,i0,0,68.0
a0,b0,c12,d23,-18,-13.0,1027.0,NE,0.89,i0,0,65.0
a0,b0,c13,d0,-18,-14.0,1026.0,NE,1.78,i0,0,75.0
a0,b0,c13,d1,-20,-15.0,1025.0,NE,2.67,i0,0,257.0
a0,b0,c13,d2,-20,-15.0,1025.0,NW,0.89,i0,0,174.0
a0,b0,c13,d3,-20,-16.0,1025.0,NW,1.78,i0,0,164.0
a0,b0,c13,d4,-20,-16.0,1024.0,NW,3.57,i0,0,161.0
a0,b0,c13,d5,-21,-17.0,1024.0,NW,6.7,i0,0,137.0
a0,b0,c13,d6,-19,-14.0,1023.0,NW,10.72,i0,0,92.0
a0,b0,c13,d7,-21,-17.0,1023.0,NW,13.85,i0,0,64.0
a0,b0,c13,d8,-19,-15.0,1024.0,NW,15.64,i0,0,87.0
a0,b0,c13,d9,-19,-14.0,1024.0,NW,18.77,i0,0,87.0
a0,b0,c13,d10,-18,-10.0,1024.0,NW,22.79,i0,0,84.0
a0,b0,c13,d11,-17,-9.0,1023.0,NW,24.58,i0,0,95.0
a0,b0,c13,d12,-16,-6.0,1023.0,NW,26.37,i0,0,79.0
a0,b0,c13,d13,-17,-5.0,1022.0,NW,28.16,i0,0,75.0
a0,b0,c13,d14,-16,-5.0,1022.0,NW,29.95,i0,0,79.0
a0,b0,c13,d15,-15,-4.0,1022.0,NW,33.08,i0,0,86.0
a0,b0,c13,d16,-16,-4.0,1023.0,cv,0.89,i0,0,72.0
a0,b0,c13,d17,-15,-5.0,1025.0,SE,1.79,i0,0,89.0
a0,b0,c13,d18,-14,-3.0,1026.0,NW,5.81,i0,0,94.0
a0,b0,c13,d19,-16,-3.0,1027.0,NW,11.62,i0,0,69.0
a0,b0,c13,d20,-15,-4.0,1029.0,NW,20.56,i0,0,49.0
a0,b0,c13,d21,-16,-5.0,1031.0,NW,24.58,i0,0,33.0
a0,b0,c13,d22,-17,-6.0,1032.0,NE,3.13,i0,0,27.0
a0,b0,c13,d23,-18,-6.0,1033.0,NE,8.05,i0,0,20.0
a0,b0,c14,d0,-19,-7.0,1034.0,NE,13.86,i0,0,36.0
a0,b0,c14,d1,-17,-8.0,1035.0,NW,5.81,i0,0,37.0
a0,b0,c14,d2,-18,-10.0,1035.0,NW,11.62,i0,0,30.0
a0,b0,c14,d3,-19,-10.0,1036.0,NW,14.75,i0,0,18.0
a0,b0,c14,d4,-19,-9.0,1036.0,NW,19.67,i0,0,21.0
a0,b0,c14,d5,-19,-9.0,1036.0,NE,7.15,i0,0,13.0
a0,b0,c14,d6,-20,-9.0,1037.0,NE,12.96,i0,0,23.0
a0,b0,c14,d7,-19,-9.0,1037.0,NE,18.77,i0,0,26.0
a0,b0,c14,d8,-19,-8.0,1038.0,NE,22.79,i0,0,27.0
a0,b0,c14,d9,-19,-8.0,1039.0,NE,28.6,i0,0,30.0
a0,b0,c14,d10,-19,-7.0,1039.0,NE,35.75,i0,0,28.0
a0,b0,c14,d11,-18,-6.0,1039.0,NE,41.56,i0,0,26.0
a0,b0,c14,d12,-18,-5.0,1039.0,NE,45.58,i0,0,26.0
a0,b0,c14,d13,-17,-4.0,1038.0,NW,1.79,i0,0,31.0
a0,b0,c14,d14,-16,-3.0,1037.0,cv,0.89,i0,0,35.0
a0,b0,c14,d15,-17,-3.0,1037.0,cv,1.78,i0,0,36.0
a0,b0,c14,d16,-17,-2.0,1037.0,cv,2.23,i0,0,37.0
a0,b0,c14,d17,-15,-5.0,1036.0,SE,0.89,i0,0,64.0
a0,b0,c14,d18,-15,-6.0,1036.0,cv,0.89,i0,0,83.0
a0,b0,c14,d19,-15,-6.0,1037.0,cv,1.78,i0,0,91.0
a0,b0,c14,d20,-14,-6.0,1037.0,SE,1.79,i0,0,90.0
a0,b0,c14,d21,-14,-8.0,1036.0,SE,3.58,i0,0,102.0
a0,b0,c14,d22,-14,-10.0,1037.0,cv,0.89,i0,0,94.0
a0,b0,c14,d23,-15,-11.0,1036.0,cv,1.78,i0,0,87.0
a0,b0,c15,d0,-15,-11.0,1036.0,cv,2.67,i0,0,141.0
a0,b0,c15,d1,-16,-13.0,1036.0,NE,0.89,i0,0,211.0
a0,b0,c15,d2,-16,-12.0,1036.0,cv,0.89,i0,0,242.0
