laufkont,laufzeit,moral,verw,hoehe,sparkont,beszeit,rate,famges,buerge,wohnzeit,verm,alter,weitkred,wohn,bishkred,beruf,pers,telef,gastarb,kredit
a0,6,c4,d0,3676,f0,g2,h0,i2,j0,k2,l0,37,n2,o0,p2,q2,r0,s0,t1,u1
a1,12,c4,d0,3124,f0,g1,h0,i2,j0,k2,l0,49,n0,o1,p1,q1,r0,s0,t1,u1
a1,36,c2,d5,2384,f0,g1,h3,i2,j0,k0,l3,33,n2,o0,p0,q1,r1,s0,t1,u0
a1,12,c4,d4,1424,f0,g3,h3,i2,j0,k2,l1,26,n2,o1,p0,q2,r1,s0,t1,u1
a0,6,c4,d0,4716,f4,g1,h0,i2,j0,k2,l0,44,n2,o1,p1,q1,r0,s0,t1,u1
a1,11,c3,d3,4771,f0,g3,h1,i2,j0,k3,l1,51,n2,o1,p0,q2,r1,s0,t1,u1
a0,12,c2,d2,652,f0,g4,h3,i1,j0,k3,l1,24,n2,o0,p0,q2,r1,s0,t1,u1
a1,9,c4,d3,1154,f0,g4,h1,i2,j0,k3,l0,37,n2,o1,p2,q1,r1,s0,t1,u1
a3,15,c2,d0,3556,f4,g2,h2,i2,j0,k1,l3,29,n2,o1,p0,q2,r1,s0,t1,u1
a2,42,c4,d1,4796,f0,g4,h3,i2,j0,k3,l3,56,n2,o2,p0,q2,r1,s0,t1,u1
a2,30,c4,d3,3017,f0,g4,h3,i2,j0,k3,l1,47,n2,o1,p0,q2,r1,s0,t1,u1
a3,36,c4,d0,3535,f0,g3,h3,i2,j0,k3,l2,37,n2,o1,p1,q2,r1,s1,t1,u1
a3,36,c4,d0,6614,f0,g4,h3,i2,j0,k3,l2,34,n2,o1,p1,q3,r1,s1,t1,u1
a3,24,c2,d3,1376,f2,g3,h3,i1,j0,k0,l2,28,n2,o1,p0,q2,r1,s0,t1,u1
a0,15,c2,d0,1721,f0,g1,h1,i2,j0,k2,l0,36,n2,o1,p0,q2,r1,s0,t1,u1
a0,6,c4,d0,860,f0,g4,h0,i1,j0,k3,l3,39,n2,o1,p1,q2,r1,s1,t1,u1
a3,12,c4,d0,1495,f0,g4,h3,i2,j0,k0,l0,38,n2,o1,p1,q1,r0,s0,t1,u1
a3,12,c4,d3,1934,f0,g4,h1,i2,j0,k1,l3,26,n2,o1,p1,q2,r1,s0,t1,u1
a3,18,c2,d1,3378,f4,g2,h1,i2,j0,k0,l1,31,n2,o1,p0,q2,r1,s1,t1,u1
a3,24,c4,d1,3868,f0,g4,h3,i1,j0,k1,l2,41,n2,o0,p1,q3,r1,s1,t1,u1
a3,12,c4,d5,996,f4,g3,h3,i1,j0,k3,l0,23,n2,o1,p1,q2,r1,s0,t1,u1
a0,24,c2,d9,1755,f0,g4,h3,i1,j2,k3,l0,58,n2,o1,p0,q1,r1,s1,t1,u1
a3,18,c4,d0,1028,f0,g2,h3,i1,j0,k2,l0,36,n2,o1,p1,q2,r1,s0,t1,u1
a1,24,c4,d8,2825,f4,g3,h3,i2,j0,k2,l3,34,n2,o1,p1,q2,r0,s1,t1,u1
a1,18,c2,d6,1239,f4,g2,h3,i2,j0,k3,l3,61,n2,o2,p0,q2,r1,s0,t1,u1
a0,18,c2,d0,1216,f0,g1,h3,i1,j0,k2,l2,23,n2,o0,p0,q2,r1,s1,t1,u0
a3,24,c2,d8,1258,f0,g3,h3,i2,j0,k0,l0,25,n2,o1,p0,q2,r1,s1,t1,u1
a3,18,c4,d6,1864,f1,g2,h3,i1,j0,k1,l0,30,n2,o1,p1,q2,r1,s0,t1,u0
a3,24,c2,d0,1474,f1,g1,h3,i3,j0,k2,l0,33,n2,o1,p0,q2,r1,s1,t1,u1
a0,24,c4,d8,1382,f1,g3,h3,i2,j0,k0,l0,26,n2,o1,p1,q2,r1,s1,t1,u1
a3,12,c2,d0,640,f0,g2,h3,i0,j0,k1,l0,49,n2,o1,p0,q1,r1,s0,t1,u1
a2,36,c2,d3,3919,f0,g2,h1,i2,j0,k1,l0,23,n2,o1,p0,q2,r1,s1,t1,u1
a3,9,c4,d0,1224,f0,g2,h2,i2,j0,k0,l0,30,n2,o1,p1,q2,r1,s0,t1,u1
a3,12,c4,d3,2331,f4,g4,h0,i2,j1,k3,l0,49,n2,o1,p0,q2,r1,s1,t1,u1
a3,24,c2,d1,6313,f4,g4,h2,i2,j0,k3,l2,41,n2,o1,p0,q3,r0,s1,t1,u1
a0,12,c4,d3,385,f0,g3,h3,i1,j0,k2,l0,58,n2,o1,p3,q1,r1,s1,t1,u1
a3,12,c4,d3,1655,f0,g4,h1,i2,j0,k3,l0,63,n2,o1,p1,q1,r1,s1,t1,u1
a0,15,c2,d3,1053,f0,g1,h3,i3,j0,k1,l0,27,n2,o1,p0,q2,r1,s0,t0,u1
a3,21,c2,d3,3160,f4,g4,h3,i2,j0,k2,l1,41,n2,o1,p0,q2,r1,s1,t1,u1
a3,36,c2,d0,3079,f4,g2,h3,i2,j0,k3,l0,36,n2,o1,p0,q2,r1,s0,t1,u1
a3,12,c4,d0,1163,f2,g2,h3,i2,j0,k3,l0,44,n2,o1,p0,q2,r1,s1,t1,u1
a3,24,c2,d1,2679,f0,g1,h3,i1,j0,k0,l3,29,n2,o1,p0,q3,r1,s1,t1,u1
a3,48,c4,d3,3578,f4,g4,h3,i2,j0,k0,l0,47,n2,o1,p0,q2,r1,s1,t1,u1
a3,36,c3,d0,10875,f0,g4,h1,i2,j0,k1,l2,45,n2,o1,p1,q2,r0,s1,t1,u1
a0,12,c3,d0,1344,f0,g2,h3,i2,j0,k1,l0,43,n2,o1,p1,q1,r0,s0,t1,u1
a3,6,c4,d3,1237,f1,g2,h0,i1,j0,k0,l1,27,n2,o1,p1,q2,r1,s0,t1,u1
a3,12,c2,d3,3077,f0,g2,h1,i2,j0,k3,l2,52,n2,o1,p0,q2,r1,s1,t1,u1
a3,24,c2,d3,2284,f0,g3,h3,i2,j0,k1,l2,28,n2,o1,p0,q2,r1,s1,t1,u1
a1,12,c2,d3,1567,f0,g2,h0,i1,j0,k0,l2,22,n2,o1,p0,q2,r1,s1,t1,u1
a3,24,c3,d0,2032,f0,g4,h3,i2,j0,k3,l3,60,n2,o2,p1,q2,r1,s1,t1,u1
a1,21,c4,d2,2745,f3,g3,h2,i2,j0,k1,l2,32,n2,o1,p1,q2,r1,s1,t1,u1
a3,30,c2,d3,1867,f4,g4,h3,i2,j0,k3,l2,58,n2,o1,p0,q2,r1,s1,t1,u1
a3,36,c2,d3,2299,f2,g4,h3,i2,j0,k3,l2,39,n2,o1,p0,q2,r1,s0,t1,u1
a3,24,c2,d2,929,f4,g3,h3,i2,j0,k1,l2,31,n1,o1,p0,q2,r1,s1,t1,u1
a2,12,c2,d3,3399,f4,g4,h1,i2,j0,k2,l2,37,n2,o1,p0,q3,r1,s0,t1,u1
a1,9,c2,d2,2030,f4,g3,h1,i2,j0,k0,l2,24,n2,o1,p0,q2,r1,s1,t1,u1
a3,21,c4,d1,3275,f0,g4,h0,i2,j0,k3,l2,36,n2,o1,p0,q3,r1,s1,t1,u1
a3,24,c4,d0,1940,f3,g4,h3,i2,j0,k3,l0,60,n2,o1,p0,q2,r1,s1,t1,u1
a0,21,c4,d0,1602,f0,g4,h3,i3,j0,k2,l2,30,n2,o1,p1,q2,r1,s1,t1,u1
a3,15,c2,d3,1979,f4,g4,h3,i2,j0,k1,l2,35,n2,o1,p0,q2,r1,s0,t1,u1
a3,24,c4,d0,2022,f0,g2,h3,i1,j0,k3,l2,37,n2,o1,p0,q2,r1,s1,t1,u1
a3,36,c4,d3,3342,f4,g4,h3,i2,j0,k1,l2,51,n2,o1,p0,q2,r1,s1,t1,u1
a1,18,c2,d0,5866,f1,g2,h1,i2,j0,k1,l2,30,n2,o1,p1,q2,r1,s1,t1,u1
a2,15,c4,d1,2360,f2,g2,h1,i2,j0,k1,l2,36,n2,o1,p0,q2,r1,s1,t1,u1
a3,15,c4,d2,1520,f4,g4,h3,i2,j0,k3,l1,63,n2,o1,p0,q2,r1,s0,t1,u1
a0,12,c2,d0,3651,f3,g2,h0,i2,j0,k2,l1,31,n2,o1,p0,q2,r0,s0,t1,u1
a3,24,c4,d1,2346,f0,g3,h3,i2,j0,k2,l2,35,n2,o1,p1,q2,r1,s1,t1,u1
a3,36,c3,d3,4454,f0,g2,h3,i1,j0,k3,l0,34,n2,o1,p1,q2,r1,s0,t1,u1
a0,6,c4,d0,666,f3,g3,h2,i1,j0,k3,l0,39,n2,o1,p1,q1,r1,s1,t1,u1
a1,24,c3,d0,1965,f4,g2,h3,i1,j0,k3,l2,42,n2,o0,p1,q2,r1,s1,t1,u1
a1,12,c4,d0,1995,f1,g1,h3,i2,j0,k0,l2,27,n2,o1,p0,q2,r1,s0,t1,u1
a1,30,c2,d3,2991,f4,g4,h1,i1,j0,k3,l2,25,n2,o1,p0,q2,r1,s0,t1,u1
a1,30,c0,d8,4221,f0,g2,h1,i1,j0,k0,l2,28,n2,o1,p1,q2,r1,s0,t1,u1
a0,9,c2,d3,1364,f0,g3,h2,i2,j0,k3,l0,59,n2,o1,p0,q2,r1,s0,t1,u1
a1,18,c4,d2,6361,f0,g4,h1,i2,j0,k0,l3,41,n2,o1,p0,q2,r1,s1,t1,u1
a3,27,c4,d2,4526,f3,g1,h3,i2,j0,k1,l0,32,n1,o1,p1,q1,r0,s1,t1,u1
a1,12,c4,d3,3573,f0,g2,h0,i1,j0,k0,l0,23,n2,o1,p0,q1,r1,s0,t1,u1
a1,36,c3,d8,4455,f0,g2,h1,i0,j0,k1,l0,30,n1,o1,p1,q3,r1,s1,t1,u0
a0,9,c2,d2,2136,f0,g2,h2,i2,j0,k1,l0,25,n2,o1,p0,q2,r1,s0,t1,u1
a1,42,c4,d8,5954,f0,g3,h1,i1,j0,k0,l0,41,n0,o1,p1,q1,r1,s0,t1,u1
a3,24,c4,d2,3777,f3,g2,h3,i2,j0,k3,l0,40,n2,o1,p0,q2,r1,s1,t1,u1
a0,15,c2,d8,806,f0,g2,h3,i1,j0,k3,l1,22,n2,o1,p0,q1,r1,s0,t1,u1
a1,24,c3,d8,4712,f4,g2,h3,i2,j0,k1,l1,34,n0,o1,p1,q3,r1,s1,t1,u1
a1,36,c3,d0,7432,f0,g2,h1,i1,j0,k1,l1,54,n2,o0,p0,q2,r1,s0,t1,u1
a3,24,c4,d3,1851,f0,g3,h3,i3,j2,k1,l2,33,n2,o1,p1,q2,r1,s1,t1,u1
a3,24,c2,d0,1393,f0,g2,h1,i2,j2,k1,l0,31,n2,o1,p0,q2,r1,s1,t1,u1
a3,12,c4,d8,1412,f0,g2,h3,i1,j2,k1,l0,29,n2,o1,p1,q3,r1,s1,t1,u1
a3,18,c2,d3,1473,f0,g1,h2,i3,j0,k3,l0,39,n2,o1,p0,q2,r1,s1,t1,u1
a3,24,c2,d3,1533,f0,g1,h3,i1,j0,k2,l2,38,n1,o1,p0,q2,r1,s1,t1,u1
a3,12,c4,d6,2012,f4,g3,h3,i1,j0,k1,l2,61,n2,o1,p0,q2,r1,s0,t1,u1
a0,15,c2,d0,3959,f0,g2,h2,i1,j0,k1,l1,29,n2,o1,p0,q2,r1,s1,t1,u0
a0,6,c2,d2,428,f0,g4,h1,i1,j0,k0,l1,49,n0,o1,p0,q2,r1,s1,t1,u1
a1,12,c4,d0,2366,f2,g3,h2,i0,j0,k2,l2,36,n2,o1,p0,q3,r1,s1,t1,u1
a3,12,c2,d2,763,f0,g2,h3,i1,j0,k0,l0,26,n2,o1,p0,q2,r1,s1,t1,u1
a1,21,c2,d2,3976,f4,g3,h1,i2,j0,k2,l2,35,n2,o1,p0,q2,r1,s1,t1,u1
a1,18,c2,d0,6260,f0,g3,h2,i2,j0,k2,l0,28,n2,o0,p0,q1,r1,s0,t1,u1
a1,9,c4,d2,1919,f0,g3,h3,i2,j0,k2,l2,35,n2,o0,p0,q2,r1,s1,t1,u1
a3,24,c2,d1,2603,f3,g2,h1,i1,j0,k3,l2,28,n2,o0,p0,q2,r1,s1,t1,u1
a3,9,c4,d6,936,f2,g4,h3,i2,j0,k1,l2,52,n2,o1,p1,q2,r1,s1,t1,u1
a3,24,c2,d2,3062,f2,g4,h3,i2,j0,k2,l3,32,n2,o0,p0,q2,r1,s1,t1,u1
a1,36,c2,d3,4795,f0,g1,h3,i1,j0,k0,l3,30,n2,o1,p0,q3,r1,s1,t1,u1
a3,36,c4,d1,5842,f0,g4,h1,i2,j0,k1,l1,35,n2,o1,p1,q2,r0,s1,t1,u1
a1,6,c2,d3,2063,f0,g1,h3,i3,j0,k2,l2,30,n2,o0,p0,q3,r1,s1,t1,u1
a3,15,c4,d3,1459,f0,g2,h3,i1,j0,k1,l2,43,n2,o1,p0,q1,r1,s0,t1,u1
a3,15,c2,d3,1213,f2,g4,h3,i2,j0,k2,l1,47,n1,o1,p0,q2,r1,s1,t1,u1
a3,24,c4,d3,5103,f0,g1,h2,i3,j0,k2,l3,47,n2,o2,p2,q2,r1,s1,t1,u1
a3,15,c2,d4,874,f4,g1,h3,i1,j0,k0,l0,24,n2,o1,p0,q2,r1,s0,t1,u1
a3,6,c2,d2,2978,f2,g2,h0,i2,j0,k1,l2,32,n2,o1,p0,q2,r1,s1,t1,u1
a3,18,c2,d0,1820,f0,g2,h1,i3,j0,k1,l1,30,n2,o1,p0,q3,r1,s1,t1,u1
a3,24,c4,d3,2872,f1,g4,h2,i2,j0,k3,l0,36,n2,o1,p0,q2,r0,s1,t1,u1
a2,24,c2,d2,1925,f0,g2,h1,i2,j0,k1,l0,26,n2,o1,p0,q2,r1,s0,t1,u1
a3,18,c2,d2,2515,f0,g2,h2,i2,j0,k3,l0,43,n2,o1,p0,q2,r1,s1,t1,u1
a2,6,c2,d2,2116,f0,g2,h1,i2,j0,k1,l0,41,n2,o1,p0,q2,r1,s1,t1,u1
a3,18,c2,d3,1453,f0,g1,h2,i1,j0,k0,l0,26,n2,o1,p0,q2,r1,s0,t1,u1
a3,10,c2,d0,1364,f0,g2,h1,i1,j0,k3,l2,64,n2,o1,p0,q2,r1,s1,t1,u1
a3,6,c2,d2,1543,f3,g2,h3,i0,j0,k1,l0,33,n2,o1,p0,q2,r1,s0,t1,u1
a1,12,c2,d0,1318,f3,g4,h3,i2,j0,k3,l0,54,n2,o1,p0,q2,r1,s1,t1,u1
a0,24,c1,d0,2325,f1,g3,h1,i2,j0,k2,l2,32,n0,o1,p0,q2,r1,s0,t1,u1
a1,6,c4,d7,932,f4,g3,h0,i1,j0,k2,l1,39,n2,o1,p1,q1,r1,s0,t1,u1
a2,24,c4,d3,3148,f4,g2,h2,i2,j0,k1,l2,31,n2,o1,p1,q2,r1,s1,t1,u1
a3,36,c2,d3,3835,f4,g4,h1,i1,j0,k3,l0,45,n2,o1,p0,q1,r1,s1,t1,u1
a3,9,c2,d6,3832,f4,g4,h0,i2,j0,k3,l0,64,n2,o1,p0,q1,r1,s0,t1,u1
a1,24,c2,d3,5084,f4,g4,h1,i1,j0,k3,l2,42,n2,o1,p0,q2,r1,s1,t1,u1
a3,9,c4,d2,2406,f0,g0,h1,i2,j0,k2,l2,31,n2,o1,p0,q3,r1,s0,t1,u1
a3,36,c2,d3,2394,f4,g2,h3,i1,j0,k3,l2,25,n2,o1,p0,q2,r1,s0,t1,u1
a3,21,c2,d1,2476,f4,g4,h3,i2,j0,k3,l0,46,n2,o1,p0,q3,r1,s1,t1,u1
a0,24,c2,d1,2964,f4,g4,h3,i2,j0,k3,l3,49,n0,o2,p0,q2,r0,s1,t1,u1
a0,12,c2,d2,1262,f4,g4,h1,i0,j0,k3,l1,49,n2,o1,p0,q1,r1,s1,t1,u1
a3,12,c2,d8,1542,f0,g3,h1,i2,j0,k3,l2,36,n2,o1,p0,q2,r1,s1,t1,u1
a1,24,c4,d3,1743,f0,g4,h3,i2,j0,k1,l1,48,n2,o1,p1,q1,r1,s0,t1,u1
a2,12,c1,d3,409,f3,g2,h2,i1,j0,k2,l0,42,n2,o0,p1,q2,r1,s0,t1,u1
a3,12,c2,d3,2171,f0,g1,h1,i1,j0,k1,l2,29,n0,o1,p0,q2,r1,s0,t1,u1
a3,48,c4,d1,8858,f4,g3,h1,i2,j0,k0,l3,35,n2,o2,p1,q2,r1,s1,t1,u1
a1,24,c2,d0,3512,f1,g3,h1,i2,j0,k2,l2,38,n0,o1,p1,q2,r1,s1,t1,u1
a1,12,c2,d3,1158,f2,g2,h2,i0,j0,k0,l2,26,n2,o1,p0,q2,r1,s1,t1,u1
a3,24,c4,d3,2684,f0,g2,h3,i2,j0,k1,l0,35,n2,o1,p1,q1,r1,s0,t1,u1
a0,12,c2,d3,1498,f0,g2,h3,i1,j0,k0,l2,23,n0,o1,p0,q2,r1,s0,t1,u1
a3,30,c4,d3,5954,f0,g3,h2,i2,j1,k1,l2,38,n2,o1,p0,q2,r1,s0,t1,u1
a1,48,c1,d8,6416,f0,g4,h3,i1,j0,k2,l3,59,n2,o0,p0,q2,r1,s0,t1,u0
a1,12,c4,d2,3617,f0,g4,h0,i2,j0,k3,l2,28,n2,o0,p2,q2,r1,s1,t1,u1
a3,12,c4,d3,1291,f0,g2,h3,i1,j0,k1,l1,35,n2,o1,p1,q2,r1,s0,t1,u1
a2,24,c4,d8,1275,f3,g2,h1,i0,j0,k3,l0,36,n2,o1,p1,q2,r1,s1,t1,u1
a3,24,c2,d2,3972,f0,g3,h1,i1,j0,k3,l1,25,n2,o0,p0,q2,r1,s1,t1,u1
a3,15,c4,d2,3343,f0,g2,h3,i2,j0,k1,l3,28,n2,o2,p0,q2,r1,s1,t1,u1
a2,15,c2,d6,392,f0,g1,h3,i1,j0,k3,l1,23,n2,o0,p0,q2,r1,s1,t1,u1
a3,9,c4,d0,2134,f0,g2,h3,i2,j0,k3,l2,48,n2,o1,p2,q2,r1,s1,t1,u1
a3,30,c4,d3,5771,f0,g3,h3,i1,j0,k1,l2,25,n2,o1,p1,q2,r1,s0,t1,u1
a3,24,c4,d8,4526,f0,g2,h2,i2,j0,k1,l0,74,n2,o1,p0,q3,r1,s1,t1,u1
a3,15,c4,d2,2788,f0,g3,h1,i1,j1,k2,l2,24,n0,o1,p1,q2,r1,s0,t1,u1
a3,6,c4,d3,1382,f0,g2,h0,i1,j0,k0,l2,28,n2,o1,p1,q2,r1,s1,t1,u1
a2,36,c2,d3,5848,f0,g2,h3,i2,j0,k0,l2,24,n2,o1,p0,q2,r1,s0,t1,u1
a0,12,c2,d0,1228,f0,g2,h3,i1,j0,k1,l0,24,n2,o1,p0,q1,r1,s0,t1,u0
a2,12,c2,d3,1297,f0,g2,h2,i3,j0,k3,l0,23,n2,o0,p0,q2,r1,s0,t1,u1
a3,24,c2,d3,1552,f0,g3,h2,i2,j0,k0,l2,32,n0,o1,p0,q2,r0,s0,t1,u1
a3,12,c2,d3,1963,f0,g3,h3,i2,j0,k1,l2,31,n2,o0,p1,q3,r0,s1,t1,u1
a3,24,c2,d3,3235,f2,g4,h2,i0,j0,k1,l2,36,n2,o1,p0,q3,r1,s1,t1,u1
a3,24,c4,d8,4139,f1,g2,h2,i2,j0,k2,l1,27,n2,o1,p1,q1,r1,s1,t1,u1
a1,12,c4,d1,1804,f1,g1,h2,i2,j0,k3,l1,44,n2,o1,p0,q2,r1,s0,t1,u1
a3,18,c2,d8,1950,f0,g3,h3,i2,j0,k0,l2,34,n1,o1,p1,q2,r1,s1,t1,u1
a3,48,c3,d3,12749,f2,g3,h3,i2,j0,k0,l2,37,n2,o1,p0,q3,r1,s1,t1,u1
a3,9,c2,d4,1236,f0,g1,h0,i1,j0,k3,l0,23,n2,o0,p0,q2,r1,s1,t1,u1
a3,18,c4,d0,1055,f0,g1,h3,i1,j0,k0,l1,30,n2,o1,p1,q2,r1,s0,t1,u1
a0,30,c0,d8,8072,f4,g1,h1,i2,j0,k2,l2,25,n0,o1,p2,q2,r1,s0,t1,u1
a3,30,c4,d3,2831,f0,g2,h3,i1,j0,k1,l2,33,n2,o1,p0,q2,r1,s1,t1,u1
a3,9,c2,d8,1449,f0,g3,h2,i1,j0,k1,l2,27,n2,o1,p1,q2,r1,s0,t1,u1
a3,36,c2,d8,5742,f1,g3,h1,i2,j0,k1,l2,31,n2,o1,p1,q2,r1,s1,t1,u1
a3,12,c2,d0,2390,f4,g4,h3,i2,j0,k2,l2,50,n2,o1,p0,q2,r1,s1,t1,u1
a3,24,c2,d3,3430,f2,g4,h2,i2,j0,k1,l2,31,n2,o1,p0,q2,r0,s1,t1,u1
a1,36,c2,d6,2273,f0,g3,h2,i2,j0,k0,l2,32,n2,o1,p1,q2,r0,s0,t1,u1
a2,21,c2,d0,2923,f1,g2,h0,i1,j0,k0,l2,28,n0,o1,p0,q3,r1,s1,t1,u1
a3,24,c2,d3,1901,f1,g2,h3,i2,j0,k3,l2,29,n2,o0,p0,q3,r1,s1,t1,u1
a1,36,c2,d6,3711,f4,g2,h1,i3,j0,k1,l2,27,n2,o1,p0,q2,r1,s0,t1,u1
a1,48,c2,d0,8487,f4,g3,h0,i1,j0,k1,l2,24,n2,o1,p0,q2,r1,s0,t1,u1
a3,24,c2,d0,2255,f4,g1,h3,i2,j0,k0,l1,54,n2,o1,p0,q2,r1,s0,t1,u1
a3,12,c2,d3,1262,f0,g2,h2,i2,j0,k1,l2,25,n2,o1,p0,q2,r1,s0,t1,u1
a3,33,c4,d1,7253,f0,g3,h2,i2,j0,k1,l2,35,n2,o1,p1,q3,r1,s1,t1,u1
a3,6,c4,d0,6761,f0,g3,h0,i2,j0,k2,l3,45,n2,o1,p1,q3,r0,s1,t1,u1
a3,18,c4,d2,1817,f0,g2,h3,i1,j0,k1,l3,28,n2,o1,p1,q2,r1,s0,t1,u1
a3,12,c2,d3,2141,f1,g3,h2,i2,j0,k0,l3,35,n2,o1,p0,q2,r1,s0,t1,u1
a3,48,c1,d8,3609,f0,g2,h0,i1,j0,k0,l0,27,n1,o1,p0,q2,r1,s0,t1,u1
a3,30,c2,d3,2333,f2,g4,h3,i2,j0,k1,l2,30,n0,o1,p0,q3,r1,s0,t1,u1
a3,28,c1,d1,7824,f4,g1,h2,i2,j2,k3,l0,40,n0,o0,p1,q2,r0,s1,t1,u1
a2,18,c1,d3,1445,f4,g3,h3,i2,j0,k3,l2,49,n0,o1,p0,q1,r1,s0,t1,u1
a0,24,c2,d2,7721,f4,g1,h0,i1,j0,k1,l1,30,n2,o1,p0,q2,r1,s1,t0,u1
a0,21,c2,d0,3763,f4,g3,h1,i2,j1,k1,l0,24,n2,o1,p0,q1,r1,s0,t0,u1
a1,18,c2,d8,4439,f0,g4,h0,i2,j1,k0,l0,33,n0,o1,p0,q3,r1,s1,t1,u1
a0,12,c2,d3,1107,f0,g2,h1,i2,j0,k1,l0,20,n2,o0,p0,q3,r0,s1,t1,u1
a1,15,c2,d3,1444,f4,g1,h3,i2,j0,k0,l1,23,n2,o1,p0,q2,r1,s0,t1,u1
a1,48,c1,d0,12169,f4,g0,h3,i2,j1,k3,l3,36,n2,o2,p0,q3,r1,s1,t1,u1
a3,9,c2,d3,2753,f1,g4,h2,i2,j1,k3,l2,35,n2,o1,p0,q2,r1,s1,t1,u1
a2,4,c2,d0,1494,f4,g1,h0,i2,j0,k1,l0,29,n2,o1,p0,q1,r0,s0,t0,u1
a0,24,c1,d2,2828,f2,g2,h3,i2,j0,k3,l0,22,n1,o1,p0,q2,r1,s1,t1,u1
a0,24,c1,d2,2483,f2,g2,h3,i2,j0,k3,l0,22,n1,o1,p0,q2,r1,s1,t1,u1
a2,6,c4,d0,1299,f0,g2,h0,i2,j0,k0,l0,74,n2,o1,p2,q0,r0,s0,t0,u1
a1,9,c2,d0,1549,f4,g1,h3,i2,j0,k1,l0,35,n2,o1,p0,q0,r1,s0,t1,u1
a2,10,c2,d0,3949,f0,g1,h0,i2,j2,k0,l1,37,n2,o1,p0,q1,r0,s0,t1,u1
a3,10,c2,d1,2901,f4,g1,h0,i1,j0,k3,l0,31,n2,o0,p0,q2,r1,s0,t1,u1
a2,6,c2,d0,709,f3,g1,h1,i3,j0,k1,l0,27,n2,o1,p0,q0,r1,s0,t0,u1
a0,47,c2,d0,10722,f0,g1,h0,i1,j0,k0,l0,35,n2,o1,p0,q1,r1,s1,t1,u1
a3,10,c2,d0,1287,f4,g4,h3,i2,j1,k1,l1,45,n2,o1,p0,q1,r1,s0,t0,u1
a0,18,c1,d3,1940,f0,g1,h2,i2,j1,k3,l3,36,n0,o2,p0,q3,r1,s1,t1,u1
a2,30,c4,d3,3656,f4,g4,h3,i2,j0,k3,l1,49,n1,o1,p1,q1,r1,s0,t1,u1
a3,24,c3,d1,4679,f0,g3,h2,i2,j0,k2,l2,35,n2,o1,p1,q1,r1,s1,t1,u1
a3,27,c3,d1,8613,f3,g2,h1,i2,j0,k1,l2,27,n2,o1,p1,q2,r1,s0,t1,u1
a0,18,c2,d2,2659,f3,g2,h3,i2,j0,k1,l2,28,n2,o1,p0,q2,r1,s0,t1,u1
a3,24,c4,d3,1516,f3,g2,h3,i1,j0,k0,l0,43,n2,o1,p1,q1,r1,s0,t1,u1
