laufzeit,hoehe,alter,laufkont,moral,verw,sparkont,beszeit,rate,famges,buerge,wohnzeit,verm,weitkred,wohn,bishkred,beruf,pers,telef,gastarb,kredit
24,6842,46,a3,c4,d1,f4,g2,h1,i2,j0,k3,l1,n2,o1,p1,q3,r0,s1,t1,u1
9,1501,34,a1,c4,d6,f0,g4,h1,i1,j0,k2,l2,n2,o1,p1,q3,r1,s1,t1,u0
24,1377,47,a2,c2,d3,f1,g4,h3,i1,j0,k1,l3,n2,o2,p0,q2,r1,s1,t1,u1
24,1246,23,a1,c2,d0,f0,g1,h3,i2,j0,k1,l0,n0,o1,p0,q1,r1,s0,t1,u0
30,3832,22,a1,c2,d2,f0,g1,h1,i3,j0,k0,l1,n2,o1,p0,q2,r1,s0,t1,u1
12,2002,30,a1,c2,d0,f0,g3,h2,i2,j0,k3,l1,n2,o0,p0,q2,r0,s1,t1,u1
6,433,24,a1,c1,d6,f3,g1,h3,i1,j0,k1,l1,n0,o0,p0,q2,r0,s0,t1,u0
48,7582,31,a1,c3,d9,f1,g0,h1,i2,j0,k3,l3,n2,o1,p0,q3,r1,s1,t1,u1
24,5943,44,a3,c2,d3,f4,g1,h0,i1,j0,k0,l2,n2,o1,p1,q2,r1,s1,t1,u0
15,1478,33,a3,c3,d3,f0,g2,h3,i3,j0,k2,l0,n0,o1,p1,q2,r1,s0,t1,u1
15,1979,35,a3,c2,d3,f4,g4,h3,i2,j0,k1,l2,n2,o1,p0,q2,r1,s0,t1,u1
24,1559,40,a3,c1,d8,f0,g3,h3,i2,j0,k3,l2,n0,o1,p0,q2,r1,s1,t1,u1
6,3518,26,a3,c2,d0,f0,g2,h1,i2,j2,k2,l1,n2,o0,p0,q2,r1,s0,t1,u1
6,484,28,a1,c2,d3,f0,g3,h2,i3,j2,k2,l0,n0,o1,p0,q1,r1,s0,t1,u1
12,2859,38,a3,c2,d0,f4,g0,h3,i2,j0,k3,l3,n2,o1,p0,q3,r1,s1,t1,u1
12,1262,25,a3,c2,d3,f0,g2,h2,i2,j0,k1,l2,n2,o1,p0,q2,r1,s0,t1,u1
12,1995,27,a1,c4,d0,f1,g1,h3,i2,j0,k0,l2,n2,o1,p0,q2,r1,s0,t1,u1
18,5302,36,a0,c4,d0,f0,g4,h1,i2,j0,k3,l3,n2,o2,p2,q3,r1,s1,t1,u1
48,6143,58,a0,c4,d1,f0,g4,h3,i1,j0,k3,l3,n1,o2,p1,q1,r1,s0,t1,u0
14,8978,45,a0,c2,d0,f0,g4,h0,i0,j0,k3,l1,n2,o1,p0,q3,r1,s1,t0,u0
12,1410,31,a1,c0,d7,f0,g2,h1,i2,j0,k1,l0,n2,o1,p0,q1,r1,s1,t1,u1
6,1343,46,a2,c4,d0,f0,g4,h0,i2,j0,k3,l0,n2,o1,p1,q2,r0,s0,t0,u1
12,522,42,a3,c4,d3,f2,g4,h3,i2,j0,k3,l1,n2,o1,p1,q2,r0,s1,t1,u1
24,3621,31,a3,c2,d3,f1,g4,h1,i2,j0,k3,l2,n2,o1,p1,q2,r1,s0,t1,u0
47,10722,35,a0,c2,d0,f0,g1,h0,i1,j0,k0,l0,n2,o1,p0,q1,r1,s1,t1,u1
18,1295,27,a1,c4,d2,f0,g1,h3,i1,j0,k0,l1,n2,o1,p1,q2,r1,s0,t1,u1
6,1050,35,a1,c3,d2,f0,g0,h3,i2,j0,k0,l1,n1,o1,p1,q3,r1,s1,t0,u1
9,2136,25,a0,c2,d2,f0,g2,h2,i2,j0,k1,l0,n2,o1,p0,q2,r1,s0,t1,u1
45,4746,24,a1,c4,d3,f0,g1,h3,i2,j0,k1,l1,n0,o1,p1,q1,r1,s0,t1,u0
27,8318,42,a1,c0,d8,f0,g4,h1,i1,j0,k3,l3,n1,o2,p1,q3,r1,s1,t1,u0
36,6229,23,a0,c4,d2,f0,g1,h3,i1,j1,k3,l3,n2,o0,p1,q1,r1,s1,t1,u0
48,3609,27,a3,c1,d8,f0,g2,h0,i1,j0,k0,l0,n1,o1,p0,q2,r1,s0,t1,u1
18,6204,44,a1,c3,d5,f0,g2,h1,i2,j0,k3,l0,n2,o1,p0,q1,r0,s1,t1,u1
18,1582,46,a3,c4,d3,f3,g4,h3,i2,j0,k3,l2,n2,o1,p1,q2,r1,s0,t1,u1
6,250,41,a3,c4,d0,f3,g2,h1,i1,j0,k1,l0,n0,o1,p1,q1,r1,s0,t1,u1
24,6872,55,a0,c1,d2,f0,g1,h1,i0,j0,k0,l1,n0,o1,p0,q2,r1,s1,t1,u0
9,2406,31,a3,c4,d2,f0,g0,h1,i2,j0,k2,l2,n2,o1,p0,q3,r1,s0,t1,u1
6,518,29,a3,c2,d3,f0,g2,h2,i1,j0,k0,l0,n2,o1,p0,q2,r1,s0,t1,u1
48,3051,54,a0,c2,d4,f0,g2,h2,i2,j0,k3,l2,n2,o1,p0,q2,r1,s0,t1,u0
18,1795,48,a1,c4,d3,f0,g4,h2,i1,j2,k3,l0,n0,o0,p1,q1,r1,s1,t1,u1
24,1987,21,a0,c2,d3,f0,g2,h1,i2,j0,k3,l0,n2,o0,p0,q1,r0,s0,t1,u0
12,1526,66,a0,c4,d1,f0,g4,h3,i2,j0,k3,l3,n2,o2,p1,q3,r1,s0,t1,u1
36,3349,28,a3,c2,d2,f0,g2,h3,i1,j0,k1,l2,n2,o1,p0,q3,r1,s1,t1,u0
12,684,40,a0,c2,d6,f0,g2,h3,i2,j0,k3,l2,n2,o0,p0,q1,r0,s0,t1,u0
24,1278,36,a3,c2,d3,f0,g4,h3,i2,j0,k0,l0,n2,o1,p0,q3,r1,s1,t1,u1
24,3123,27,a0,c2,d0,f0,g1,h3,i1,j0,k0,l1,n2,o1,p0,q2,r1,s0,t1,u0
24,1901,29,a3,c2,d3,f1,g2,h3,i2,j0,k3,l2,n2,o0,p0,q3,r1,s1,t1,u1
48,14421,25,a1,c0,d8,f0,g2,h1,i2,j0,k1,l2,n1,o1,p0,q2,r1,s1,t1,u0
24,2064,34,a1,c3,d2,f0,g0,h2,i1,j0,k1,l1,n2,o1,p0,q3,r1,s1,t1,u0
11,1577,20,a1,c2,d2,f3,g1,h3,i1,j0,k0,l0,n2,o1,p0,q2,r1,s0,t1,u1
15,1778,26,a1,c0,d0,f0,g1,h1,i1,j0,k0,l0,n2,o0,p1,q0,r1,s0,t1,u0
21,3414,26,a0,c3,d6,f0,g1,h1,i2,j0,k0,l1,n1,o1,p1,q2,r1,s0,t1,u0
12,1092,49,a1,c2,d3,f0,g2,h3,i1,j2,k3,l0,n2,o1,p1,q2,r1,s1,t1,u1
24,1393,31,a3,c2,d0,f0,g2,h1,i2,j2,k1,l0,n2,o1,p0,q2,r1,s1,t1,u1
48,9960,26,a1,c2,d2,f0,g1,h0,i1,j0,k1,l2,n0,o1,p0,q2,r1,s1,t1,u0
15,392,23,a2,c2,d6,f0,g1,h3,i1,j0,k3,l1,n2,o0,p0,q2,r1,s1,t1,u1
12,926,38,a3,c4,d0,f0,g0,h0,i1,j0,k1,l1,n2,o1,p0,q0,r1,s0,t1,u1
24,2760,36,a1,c2,d1,f4,g4,h3,i2,j0,k3,l3,n0,o2,p0,q2,r1,s1,t1,u1
12,618,56,a3,c4,d3,f0,g4,h3,i2,j0,k3,l0,n2,o1,p0,q2,r1,s0,t1,u1
18,1530,32,a3,c4,d0,f0,g2,h2,i2,j0,k1,l1,n0,o1,p1,q2,r1,s0,t1,u0
36,909,36,a3,c2,d0,f2,g4,h3,i2,j0,k3,l1,n2,o1,p0,q2,r1,s0,t1,u1
21,2745,32,a1,c4,d2,f3,g3,h2,i2,j0,k1,l2,n2,o1,p1,q2,r1,s1,t1,u1
36,10875,45,a3,c3,d0,f0,g4,h1,i2,j0,k1,l2,n2,o1,p1,q2,r0,s1,t1,u1
24,3758,23,a1,c2,d3,f2,g0,h0,i1,j0,k3,l3,n2,o0,p0,q0,r1,s0,t1,u1
12,2366,36,a1,c4,d0,f2,g3,h2,i0,j0,k2,l2,n2,o1,p0,q3,r1,s1,t1,u1
24,3972,25,a3,c2,d2,f0,g3,h1,i1,j0,k3,l1,n2,o0,p0,q2,r1,s1,t1,u1
21,1572,36,a3,c2,d8,f3,g4,h3,i1,j0,k3,l0,n0,o1,p0,q1,r1,s0,t1,u1
6,672,54,a3,c2,d0,f0,g0,h0,i1,j0,k3,l0,n2,o1,p0,q0,r1,s1,t1,u1
12,2762,25,a1,c2,d2,f4,g4,h0,i1,j0,k1,l1,n2,o1,p0,q2,r1,s1,t1,u0
12,339,45,a0,c1,d7,f0,g4,h3,i3,j0,k0,l2,n0,o1,p0,q1,r1,s0,t1,u1
24,3148,31,a2,c4,d3,f4,g2,h2,i2,j0,k1,l2,n2,o1,p1,q2,r1,s1,t1,u1
12,2759,34,a3,c0,d2,f0,g4,h1,i2,j0,k3,l1,n2,o1,p1,q2,r1,s0,t1,u1
6,709,27,a2,c2,d0,f3,g1,h1,i3,j0,k1,l0,n2,o1,p0,q0,r1,s0,t0,u1
27,2528,32,a1,c2,d8,f0,g1,h3,i1,j0,k0,l1,n2,o1,p0,q2,r0,s1,t1,u1
18,629,32,a3,c4,d3,f2,g4,h3,i2,j0,k2,l1,n0,o1,p1,q3,r1,s1,t1,u1
24,2375,44,a3,c3,d8,f2,g2,h3,i2,j0,k1,l2,n2,o1,p1,q2,r0,s1,t1,u1
18,3001,40,a1,c2,d2,f0,g3,h1,i1,j0,k3,l0,n2,o0,p0,q2,r1,s0,t1,u1
24,2223,52,a3,c4,d3,f1,g4,h3,i2,j0,k3,l1,n0,o1,p1,q2,r1,s0,t1,u1
12,1037,39,a1,c2,d8,f1,g3,h2,i2,j0,k3,l0,n2,o1,p0,q1,r1,s0,t1,u1
12,1657,27,a0,c2,d2,f0,g2,h1,i2,j0,k1,l0,n2,o1,p0,q2,r1,s0,t1,u1
36,4454,34,a3,c3,d3,f0,g2,h3,i1,j0,k3,l0,n2,o1,p1,q2,r1,s0,t1,u1
30,5234,28,a1,c4,d0,f0,g0,h3,i3,j0,k1,l2,n2,o1,p1,q3,r1,s0,t1,u0
30,2181,36,a1,c4,d0,f4,g4,h3,i2,j0,k3,l0,n2,o1,p1,q2,r1,s0,t1,u1
8,1164,51,a0,c4,d9,f0,g4,h2,i2,j0,k3,l3,n0,o2,p1,q3,r0,s1,t1,u1
6,700,36,a3,c4,d3,f4,g4,h3,i2,j0,k3,l3,n2,o2,p1,q2,r1,s0,t1,u1
12,2073,28,a3,c2,d3,f1,g2,h3,i1,j1,k1,l0,n2,o1,p0,q2,r1,s0,t1,u1
12,1274,37,a0,c2,d0,f0,g1,h2,i1,j0,k0,l0,n0,o1,p0,q1,r1,s0,t1,u0
18,2462,22,a0,c2,d2,f0,g2,h1,i2,j0,k1,l2,n2,o1,p0,q2,r1,s0,t1,u0
24,1275,36,a2,c4,d8,f3,g2,h1,i0,j0,k3,l0,n2,o1,p1,q2,r1,s1,t1,u1
9,936,52,a3,c4,d6,f2,g4,h3,i2,j0,k1,l2,n2,o1,p1,q2,r1,s1,t1,u1
21,3160,41,a3,c2,d3,f4,g4,h3,i2,j0,k2,l1,n2,o1,p0,q2,r1,s1,t1,u1
12,708,38,a0,c2,d2,f0,g2,h1,i2,j2,k2,l1,n2,o1,p0,q1,r0,s0,t1,u1
6,753,64,a1,c2,d3,f0,g2,h1,i1,j2,k2,l0,n2,o1,p0,q2,r1,s0,t1,u1
15,2631,25,a1,c2,d5,f1,g2,h2,i1,j0,k1,l0,n2,o1,p0,q1,r1,s0,t1,u1
6,448,23,a0,c2,d6,f0,g1,h3,i1,j0,k3,l1,n2,o1,p0,q2,r1,s0,t1,u0
12,3017,34,a1,c2,d2,f0,g1,h2,i1,j0,k0,l0,n2,o0,p0,q3,r1,s0,t1,u1
33,2764,26,a3,c3,d8,f0,g2,h1,i1,j0,k1,l2,n2,o1,p1,q2,r1,s1,t1,u1
36,5800,34,a1,c4,d1,f0,g2,h2,i2,j0,k3,l2,n2,o1,p1,q2,r1,s1,t1,u1
12,1402,37,a3,c4,d2,f2,g3,h2,i1,j0,k3,l2,n2,o0,p0,q2,r1,s1,t1,u1
12,1372,36,a0,c2,d0,f0,g3,h1,i0,j0,k2,l2,n2,o1,p0,q2,r1,s0,t1,u0
24,3161,31,a0,c1,d8,f0,g2,h3,i2,j0,k1,l1,n0,o0,p0,q2,r1,s1,t1,u0
12,3016,24,a2,c2,d3,f0,g2,h2,i3,j0,k0,l2,n2,o1,p0,q2,r1,s0,t1,u1
24,2828,22,a0,c1,d2,f2,g2,h3,i2,j0,k3,l0,n1,o1,p0,q2,r1,s1,t1,u1
12,1264,57,a3,c4,d8,f4,g4,h3,i2,j0,k3,l3,n2,o0,p0,q1,r1,s0,t1,u1
36,1977,40,a0,c2,d6,f4,g4,h3,i2,j0,k3,l3,n2,o1,p0,q3,r1,s1,t1,u0
18,1131,33,a0,c2,d2,f0,g0,h3,i1,j0,k1,l2,n2,o1,p0,q2,r1,s0,t1,u0
18,2864,34,a2,c2,d2,f0,g2,h1,i2,j0,k0,l0,n2,o1,p0,q1,r0,s0,t1,u0
36,2394,25,a3,c2,d3,f4,g2,h3,i1,j0,k3,l2,n2,o1,p0,q2,r1,s0,t1,u1
12,3331,42,a3,c4,d2,f0,g4,h1,i2,j0,k3,l1,n1,o1,p0,q2,r1,s0,t1,u1
30,10623,38,a0,c4,d1,f0,g4,h2,i2,j0,k3,l3,n2,o2,p2,q3,r0,s1,t1,u1
12,2247,36,a2,c3,d0,f0,g2,h1,i1,j0,k1,l2,n1,o1,p1,q2,r1,s1,t1,u1
18,1055,30,a3,c4,d0,f0,g1,h3,i1,j0,k0,l1,n2,o1,p1,q2,r1,s0,t1,u1
24,1231,57,a0,c4,d3,f3,g4,h3,i1,j0,k3,l1,n2,o0,p1,q3,r1,s1,t1,u1
15,1520,63,a3,c4,d2,f4,g4,h3,i2,j0,k3,l1,n2,o1,p0,q2,r1,s0,t1,u1
24,11938,39,a1,c4,d9,f0,g2,h1,i2,j1,k2,l2,n2,o1,p1,q3,r0,s1,t1,u0
36,14318,57,a1,c2,d0,f0,g4,h3,i2,j0,k1,l3,n2,o2,p0,q3,r1,s1,t1,u0
24,3181,26,a3,c2,d3,f0,g1,h3,i1,j0,k3,l1,n2,o1,p0,q2,r1,s1,t1,u1
12,2577,42,a0,c2,d2,f0,g2,h1,i0,j0,k0,l2,n2,o1,p0,q2,r1,s0,t1,u1
36,9055,35,a3,c2,d6,f4,g2,h1,i2,j0,k3,l3,n2,o2,p0,q1,r0,s1,t1,u1
15,806,22,a0,c2,d8,f0,g2,h3,i1,j0,k3,l1,n2,o1,p0,q1,r1,s0,t1,u1
24,3632,22,a0,c1,d1,f0,g2,h0,i1,j2,k3,l2,n0,o0,p0,q2,r1,s0,t0,u1
18,3509,25,a0,c2,d3,f0,g3,h3,i1,j2,k0,l0,n2,o1,p0,q2,r1,s0,t1,u1
36,9398,28,a1,c2,d1,f0,g1,h0,i3,j0,k3,l2,n2,o0,p0,q3,r1,s1,t1,u0
60,15653,21,a3,c3,d3,f0,g3,h1,i2,j0,k3,l2,n2,o1,p1,q2,r1,s1,t1,u1
8,713,47,a0,c4,d0,f0,g4,h3,i2,j0,k3,l0,n2,o1,p1,q1,r1,s0,t1,u1
18,1864,30,a3,c4,d6,f1,g2,h3,i1,j0,k1,l0,n2,o1,p1,q2,r1,s0,t1,u0
60,13756,63,a3,c4,d0,f4,g4,h1,i2,j0,k3,l3,n0,o2,p0,q3,r1,s1,t1,u1
11,3905,36,a0,c4,d0,f0,g2,h1,i2,j0,k1,l0,n2,o0,p1,q2,r0,s0,t1,u1
24,2896,29,a1,c2,d3,f1,g1,h1,i2,j0,k0,l2,n2,o1,p0,q2,r1,s0,t1,u1
9,2030,24,a1,c2,d2,f4,g3,h1,i2,j0,k0,l2,n2,o1,p0,q2,r1,s1,t1,u1
10,2848,32,a3,c2,d1,f1,g2,h0,i2,j1,k1,l0,n2,o1,p0,q2,r0,s0,t1,u1
6,932,39,a1,c4,d7,f4,g3,h0,i1,j0,k2,l1,n2,o1,p1,q1,r1,s0,t1,u1
24,1516,43,a3,c4,d3,f3,g2,h3,i1,j0,k0,l0,n2,o1,p1,q1,r1,s0,t1,u1
24,6568,21,a0,c2,d8,f0,g2,h1,i3,j0,k1,l2,n1,o1,p0,q1,r1,s0,t1,u1
21,2767,61,a1,c2,d8,f1,g4,h3,i0,j0,k1,l2,n2,o0,p1,q1,r1,s0,t1,u0
6,426,39,a3,c0,d3,f0,g4,h3,i3,j0,k3,l2,n2,o1,p0,q1,r1,s0,t1,u1
12,3651,31,a0,c2,d0,f3,g2,h0,i2,j0,k2,l1,n2,o1,p0,q2,r0,s0,t1,u1
24,11328,29,a1,c2,d9,f0,g2,h1,i2,j1,k2,l2,n0,o1,p1,q3,r1,s1,t1,u0
24,1851,33,a3,c4,d3,f0,g3,h3,i3,j2,k1,l2,n2,o1,p1,q2,r1,s1,t1,u1
24,1935,31,a1,c4,d8,f0,g4,h3,i0,j0,k3,l0,n2,o1,p1,q2,r1,s1,t1,u0
36,9572,28,a3,c3,d8,f0,g1,h0,i0,j0,k0,l2,n2,o1,p1,q2,r1,s0,t1,u0
36,3249,39,a0,c2,d0,f0,g3,h1,i2,j0,k3,l3,n0,o2,p0,q3,r0,s1,t1,u1
4,1455,42,a3,c4,d0,f0,g3,h1,i2,j0,k0,l0,n2,o1,p2,q1,r0,s0,t1,u1
12,2122,39,a0,c4,d0,f0,g2,h2,i2,j0,k1,l0,n2,o0,p1,q1,r0,s0,t0,u1
12,1258,22,a3,c4,d2,f0,g1,h1,i1,j0,k3,l1,n2,o0,p1,q1,r1,s0,t1,u1
24,2812,26,a0,c2,d1,f4,g4,h1,i1,j0,k3,l0,n2,o0,p0,q2,r1,s0,t1,u1
30,4249,28,a1,c4,d0,f0,g0,h3,i3,j0,k1,l2,n2,o1,p1,q3,r1,s0,t1,u0
15,950,33,a0,c0,d0,f0,g4,h3,i2,j0,k2,l2,n2,o0,p1,q2,r0,s0,t1,u0
12,1498,23,a0,c2,d3,f0,g2,h3,i1,j0,k0,l2,n0,o1,p0,q2,r1,s0,t1,u1
12,1804,44,a1,c4,d1,f1,g1,h2,i2,j0,k3,l1,n2,o1,p0,q2,r1,s0,t1,u1
21,3763,24,a0,c2,d0,f4,g3,h1,i2,j1,k1,l0,n2,o1,p0,q1,r1,s0,t0,u1
36,2820,27,a1,c4,d0,f0,g1,h3,i0,j0,k3,l2,n2,o1,p1,q2,r1,s0,t1,u0
24,6579,29,a0,c2,d1,f0,g0,h3,i2,j0,k1,l3,n2,o2,p0,q3,r1,s1,t1,u1
12,7472,24,a1,c2,d0,f4,g0,h0,i1,j0,k1,l0,n2,o0,p0,q0,r1,s0,t1,u1
36,5493,42,a0,c2,d1,f0,g4,h1,i2,j0,k3,l3,n2,o2,p0,q2,r0,s0,t1,u1
15,2631,28,a1,c2,d0,f1,g2,h1,i1,j0,k3,l2,n2,o0,p1,q2,r1,s1,t1,u0
24,1603,55,a0,c2,d3,f0,g4,h3,i1,j0,k3,l2,n2,o1,p0,q2,r1,s0,t1,u1
24,2397,35,a3,c2,d3,f2,g4,h2,i2,j0,k1,l2,n0,o1,p1,q2,r1,s1,t1,u0
12,3399,37,a2,c2,d3,f4,g4,h1,i2,j0,k2,l2,n2,o1,p0,q3,r1,s0,t1,u1
18,3229,38,a3,c4,d1,f4,g0,h1,i2,j0,k3,l3,n2,o1,p0,q3,r1,s1,t1,u1
48,4605,24,a0,c0,d1,f0,g4,h2,i2,j0,k3,l3,n2,o2,p1,q2,r0,s0,t1,u0
12,2214,24,a0,c2,d3,f0,g2,h3,i2,j0,k2,l1,n2,o1,p0,q1,r1,s0,t1,u1
12,804,38,a3,c2,d3,f0,g4,h3,i2,j0,k3,l2,n2,o1,p0,q2,r1,s0,t1,u1
24,1585,40,a3,c4,d2,f0,g3,h3,i2,j0,k2,l1,n2,o1,p1,q2,r1,s0,t1,u1
15,1569,34,a3,c1,d3,f1,g4,h3,i2,j0,k3,l2,n0,o1,p0,q1,r0,s0,t1,u1
15,2186,33,a3,c2,d2,f4,g3,h0,i1,j0,k3,l0,n0,o0,p0,q1,r1,s0,t1,u1
48,11590,24,a3,c4,d1,f1,g2,h1,i1,j0,k3,l2,n2,o0,p1,q1,r1,s0,t1,u0
9,1288,48,a0,c4,d5,f1,g4,h2,i2,j2,k3,l0,n2,o1,p1,q2,r0,s0,t0,u1
9,654,28,a0,c2,d0,f0,g2,h3,i2,j0,k2,l2,n2,o1,p0,q1,r1,s0,t1,u0
39,14179,30,a0,c4,d2,f4,g3,h3,i2,j0,k3,l1,n2,o1,p1,q3,r1,s1,t1,u1
21,3599,26,a0,c2,d2,f0,g3,h0,i1,j0,k3,l2,n2,o0,p0,q1,r1,s0,t1,u1
24,1311,26,a3,c2,d3,f1,g3,h3,i3,j0,k2,l1,n2,o1,p0,q2,r1,s1,t1,u1
24,3105,25,a3,c2,d3,f4,g1,h3,i2,j0,k1,l2,n2,o1,p1,q2,r1,s0,t1,u1
9,1437,29,a1,c1,d0,f1,g3,h1,i2,j0,k2,l3,n2,o1,p0,q2,r1,s0,t1,u0
24,3749,26,a2,c2,d2,f0,g1,h1,i1,j0,k3,l2,n2,o1,p0,q2,r1,s0,t1,u1
24,5743,24,a1,c4,d6,f0,g1,h1,i1,j0,k3,l3,n2,o2,p1,q2,r1,s1,t1,u1
48,8358,30,a1,c0,d0,f2,g1,h0,i1,j0,k0,l2,n2,o1,p1,q2,r1,s0,t1,u1
21,3976,35,a1,c2,d2,f4,g3,h1,i2,j0,k2,l2,n2,o1,p0,q2,r1,s1,t1,u1
15,975,25,a0,c4,d2,f0,g2,h1,i0,j0,k2,l1,n2,o1,p1,q2,r1,s0,t1,u1
12,1860,34,a1,c4,d1,f0,g0,h3,i2,j0,k1,l2,n2,o1,p1,q3,r1,s1,t1,u1
24,5433,26,a3,c2,d1,f4,g0,h1,i1,j0,k3,l1,n2,o0,p0,q3,r1,s1,t1,u1
15,3368,23,a3,c4,d1,f3,g4,h2,i2,j0,k3,l3,n2,o0,p1,q2,r1,s1,t1,u1
36,1953,61,a1,c0,d8,f0,g4,h3,i2,j0,k3,l3,n2,o2,p0,q3,r1,s1,t1,u0
12,685,25,a1,c2,d0,f0,g3,h1,i3,j0,k2,l2,n0,o1,p0,q1,r1,s0,t1,u0
30,3857,40,a0,c2,d1,f0,g2,h3,i0,j0,k3,l1,n2,o1,p0,q3,r1,s1,t1,u1
30,3496,34,a1,c1,d2,f3,g2,h3,i2,j0,k1,l2,n1,o1,p0,q2,r0,s1,t1,u1
6,3384,44,a0,c4,d2,f0,g2,h0,i0,j0,k3,l0,n2,o0,p0,q3,r1,s1,t1,u0
24,1249,28,a3,c2,d0,f0,g1,h3,i3,j0,k1,l0,n2,o1,p0,q2,r1,s0,t1,u1
6,783,26,a3,c1,d0,f4,g2,h0,i2,j2,k1,l0,n1,o1,p0,q1,r0,s0,t1,u1
6,1323,28,a2,c4,d0,f1,g4,h1,i0,j0,k3,l2,n2,o1,p1,q2,r0,s1,t1,u1
36,3620,37,a0,c2,d2,f0,g2,h0,i2,j2,k1,l1,n2,o1,p0,q2,r0,s0,t1,u1
24,1525,34,a3,c2,d0,f3,g3,h3,i1,j0,k2,l2,n2,o1,p0,q2,r0,s1,t1,u1
