iter	RMSE
352	37416.36631
353	37396.29704
354	37374.83733
355	37358.92012
356	37338.85459
357	37304.00351
358	37276.52274
359	37247.7688
360	37221.79326
361	37190.94525
362	37171.1593
363	37149.83545
364	37126.47409
365	37095.74539
366	37064.43583
367	37040.5871
368	37019.49729
369	37002.21677
370	36980.60728
371	36958.15362
372	36935.78925
373	36908.36226
374	36892
375	36859.54186
376	36832.33853
377	36811.57579
378	36792.72615
379	36761.22402
380	36740.79648
381	36714.75525
382	36689.58807
383	36665.37033
384	36627.55152
385	36605.74607
386	36595.68385
387	36578.35751
388	36552.48005
389	36544.01139
390	36505.90351
391	36473.25847
392	36446.1577
393	36423.8852
394	36410.91205
395	36388.41911
396	36365.69147
397	36355.17573
398	36332.23729
399	36301.32837
400	36284.09531
401	36258.02586
402	36233.13027
403	36213.56511
404	36202.73576
405	36178.77907
406	36165.07946
407	36135.75059
408	36116.88865
409	36097.17671
410	36068.94147
411	36052.61261
412	36030.64009
413	36009.61165
414	35978.70915
415	35954.44504
416	35929.2228
417	35905.8245
418	35867.64259
419	35845.91925
420	35825.48682
421	35806.71606
422	35786.52213
423	35768.96074
424	35754.50318
425	35725.49847
426	35694.0908
427	35674.33432
428	35656.72304
429	35643.15568
430	35619.86172
431	35591.78669
432	35566.92057
433	35548.08749
434	35531.31815
435	35514.12793
436	35494.09609
437	35474.55699
438	35446.56411
439	35424.78065
440	35409.27418
441	35387.62764
442	35355.62474
443	35331.79661
444	35312.48102
445	35289.86618
446	35281.55927
447	35258.27996
448	35226.90181
449	35205.78795
450	35183.8457
451	35161.3136
452	35144.33318
453	35134.28696
454	35111.84197
455	35082.51175
456	35072.55255
457	35052.85521
458	35036.70339
459	35016.81781
460	34993.02989
461	34968.61097
462	34938.87175
463	34923.90424
464	34904.02886
465	34882.63025
466	34853.18572
467	34827.99932
468	34818.87832
469	34795.45425
470	34772.33038
471	34747.6396
472	34734.71366
473	34711.60431
474	34692.36168
475	34668.87044
476	34652.18642
477	34633.86753
478	34613.05766
479	34589.61537
480	34557.97525
481	34544.26277
482	34515.30609
483	34487.69022
484	34467.74109
485	34452.11169
486	34435.17621
487	34410.731
488	34401.48156
489	34392.31342
490	34378.9729
491	34365.4651
492	34345.12555
493	34328.73012
494	34314.2586
495	34289.50045
496	34264.8469
497	34240.76808
498	34226.2413
499	34201.5871
500	34187.63666
501	34175.30768
502	34147.9329
503	34141.82908
504	34122.5556
505	34103.06213
506	34083.35471
507	34062.05901
508	34046.61937
509	34031.65583
510	34008.91891
511	33995.56857
512	33979.99751
513	33955.49833
514	33934.32076
515	33908.77482
516	33884.46468
517	33866.71204
518	33856.6804
519	33843.55868
520	33821.25316
521	33796.79317
522	33762.19096
523	33735.38692
524	33706.5774
525	33687.89576
526	33661.2427
527	33648.43284
528	33635.35283
529	33600.84297
530	33576.3231
531	33556.1913
532	33537.71624
533	33526.27641
534	33511.70717
535	33495.52984
536	33482.37249
537	33455.32542
538	33437.37036
539	33415.64604
540	33402.60097
541	33394.78268
542	33381.08131
543	33363.11206
544	33341.08695
545	33316.94416
546	33300.64868
547	33269.82904
548	33249.02505
549	33225.20619
550	33208.20544
551	33191.32028
552	33170.29087
553	33154.54293
554	33128.82131
555	33112.97637
556	33098.74859
557	33087.31834
558	33067.90629
559	33048.95416
560	33033.58364
561	33014.72531
562	32984.67813
563	32957.20848
564	32938.73622
565	32918.13474
566	32907.01891
567	32901.16421
568	32886.93159
569	32876.81601
570	32853.708
571	32843.02981
572	32823.457
573	32802.58885
574	32785.87904
575	32767.61997
576	32748.435
577	32728.95986
578	32705.00103
579	32689.21233
580	32671.21661
581	32652.79931
582	32628.34815
583	32609.73751
584	32593.60932
585	32572.70839
586	32557.19435
587	32537.21565
588	32523.96247
589	32508.16646
590	32492.62551
591	32468.77538
592	32444.12401
593	32437.96381
594	32418.49123
595	32395.97241
596	32378.09868
597	32354.21021
598	32331.19594
599	32307.21847
600	32279.61144
601	32260.26174
602	32247.47187
603	32233.69229
604	32221.86772
605	32201.57641
606	32182.57617
607	32159.77272
608	32149.99769
609	32130.98107
610	32119.16803
611	32100.50179
612	32073.0831
613	32051.88771
614	32040.37209
615	32021.81947
616	32005.00732
617	31998.88311
618	31983.94561
619	31960.60708
620	31939.53051
621	31920.26885
622	31901.41069
623	31890.01265
624	31881.47765
625	31854.62517
626	31829.35801
627	31812.8556
628	31792.06177
629	31766.17648
630	31749.18596
631	31741.31139
632	31726.39143
633	31703.34855
634	31689.84685
635	31673.83314
636	31655.13725
637	31630.85974
638	31618.98294
639	31599.59837
640	31579.90201
641	31569.81652
642	31547.4249
643	31542.43097
644	31523.6324
645	31507.31973
646	31485.20709
647	31468.70599
648	31451.14519
649	31426.52279
650	31408.05296
651	31397.81299
652	31375.86064
653	31357.76508
654	31340.19465
655	31325.23691
656	31312.25051
657	31302.12494
658	31280.48093
659	31259.22892
660	31241.60458
661	31229.1991
662	31216.81643
663	31203.61652
664	31193.44183
665	31181.46822
666	31163.12805
667	31139.1917
668	31124.57552
669	31110.67664
670	31101.90838
671	31086.7871
672	31064.52174
673	31050.70753
674	31039.58986
675	31032.30818
676	31011.32096
677	30986.5372
678	30969.88555
679	30956.88904
680	30936.48692
681	30919.28069
682	30902.55559
683	30888.8993
684	30878.27838
685	30868.91335
686	30852.06639
687	30832.33993
688	30824.02034
689	30802.72217
690	30784.52101
691	30761.94111
692	30745.9849
693	30727.24245
694	30718.82156
695	30699.24725
696	30684.42055
697	30672.52649
698	30660.98825
699	30632.08686
700	30622.91147
701	30610.02744
702	30587.94418
703	30581.06689
704	30561.47039
705	30556.3773
706	30543.50882
707	30539.27136
708	30534.23606
709	30519.60233
710	30503.31726
711	30486.49081
712	30468.72884
713	30452.29927
714	30438.12111
715	30421.20608
716	30409.10133
717	30393.85594
718	30384.42517
719	30366.14987
720	30349.46872
721	30330.62509
722	30310.08463
723	30292.16078
724	30279.78919
725	30259.70518
726	30237.26776
727	30220.67147
728	30212.64242
729	30188.80487
730	30172.86056
731	30166.02199
732	30156.84662
733	30151.47189
734	30126.0181
735	30112.96654
736	30104.37994
737	30090.6101
