age,fnlwgt,educational-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,gender,native-country,income
34,849857,9,0,0,40,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,Nicaragua,<=50K
42,236021,9,0,0,40,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,?,>50K
36,276276,10,0,0,40,Private,Some-college,Divorced,Sales,Not-in-family,White,Male,United-States,<=50K
60,63296,14,0,0,40,Private,Masters,Divorced,Prof-specialty,Other-relative,Black,Male,United-States,<=50K
52,67090,9,0,0,44,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
37,241998,13,0,1977,40,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,>50K
47,251588,13,0,0,40,Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,>50K
65,369902,9,0,0,8,?,HS-grad,Widowed,?,Not-in-family,White,Female,United-States,<=50K
65,255386,9,0,0,40,Private,HS-grad,Never-married,Craft-repair,Other-relative,Asian-Pac-Islander,Male,Cambodia,<=50K
34,66309,9,0,0,35,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
49,240629,9,0,0,38,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,United-States,<=50K
74,92298,13,0,0,10,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
19,28967,10,0,0,40,?,Some-college,Never-married,?,Not-in-family,White,Male,United-States,<=50K
49,252616,9,0,0,40,Federal-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Male,Philippines,<=50K
41,251305,10,0,0,40,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
38,177305,9,0,0,45,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
33,236396,9,0,0,35,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Male,United-States,<=50K
25,176864,13,0,0,40,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
44,174051,10,0,0,35,Private,Some-college,Never-married,Other-service,Not-in-family,White,Male,United-States,<=50K
29,58744,12,0,0,60,Self-emp-not-inc,Assoc-acdm,Never-married,Other-service,Own-child,White,Male,United-States,<=50K
24,216889,5,0,0,45,Self-emp-not-inc,9th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
31,83446,9,0,0,40,Private,HS-grad,Widowed,Craft-repair,Unmarried,White,Female,United-States,<=50K
54,182314,16,0,1977,50,Private,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
34,152667,10,0,0,35,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
41,289669,9,0,0,40,Private,HS-grad,Widowed,Machine-op-inspct,Not-in-family,White,Female,United-States,<=50K
45,193407,11,0,0,44,Private,Assoc-voc,Divorced,Sales,Not-in-family,White,Female,United-States,<=50K
26,257910,10,0,0,60,Private,Some-college,Never-married,Other-service,Not-in-family,White,Male,United-States,<=50K
50,23686,10,0,0,35,Private,Some-college,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,United-States,>50K
52,190333,6,0,0,50,Private,10th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
57,140426,16,0,1977,40,Private,Doctorate,Married-civ-spouse,Tech-support,Husband,White,Male,Germany,>50K
23,32732,13,0,0,15,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
52,73134,13,0,0,40,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
33,205152,11,0,0,55,Private,Assoc-voc,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,>50K
38,329980,9,0,1876,40,Local-gov,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,Canada,<=50K
21,221418,9,0,0,40,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
38,170174,6,0,0,40,Private,10th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,>50K
55,141727,13,3464,0,40,Private,Bachelors,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,<=50K
25,180783,9,0,0,10,Private,HS-grad,Divorced,Craft-repair,Own-child,White,Male,United-States,<=50K
31,206297,9,0,0,40,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,>50K
34,57426,13,0,0,45,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
47,98828,9,0,0,35,Private,HS-grad,Widowed,Prof-specialty,Unmarried,Other,Female,Puerto-Rico,<=50K
29,326330,10,1831,0,40,Private,Some-college,Divorced,Exec-managerial,Own-child,White,Female,United-States,<=50K
37,201259,7,0,0,65,Private,11th,Divorced,Transport-moving,Not-in-family,White,Male,United-States,<=50K
45,166636,9,0,0,35,Private,HS-grad,Divorced,Other-service,Other-relative,Black,Female,United-States,<=50K
37,59200,9,0,0,40,State-gov,HS-grad,Never-married,Adm-clerical,Other-relative,White,Female,United-States,<=50K
43,23157,14,0,1902,50,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
49,117095,9,0,0,40,Private,HS-grad,Separated,Machine-op-inspct,Unmarried,White,Female,United-States,<=50K
75,164570,7,0,0,50,Self-emp-inc,11th,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
30,157289,7,0,0,40,?,11th,Never-married,?,Unmarried,White,Male,United-States,<=50K
52,277772,10,0,0,40,Federal-gov,Some-college,Divorced,Adm-clerical,Unmarried,Black,Female,United-States,<=50K
49,122493,9,0,0,40,Private,HS-grad,Widowed,Tech-support,Unmarried,White,Male,United-States,<=50K
41,307767,9,0,0,40,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,<=50K
20,232799,9,0,0,25,?,HS-grad,Never-married,?,Own-child,Black,Female,United-States,<=50K
26,472411,10,0,0,40,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
51,182985,9,0,0,40,Local-gov,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,<=50K
52,195638,9,0,0,45,Private,HS-grad,Never-married,Other-service,Unmarried,White,Female,United-States,<=50K
35,301862,9,0,0,40,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
48,44434,14,0,0,61,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
27,181822,9,0,0,40,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
19,223392,9,0,0,15,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
44,163331,10,0,0,32,Private,Some-college,Widowed,Adm-clerical,Unmarried,White,Female,United-States,<=50K
44,187821,13,0,0,55,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
41,49654,9,0,0,52,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K
21,270043,10,0,0,16,Private,Some-college,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
25,144334,9,0,0,40,Private,HS-grad,Never-married,Exec-managerial,Own-child,Black,Male,United-States,<=50K
38,238342,13,7688,0,42,Federal-gov,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
43,195258,9,0,0,40,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,>50K
45,111994,10,4650,0,40,Private,Some-college,Divorced,Sales,Not-in-family,White,Male,United-States,<=50K
47,187087,13,0,0,40,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
41,287037,10,0,0,40,Private,Some-college,Never-married,Farming-fishing,Not-in-family,White,Male,United-States,<=50K
37,117381,14,0,0,45,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
32,30271,10,0,0,30,Private,Some-college,Divorced,Exec-managerial,Unmarried,White,Female,United-States,<=50K
20,218343,9,0,0,25,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
44,206686,10,0,0,40,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K
45,190822,9,0,0,31,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,United-States,<=50K
20,37783,10,0,0,25,Private,Some-college,Never-married,Other-service,Not-in-family,White,Female,United-States,<=50K
47,147322,9,0,0,40,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,Columbia,<=50K
34,136204,13,0,1902,32,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
35,107477,10,0,0,40,Private,Some-college,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,<=50K
53,88506,13,0,0,40,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
21,228649,9,0,0,40,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K
46,260782,14,0,0,40,State-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
42,167710,10,0,0,18,?,Some-college,Divorced,?,Not-in-family,White,Female,United-States,<=50K
46,200947,9,0,0,35,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,Italy,<=50K
20,164529,7,0,0,40,Private,11th,Never-married,Farming-fishing,Own-child,Black,Male,United-States,<=50K
34,272411,13,0,0,40,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
57,237546,14,0,0,60,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
33,178615,12,0,0,40,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
29,444304,13,0,0,40,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
45,92374,10,13550,0,60,Private,Some-college,Never-married,Exec-managerial,Not-in-family,Other,Male,India,>50K
29,176760,15,0,0,55,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,United-States,<=50K
25,176520,9,0,0,40,Private,HS-grad,Never-married,Craft-repair,Other-relative,White,Male,United-States,<=50K
23,227943,13,0,0,40,Private,Bachelors,Never-married,Exec-managerial,Own-child,White,Male,United-States,<=50K
27,247711,9,0,0,40,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,<=50K
43,233865,9,0,0,40,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
56,182460,13,0,0,40,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
51,134447,9,0,0,70,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
33,73296,9,1831,0,40,State-gov,HS-grad,Never-married,Other-service,Unmarried,Black,Female,United-States,<=50K
20,88676,9,0,0,40,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
25,235218,10,0,0,40,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
36,166988,13,0,0,40,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K
57,190488,7,0,0,40,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
42,213214,12,0,0,40,Private,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
37,167415,15,0,0,60,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
43,343061,4,4508,0,40,Self-emp-not-inc,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,Cuba,<=50K
43,82077,10,0,0,40,?,Some-college,Divorced,?,Unmarried,Asian-Pac-Islander,Female,United-States,<=50K
53,155983,14,0,0,65,Self-emp-inc,Masters,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
17,266497,5,0,0,40,Private,9th,Never-married,Handlers-cleaners,Other-relative,White,Male,Mexico,<=50K
53,93449,15,0,0,40,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,India,>50K
46,126754,13,0,0,50,Local-gov,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
23,214542,13,0,0,40,Private,Bachelors,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K
50,167886,10,0,0,40,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
33,181824,9,0,0,20,Private,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,United-States,<=50K
71,183678,15,0,0,16,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
25,223426,11,0,0,65,Private,Assoc-voc,Never-married,Sales,Not-in-family,White,Male,Canada,>50K
69,185039,9,9386,0,12,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
27,253814,10,0,0,40,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
37,112497,13,4934,0,50,Private,Bachelors,Married-spouse-absent,Exec-managerial,Unmarried,White,Male,United-States,>50K
34,154120,9,0,0,55,Self-emp-inc,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,United-States,<=50K
23,119156,9,0,0,40,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
22,213291,12,0,0,25,?,Assoc-acdm,Never-married,?,Own-child,White,Male,United-States,<=50K
18,469921,10,0,0,40,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Female,United-States,<=50K
47,101204,10,4064,0,40,Private,Some-college,Married-civ-spouse,Tech-support,Husband,Black,Male,United-States,<=50K
47,386136,12,0,0,40,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
27,208703,9,0,0,40,Private,HS-grad,Never-married,Protective-serv,Own-child,White,Male,Japan,<=50K
48,46580,9,0,0,40,Private,HS-grad,Divorced,Prof-specialty,Unmarried,White,Female,United-States,<=50K
58,35551,13,0,0,70,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
27,175387,13,0,1876,40,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
43,185015,3,0,0,40,Private,5th-6th,Married-spouse-absent,Priv-house-serv,Other-relative,White,Female,El-Salvador,<=50K
37,203828,9,0,0,45,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
35,111128,6,0,0,40,Private,10th,Never-married,Adm-clerical,Own-child,White,Male,United-States,<=50K
52,114758,13,15024,0,50,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
56,159472,4,0,0,40,Private,7th-8th,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
31,236415,10,0,0,20,Self-emp-inc,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,>50K
36,531055,9,0,1902,48,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
20,279538,7,2961,0,35,Private,11th,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Male,United-States,<=50K
61,53707,4,0,0,50,Private,7th-8th,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
43,175485,10,0,0,40,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
22,308205,3,0,0,40,Private,5th-6th,Never-married,Farming-fishing,Other-relative,White,Male,Mexico,<=50K
50,363405,10,0,0,40,Local-gov,Some-college,Widowed,Adm-clerical,Unmarried,White,Female,United-States,<=50K
33,171468,10,0,0,40,Private,Some-college,Married-civ-spouse,Craft-repair,Wife,White,Female,United-States,<=50K
52,287927,9,15024,0,40,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,>50K
74,180455,13,0,0,8,Private,Bachelors,Widowed,Other-service,Not-in-family,White,Female,United-States,<=50K
19,117201,9,0,0,30,?,HS-grad,Never-married,?,Own-child,White,Male,United-States,<=50K
21,306114,10,0,0,20,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,United-States,<=50K
42,152889,10,0,0,52,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
29,166210,9,0,0,50,Private,HS-grad,Divorced,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
26,220656,9,0,0,40,Private,HS-grad,Never-married,Adm-clerical,Own-child,Black,Male,United-States,<=50K
48,148995,9,14084,0,45,Private,HS-grad,Widowed,Exec-managerial,Not-in-family,White,Male,United-States,>50K
27,194773,14,0,0,50,State-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,Germany,<=50K
47,177087,10,0,0,50,Private,Some-college,Separated,Adm-clerical,Unmarried,White,Female,United-States,>50K
34,230246,9,2202,0,99,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
36,186934,10,0,0,55,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
63,104626,15,3103,0,32,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
55,144084,6,0,0,40,Private,10th,Married-civ-spouse,Other-service,Husband,White,Male,United-States,<=50K
27,161683,7,0,0,42,Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
52,149508,10,0,0,40,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,>50K
30,196385,10,0,0,45,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
21,124242,10,0,0,40,?,Some-college,Never-married,?,Own-child,White,Female,United-States,<=50K
45,257609,13,0,0,40,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
40,76625,9,0,0,40,Self-emp-inc,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
41,43467,13,0,0,99,Private,Bachelors,Divorced,Other-service,Not-in-family,White,Female,United-States,<=50K
71,29770,10,0,0,28,Private,Some-college,Widowed,Other-service,Not-in-family,White,Female,United-States,<=50K
31,437825,2,0,0,40,Private,1st-4th,Married-civ-spouse,Farming-fishing,Husband,White,Male,Mexico,<=50K
20,482732,6,0,0,40,Private,10th,Never-married,Machine-op-inspct,Not-in-family,White,Male,United-States,<=50K
54,140359,4,0,3900,40,Private,7th-8th,Divorced,Machine-op-inspct,Unmarried,White,Female,United-States,<=50K
35,84848,10,0,0,40,Federal-gov,Some-college,Never-married,Handlers-cleaners,Unmarried,White,Female,United-States,<=50K
43,49665,9,0,0,45,?,HS-grad,Divorced,?,Not-in-family,Amer-Indian-Eskimo,Male,United-States,<=50K
30,361497,13,0,0,72,State-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,>50K
38,277248,14,0,0,60,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,Cuba,>50K
58,82050,10,0,0,60,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,>50K
17,32124,5,0,0,9,Local-gov,9th,Never-married,Other-service,Own-child,Black,Male,United-States,<=50K
34,176244,9,0,0,40,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Female,Mexico,<=50K
66,386120,7,10605,0,40,Private,11th,Married-civ-spouse,Other-service,Husband,White,Male,United-States,>50K
26,276624,10,0,0,40,Private,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,<=50K
23,173851,9,0,0,8,Federal-gov,HS-grad,Never-married,Armed-Forces,Not-in-family,White,Male,United-States,<=50K
49,123207,9,0,0,44,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
23,181820,10,0,0,40,Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,United-States,<=50K
28,119793,9,0,0,40,Self-emp-not-inc,HS-grad,Never-married,Other-service,Not-in-family,White,Male,United-States,<=50K
31,367314,9,0,0,40,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
19,369527,10,0,0,40,?,Some-college,Never-married,?,Own-child,White,Female,United-States,<=50K
33,147700,9,0,0,40,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Other,Male,United-States,<=50K
41,204682,9,2174,0,40,Private,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,Japan,<=50K
39,122353,13,7688,0,50,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
18,261720,9,0,0,40,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
73,378922,9,0,0,20,?,HS-grad,Married-spouse-absent,?,Not-in-family,White,Female,Canada,<=50K
34,425622,3,0,0,40,Private,5th-6th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,Mexico,<=50K
58,93664,9,15024,0,60,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
49,194895,13,0,0,40,State-gov,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
22,164901,7,0,0,40,Private,11th,Never-married,Craft-repair,Other-relative,White,Male,United-States,<=50K
32,216361,10,0,0,16,Private,Some-college,Married-civ-spouse,Protective-serv,Husband,Black,Male,United-States,<=50K
46,248895,13,0,0,40,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
29,367706,10,0,0,40,Private,Some-college,Never-married,Adm-clerical,Own-child,Black,Male,United-States,<=50K
45,47314,10,0,1902,40,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,?,>50K
29,195520,14,0,0,40,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
18,181712,7,0,0,12,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
60,180512,5,0,0,45,Self-emp-inc,9th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
35,668319,13,0,1740,80,Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
37,154410,14,0,0,40,Self-emp-not-inc,Masters,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
40,208875,14,0,0,50,Local-gov,Masters,Divorced,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
38,210991,13,0,1740,40,Local-gov,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
20,170091,10,0,0,10,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,United-States,<=50K
18,168740,7,0,0,30,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
39,98948,12,0,0,40,Private,Assoc-acdm,Never-married,Sales,Not-in-family,White,Female,United-States,<=50K
17,214787,8,0,0,25,Private,12th,Never-married,Adm-clerical,Own-child,White,Female,United-States,<=50K
52,231865,9,0,0,46,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,<=50K
49,184986,9,0,0,40,Private,HS-grad,Divorced,Other-service,Not-in-family,White,Female,United-States,<=50K
27,203776,9,0,0,50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
36,163237,12,0,0,40,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,>50K
27,196386,12,4064,0,40,Federal-gov,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,El-Salvador,<=50K
30,101697,13,0,0,20,?,Bachelors,Married-civ-spouse,?,Wife,White,Female,United-States,<=50K
23,167868,10,0,0,24,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,United-States,<=50K
38,49115,9,0,0,55,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
29,107458,9,0,0,40,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
20,156916,10,0,0,40,?,Some-college,Never-married,?,Own-child,Black,Female,United-States,<=50K
