C1,C2,C3,C4,C5,C6,C7,C8,C9,label
1454630400.0,1488220260.0,0.58,13.12,e0,Chocolate,f0,g1,h2,i1
1488326400.0,1522004700.0,0.47,31.86,e1,Brown Tabby,f0,g1,h1,i0
1468540800.0,1472313720.0,0.5,32.21,e0,Tortie,f13,g9,h1,i2
1351641600.0,1514743440.0,0.44,22.88,e0,Blue,f0,g1,h2,i1
1522800000.0,1556354520.0,0.6,49.0,e0,Brown,f15,g4,h3,i2
1532908800.0,1541870220.0,0.61,24.81,e1,Black,f0,g1,h2,i0
1547510400.0,1554913320.0,0.95,16.82,e1,Black,f0,g1,h2,i0
1045526400.0,1551367260.0,0.16,41.59,e1,Black,f7,g1,h2,i0
1539129600.0,1557507120.0,0.07,43.86,e2,Blue Merle,f0,g7,h2,i0
1237507200.0,1554715500.0,0.51,44.0,e2,Tricolor,f9,g2,h2,i0
1206921600.0,1538265600.0,0.48,47.38,e1,Chocolate,f13,g9,h2,i0
1534291200.0,1557515040.0,0.57,7.6,e1,Cream,f0,g7,h2,i0
1459728000.0,1525124160.0,0.0,21.81,e1,Brown Tabby,f0,g1,h1,i0
1499040000.0,1510427520.0,0.3,41.47,e1,Blue,f0,g1,h2,i0
1408579200.0,1523185260.0,0.61,45.2,e1,Chocolate,f7,g1,h2,i0
1552780800.0,1555071960.0,0.36,37.53,e2,Black,f13,g9,h1,i1
1489104000.0,1554554520.0,0.57,39.61,e0,White,f0,g1,h2,i1
1468627200.0,1477922940.0,0.85,40.12,e0,Tortie,f13,g9,h1,i1
1522454400.0,1556730900.0,0.89,29.68,e2,Black,f0,g7,h2,i0
1226620800.0,1481110020.0,0.57,41.25,e0,Black,f0,g1,h2,i1
1445904000.0,1510923660.0,0.2,26.04,e2,Tan,f0,g7,h2,i0
1470355200.0,1477509240.0,1.0,11.38,e0,Gray,f13,g9,h3,i2
1515542400.0,1530815160.0,0.27,6.01,e0,Black,f0,g1,h1,i1
1467072000.0,1500456120.0,0.24,48.7,e0,Brown,f15,g4,h3,i2
1529107200.0,1536334620.0,0.12,6.17,e2,Brown Tabby,f0,g1,h1,i1
1480377600.0,1545673260.0,0.64,35.69,e2,Tricolor,f13,g9,h2,i1
1290988800.0,1547305860.0,0.38,48.86,e1,Orange Tabby,f0,g1,h1,i0
1477612800.0,1542643200.0,0.73,28.93,e2,Red,f0,g7,h2,i0
1532995200.0,1540488240.0,0.1,5.69,e0,Brown,f0,g1,h2,i1
1255737600.0,1509992040.0,0.41,32.98,e2,Tan,f0,g7,h2,i1
1461715200.0,1526741640.0,0.3,8.94,e1,Black,f13,g9,h2,i0
1442188800.0,1478786460.0,0.26,8.24,e2,Black,f7,g1,h2,i1
1395273600.0,1496759160.0,0.58,19.22,e1,White,f13,g9,h2,i0
1439337600.0,1504429200.0,0.97,39.92,e2,Orange Tabby,f16,g9,h1,i0
1487116800.0,1504963980.0,0.55,42.13,e2,Tan,f13,g9,h2,i1
1310601600.0,1470231540.0,0.87,20.43,e0,Blue Tabby,f18,g4,h1,i2
1507593600.0,1514912820.0,0.67,46.78,e1,Orange Tabby,f13,g9,h1,i0
1191024000.0,1508499900.0,0.65,32.21,e2,Brown,f11,g4,h2,i1
1480377600.0,1533477900.0,0.73,47.77,e2,White,f0,g7,h2,i1
1353024000.0,1524827460.0,0.39,5.63,e1,Black,f0,g7,h2,i0
1457654400.0,1522784580.0,0.72,32.43,e1,Blue,f0,g1,h2,i0
1499731200.0,1506873360.0,0.47,46.54,e0,Black,f7,g1,h2,i1
1467849600.0,1480662360.0,0.25,5.62,e0,Brown Tabby,f7,g1,h1,i1
1478476800.0,1486917660.0,0.56,28.48,e0,Orange Tabby,f0,g1,h1,i1
1461974400.0,1495647840.0,0.23,8.1,e0,White,f0,g1,h2,i1
1405468800.0,1533990720.0,0.41,44.83,e0,Brown,f0,g1,h2,i1
1497052800.0,1506106860.0,0.14,15.05,e0,Brown Tabby,f0,g1,h1,i1
1312675200.0,1549890600.0,0.91,10.38,e1,Blue,f7,g1,h2,i0
1509926400.0,1543688760.0,0.27,22.32,e0,White,f0,g1,h2,i1
1500422400.0,1517164200.0,0.55,31.56,e1,Blue,f0,g1,h1,i0
1265500800.0,1520617920.0,0.91,11.88,e0,Tan,f0,g1,h2,i1
1295395200.0,1549715280.0,0.03,17.5,e0,Black,f0,g7,h2,i1
1493510400.0,1500919860.0,0.71,35.86,e0,Brown Tabby,f0,g1,h1,i1
1408924800.0,1473938700.0,0.88,23.93,e0,Brown Tabby,f18,g4,h1,i1
1439337600.0,1529506140.0,0.95,49.28,e1,Brown,f0,g7,h2,i0
1279152000.0,1475167020.0,0.56,12.28,e1,Tricolor,f0,g7,h2,i0
1420761600.0,1517757660.0,0.2,31.4,e2,White,f2,g2,h2,i0
1490918400.0,1501071660.0,0.4,22.26,e0,Black,f0,g1,h2,i1
1476835200.0,1486580640.0,0.53,8.43,e2,Orange Tabby,f18,g4,h1,i0
1302825600.0,1525606920.0,0.29,17.55,e1,Black,f0,g7,h2,i0
1497830400.0,1526389680.0,0.87,5.49,e1,Black,f0,g1,h1,i0
1452988800.0,1486457400.0,0.53,23.55,e0,Brown,f15,g4,h3,i2
1468022400.0,1476124380.0,0.14,47.51,e0,Blue Tabby,f0,g1,h1,i1
1477785600.0,1481465100.0,0.28,36.5,e0,Cream Tabby,f13,g9,h1,i2
1495670400.0,1529590020.0,0.49,37.27,e1,Tan,f0,g1,h2,i0
1306281600.0,1513862700.0,0.95,8.07,e2,Blue,f0,g7,h2,i0
1306108800.0,1481715780.0,0.34,39.18,e0,Black,f0,g7,h1,i1
1280188800.0,1472994480.0,0.87,37.34,e1,Cream,f0,g1,h2,i0
1278115200.0,1530633600.0,0.43,5.62,e0,Black,f0,g7,h2,i1
1508716800.0,1517906820.0,0.49,40.55,e0,Black,f7,g1,h1,i1
1332201600.0,1507680000.0,0.27,44.52,e1,White,f13,g9,h2,i0
1462579200.0,1478529480.0,0.47,49.23,e0,Tortie,f7,g1,h1,i1
1471219200.0,1536576060.0,0.61,6.45,e0,Tan,f13,g9,h2,i1
1470096000.0,1522403940.0,0.41,17.35,e1,Brown Brindle,f7,g1,h2,i0
1461628800.0,1526496840.0,0.42,39.37,e2,White,f0,g7,h3,i1
1481587200.0,1514970000.0,0.21,25.14,e1,Brown Tabby,f16,g9,h1,i0
1467849600.0,1501521420.0,0.03,15.38,e1,Sable,f0,g7,h2,i0
1470528000.0,1535897340.0,0.44,20.07,e2,Black,f13,g9,h2,i1
1488412800.0,1521740100.0,0.71,26.1,e0,Gray,f0,g1,h0,i2
1478822400.0,1544898840.0,0.22,10.43,e0,Brown Brindle,f0,g1,h2,i1
1399507200.0,1528738680.0,0.11,9.97,e0,Tan,f0,g7,h2,i1
1547769600.0,1556642880.0,0.7,42.44,e1,Brown Tabby,f0,g1,h1,i0
1495324800.0,1505497080.0,0.87,44.19,e1,Brown Tabby,f0,g1,h1,i0
1453507200.0,1487178600.0,0.25,30.56,e1,Tricolor,f0,g7,h2,i0
1509926400.0,1514729760.0,0.81,30.42,e2,Blue Tabby,f13,g9,h1,i0
1483660800.0,1502456760.0,0.98,22.75,e1,Brown,f0,g1,h2,i0
1482883200.0,1492696800.0,0.14,43.67,e0,Brown,f0,g7,h2,i1
1297468800.0,1530805020.0,0.54,42.17,e2,Tricolor,f0,g7,h2,i0
1224115200.0,1510318020.0,0.67,22.34,e2,Brown,f0,g1,h2,i1
1514246400.0,1523984520.0,0.72,47.2,e1,Tricolor,f0,g1,h2,i0
1479686400.0,1545157800.0,0.61,16.04,e2,Calico,f17,g9,h1,i1
1452297600.0,1530921600.0,0.3,38.82,e0,Tan,f13,g9,h2,i1
1496275200.0,1504794600.0,0.97,22.86,e2,Brown Tabby,f0,g1,h1,i0
1470268800.0,1474980300.0,0.1,10.89,e2,Blue,f13,g9,h1,i0
1517270400.0,1551874800.0,0.91,45.39,e0,Brown Tabby,f0,g1,h1,i1
1500595200.0,1505156700.0,0.91,6.85,e2,Sable,f13,g9,h2,i1
1292284800.0,1483459980.0,0.65,15.99,e0,Black,f0,g7,h2,i1
1270080000.0,1556200380.0,0.51,42.94,e0,Black,f0,g7,h2,i1
1467331200.0,1475160360.0,0.23,29.83,e1,Black,f0,g1,h1,i0
1473465600.0,1555757460.0,0.36,33.78,e1,Brown,f13,g9,h2,i0
1429401600.0,1526925420.0,0.72,29.94,e1,Black,f0,g1,h2,i0
1458864000.0,1508144760.0,0.05,27.0,e2,Brown,f0,g7,h2,i1
1433635200.0,1557427680.0,0.55,14.38,e1,Blue,f0,g7,h2,i0
1522022400.0,1550689980.0,0.28,29.36,e2,Brown Tabby,f17,g9,h1,i0
1492214400.0,1556115300.0,0.92,43.43,e0,Black,f0,g7,h2,i1
1366156800.0,1469808420.0,0.86,23.38,e0,Blue,f0,g1,h2,i1
1478563200.0,1487441820.0,0.89,12.63,e1,Lynx Point,f0,g1,h1,i0
1531785600.0,1542900720.0,0.41,12.15,e0,Brown Tabby,f7,g1,h1,i1
1467676800.0,1474880400.0,0.11,22.89,e0,Orange Tabby,f16,g9,h1,i2
1515110400.0,1546969140.0,0.85,32.16,e0,Brown Tabby,f0,g1,h1,i1
1475971200.0,1493835240.0,0.07,40.12,e0,Torbie,f0,g1,h1,i1
1513296000.0,1531094400.0,0.83,49.48,e2,Black,f13,g9,h2,i0
1402963200.0,1499880180.0,0.57,5.13,e1,Chocolate,f0,g7,h2,i0
1273017600.0,1527258480.0,0.27,32.8,e2,Buff,f18,g4,h1,i0
1501545600.0,1532779140.0,0.47,27.11,e2,Tan,f13,g9,h2,i1
1472601600.0,1474644000.0,0.24,22.35,e2,Chocolate,f13,g9,h2,i0
1528588800.0,1535904480.0,0.61,36.91,e2,Black,f13,g9,h1,i1
1413763200.0,1478768400.0,0.89,16.29,e2,Orange Tabby,f16,g9,h1,i1
1209168000.0,1523619420.0,0.58,36.97,e1,White,f0,g1,h2,i0
1477958400.0,1512563100.0,0.67,6.76,e1,Brown,f13,g9,h2,i0
1525996800.0,1557248700.0,0.44,38.1,e0,Brown Brindle,f0,g1,h2,i1
1247184000.0,1501504080.0,0.01,9.44,e1,Black,f0,g7,h2,i0
1280966400.0,1505043420.0,0.59,20.49,e1,Yellow,f7,g1,h2,i0
1463011200.0,1479555900.0,0.46,28.72,e2,Blue Merle,f0,g1,h2,i0
1529280000.0,1549994460.0,0.66,37.91,e0,White,f0,g1,h2,i1
1517529600.0,1520165460.0,0.14,43.63,e0,Gray,f13,g9,h1,i2
1228262400.0,1496588820.0,0.6,40.53,e0,White,f0,g7,h2,i1
1488844800.0,1555514580.0,0.59,22.92,e1,Cream Tabby,f0,g1,h1,i0
1474934400.0,1478356800.0,0.72,24.55,e0,Black,f13,g9,h1,i2
1382918400.0,1529334720.0,0.8,26.28,e2,Brown,f0,g7,h2,i0
1459123200.0,1492519500.0,0.56,31.1,e0,Sable,f0,g7,h3,i2
1468886400.0,1534185840.0,0.25,35.88,e0,White,f0,g1,h2,i1
1410739200.0,1475842800.0,0.25,25.56,e2,Blue,f0,g7,h2,i1
1487980800.0,1497721200.0,0.03,31.85,e0,Tricolor,f0,g7,h2,i1
1463184000.0,1528102800.0,0.6,48.82,e2,Blue,f16,g9,h1,i1
1459382400.0,1492797120.0,0.13,6.35,e0,Tricolor,f0,g1,h2,i1
1489881600.0,1554565200.0,0.72,29.24,e2,Black,f11,g4,h3,i0
1512345600.0,1521199440.0,0.61,8.88,e1,Brown Tabby,f7,g1,h1,i0
1548201600.0,1554747960.0,0.53,22.5,e1,Tan,f7,g1,h2,i0
1538352000.0,1547052780.0,0.58,22.27,e1,Brown Tabby,f0,g1,h1,i0
1227225600.0,1523545260.0,0.59,27.82,e1,White,f0,g1,h2,i0
1384128000.0,1473418860.0,0.3,40.81,e0,Tricolor,f0,g7,h2,i1
1459900800.0,1524831660.0,0.3,34.46,e2,Brown Tabby,f18,g4,h1,i0
1462320000.0,1497795840.0,0.88,20.97,e2,Black,f0,g1,h0,i0
1505952000.0,1514482620.0,0.2,42.56,e1,Tan,f0,g1,h2,i0
1477785600.0,1495543140.0,0.96,16.07,e0,Black,f0,g1,h2,i1
1488412800.0,1527693360.0,0.41,22.86,e2,Yellow,f0,g7,h2,i1
1465171200.0,1473618600.0,0.47,6.22,e0,Black,f0,g1,h1,i1
1532995200.0,1536776520.0,0.64,11.48,e2,Blue,f13,g9,h1,i1
1448841600.0,1515690120.0,0.75,14.61,e1,White,f0,g1,h2,i0
1410825600.0,1477837560.0,0.35,11.82,e1,Brown,f0,g1,h2,i0
1461542400.0,1495378560.0,0.62,5.48,e1,Brown,f0,g1,h2,i0
1487721600.0,1521734640.0,0.16,7.22,e0,Seal Point,f16,g9,h1,i1
1422576000.0,1490454840.0,0.5,45.95,e1,Brown,f13,g9,h2,i0
1421971200.0,1472998200.0,0.49,14.64,e0,Tricolor,f0,g1,h2,i1
1481068800.0,1491074580.0,0.33,37.11,e0,Calico,f0,g1,h1,i1
1527379200.0,1543509000.0,0.62,38.36,e1,Flame Point,f0,g1,h1,i0
1462752000.0,1496772960.0,0.39,29.6,e0,Tan,f0,g1,h2,i1
1455235200.0,1488899520.0,0.22,38.81,e0,Brown,f0,g1,h2,i1
1497225600.0,1523125440.0,0.45,10.85,e1,White,f0,g1,h2,i0
1482192000.0,1490195100.0,0.72,26.25,e0,Torbie,f7,g1,h1,i1
1407196800.0,1472288400.0,0.24,36.5,e2,Brown Tabby,f16,g9,h1,i1
1094342400.0,1537973340.0,0.19,30.76,e2,Black,f0,g7,h2,i1
1458432000.0,1478181300.0,0.88,49.5,e1,Red,f7,g1,h2,i0
1492560000.0,1526235780.0,0.91,29.47,e1,Black,f0,g1,h2,i0
1506384000.0,1519910280.0,0.29,8.69,e1,White,f7,g1,h1,i0
1539648000.0,1555087620.0,0.21,14.07,e1,Black,f0,g1,h1,i0
1530576000.0,1548161700.0,0.9,29.29,e0,Brown Tabby,f7,g1,h1,i1
1531785600.0,1549882500.0,0.71,42.99,e2,Gray Tabby,f17,g9,h1,i1
1532995200.0,1540489680.0,0.06,12.56,e1,Cream,f0,g1,h2,i0
1348185600.0,1492260840.0,0.04,42.41,e2,Tan,f13,g9,h2,i1
1497052800.0,1505496780.0,0.39,21.03,e0,Black,f0,g1,h2,i1
1531785600.0,1536141240.0,0.52,11.43,e2,Brown Brindle,f13,g9,h2,i0
1472342400.0,1481376600.0,0.73,16.96,e1,Black,f0,g1,h2,i0
1484265600.0,1518027480.0,0.94,22.55,e1,Tan,f0,g1,h2,i0
1508544000.0,1511453700.0,0.4,8.57,e0,Blue Tabby,f13,g9,h1,i2
1473292800.0,1476810240.0,0.36,38.72,e2,Torbie,f0,g7,h1,i1
1178582400.0,1499357820.0,0.29,26.6,e2,White,f13,g9,h2,i0
1404259200.0,1469214720.0,0.87,23.74,e0,Brown,f15,g4,h3,i2
1425168000.0,1490290860.0,0.58,9.48,e2,Blue Tabby,f13,g9,h1,i0
1482192000.0,1490467860.0,0.32,22.54,e0,Torbie,f0,g1,h1,i1
1153872000.0,1472316480.0,0.36,7.99,e0,Brown,f13,g9,h2,i1
1470182400.0,1475584740.0,0.18,8.51,e2,Cream Tabby,f13,g9,h1,i0
1439942400.0,1473612120.0,0.98,42.13,e2,Brown,f0,g7,h2,i1
1292371200.0,1547214300.0,0.76,34.3,e0,Black,f0,g1,h2,i1
1469664000.0,1503074820.0,0.12,31.52,e0,Brown,f15,g4,h3,i2
1458432000.0,1523217180.0,0.92,46.46,e2,Brown Brindle,f0,g7,h2,i1
1492905600.0,1500402540.0,0.04,14.24,e1,Tan,f0,g1,h2,i0
1483833600.0,1552064040.0,0.81,25.45,e0,Blue Merle,f0,g1,h2,i1
1505606400.0,1514036400.0,0.47,32.85,e1,Black,f7,g1,h2,i0
1408060800.0,1536581880.0,0.62,33.26,e1,Tricolor,f13,g9,h2,i0
1549065600.0,1556387040.0,0.31,32.71,e0,Tan,f0,g1,h2,i1
1511222400.0,1528746000.0,0.05,9.05,e0,Black,f0,g1,h2,i1
1366502400.0,1480443540.0,0.55,10.28,e0,Tricolor,f0,g7,h2,i1
1417478400.0,1482865380.0,0.18,19.69,e0,Tan,f0,g1,h2,i1
1407283200.0,1540751940.0,0.55,5.32,e1,Black,f0,g7,h2,i0
1453680000.0,1497484800.0,0.52,48.13,e1,Black,f0,g1,h2,i0
1324339200.0,1547547120.0,0.23,43.57,e1,Black,f13,g9,h2,i0
1373500800.0,1533037200.0,0.79,41.79,e2,Calico,f18,g4,h1,i1
1482105600.0,1515488400.0,0.21,32.06,e1,Black,f16,g9,h1,i0
1464998400.0,1485022860.0,0.94,6.21,e1,Brown Tabby,f7,g1,h1,i0
1533513600.0,1544634780.0,0.94,10.61,e1,Black,f0,g1,h1,i0
1467072000.0,1474734660.0,0.71,43.42,e0,Tricolor,f0,g1,h2,i1
1492905600.0,1526652000.0,0.12,10.65,e2,Orange Tabby,f13,g9,h1,i0
1500076800.0,1508438280.0,0.8,49.1,e0,Tortie,f7,g1,h1,i1
1450742400.0,1484298000.0,0.75,26.22,e0,Black,f16,g9,h1,i2
1486771200.0,1554218580.0,0.8,39.65,e0,Brown,f0,g1,h2,i1
1453852800.0,1477248180.0,0.68,48.28,e1,Red,f0,g1,h2,i0
1420675200.0,1550947980.0,0.29,31.53,e0,Black,f0,g1,h2,i1
1224201600.0,1555583940.0,0.68,14.65,e1,Red,f18,g4,h2,i0
1528588800.0,1537363560.0,0.26,38.01,e1,Brown Tabby,f0,g1,h1,i0
1319328000.0,1549561320.0,0.4,29.33,e0,Gold,f0,g1,h2,i1
1471564800.0,1536581640.0,0.41,6.49,e2,Tan,f0,g7,h2,i0
1328227200.0,1551709740.0,0.89,39.0,e0,Calico,f0,g1,h1,i1
1187049600.0,1504606860.0,0.76,25.49,e1,White,f18,g4,h2,i0
1487116800.0,1520585580.0,0.98,38.68,e0,Gray,f15,g4,h3,i2
1524873600.0,1542549960.0,0.15,23.68,e0,Gray,f18,g4,h3,i2
1219276800.0,1536672480.0,0.21,5.08,e1,Black,f0,g7,h2,i0
1437782400.0,1472909160.0,0.43,29.94,e0,Tricolor,f0,g1,h2,i1
1159833600.0,1478014200.0,0.02,27.35,e1,White,f0,g1,h1,i0
1530489600.0,1556029920.0,0.89,32.2,e0,Gray,f0,g1,h3,i1
1178496000.0,1497529560.0,0.07,41.21,e1,Black,f0,g1,h2,i0
1404172800.0,1512745980.0,0.76,36.14,e0,Black,f0,g1,h2,i1
1530489600.0,1548615300.0,0.56,19.04,e1,White,f0,g1,h2,i0
1447113600.0,1477053180.0,0.38,48.86,e1,Black,f0,g1,h2,i0
1545004800.0,1553704500.0,0.95,35.16,e1,Cream Tabby,f0,g1,h1,i0
1488672000.0,1521830700.0,0.37,40.22,e1,Brown,f0,g7,h2,i0
1449532800.0,1514997600.0,0.39,33.62,e0,Tortie Point,f0,g1,h1,i1
1496620800.0,1503671100.0,0.65,19.84,e2,Orange Tabby,f0,g1,h1,i1
1536364800.0,1542900420.0,0.89,15.77,e1,Black,f7,g1,h1,i0
1485302400.0,1493923080.0,0.91,37.99,e1,Brown Tabby,f0,g1,h1,i0
1358294400.0,1486730400.0,0.68,38.5,e2,Red,f0,g7,h2,i0
1208131200.0,1536679080.0,0.37,35.04,e1,Orange Tabby,f0,g1,h1,i0
1194307200.0,1483706760.0,0.87,36.34,e0,Tan,f0,g1,h2,i1
1405209600.0,1533229380.0,0.46,28.91,e2,Black,f0,g7,h2,i0
1458864000.0,1492625880.0,0.07,11.99,e1,Tan,f0,g1,h2,i0
1385596800.0,1514419200.0,0.76,38.99,e2,Brown Brindle,f13,g9,h2,i1
1532995200.0,1555867380.0,0.81,10.08,e2,Blue,f0,g7,h2,i0
1440892800.0,1506274680.0,0.72,29.03,e0,Brown Tabby,f18,g4,h1,i2
1495411200.0,1510335360.0,0.26,35.07,e1,Black,f0,g1,h2,i0
1497744000.0,1546969680.0,0.38,35.6,e2,Black,f0,g7,h2,i1
1422144000.0,1518717420.0,0.37,49.73,e2,White,f0,g7,h2,i0
1447200000.0,1517659440.0,0.54,7.47,e0,White,f0,g1,h2,i1
1497398400.0,1515527520.0,0.41,34.57,e1,White,f7,g1,h2,i0
1442448000.0,1508420520.0,0.52,39.59,e0,Black,f13,g9,h2,i1
1476489600.0,1530606360.0,0.47,8.98,e0,Fawn,f7,g1,h2,i1
1539043200.0,1547228220.0,0.15,14.39,e1,White,f0,g1,h2,i0
1435017600.0,1531675260.0,0.13,33.99,e0,Brown Brindle,f0,g7,h2,i1
1540598400.0,1543084740.0,0.76,15.79,e2,Blue,f13,g9,h1,i1
1322265600.0,1485443340.0,0.44,41.3,e0,Tan,f0,g1,h2,i1
1493510400.0,1526904720.0,0.83,10.08,e0,White,f0,g1,h2,i1
1473552000.0,1507018140.0,0.58,31.76,e0,Black,f0,g3,h3,i2
1456444800.0,1484998860.0,0.1,23.88,e1,Black,f0,g1,h2,i0
1518912000.0,1527009840.0,0.57,14.37,e0,Black,f0,g1,h2,i1
1272153600.0,1490984220.0,0.2,36.92,e0,White,f0,g7,h2,i1
1435536000.0,1508870280.0,0.79,35.94,e2,White,f0,g7,h2,i0
1463097600.0,1497183720.0,0.28,36.1,e0,Tan,f0,g1,h2,i1
1425427200.0,1479300480.0,0.99,47.98,e0,White,f7,g1,h2,i1
1468540800.0,1536418800.0,0.92,32.33,e1,Brown Brindle,f0,g1,h2,i0
1487721600.0,1521222900.0,0.74,19.19,e0,Red,f0,g1,h2,i1
1111276800.0,1523214480.0,0.66,29.63,e0,Black,f0,g7,h2,i1
1500163200.0,1510322880.0,0.32,18.97,e0,Torbie,f7,g1,h1,i1
1476835200.0,1487695740.0,0.8,39.76,e0,Blue Tabby,f0,g1,h1,i1
1466899200.0,1509017640.0,0.48,18.39,e0,Black,f0,g7,h1,i1
993254400.0,1532346960.0,0.18,12.36,e1,White,f0,g7,h2,i0
1515024000.0,1548720000.0,0.08,49.78,e2,Gray Tabby,f17,g9,h1,i1
1465862400.0,1500218700.0,0.87,36.11,e1,White,f0,g1,h2,i0
1434153600.0,1471609140.0,0.07,6.3,e0,Black,f0,g1,h2,i1
1521936000.0,1555609740.0,0.21,7.79,e2,Gray Tabby,f17,g9,h1,i1
1355011200.0,1516274460.0,0.97,41.19,e2,Blue,f0,g7,h2,i0
1448496000.0,1513445940.0,0.15,25.6,e0,Calico,f0,g7,h1,i1
1464652800.0,1500163200.0,0.11,16.65,e1,White,f13,g9,h2,i0
1505520000.0,1534846980.0,0.53,11.86,e2,Tricolor,f0,g1,h2,i1
1543449600.0,1552045320.0,1.0,34.63,e0,Torbie,f0,g1,h1,i1
1406505600.0,1473015480.0,0.67,11.44,e1,Tan,f0,g1,h2,i0
1482883200.0,1516352400.0,0.39,24.7,e2,Black,f16,g9,h1,i0
1404432000.0,1469987460.0,0.93,25.07,e2,Black,f0,g7,h2,i1
1270512000.0,1524921540.0,0.94,5.1,e0,Brown,f13,g9,h2,i1
1476835200.0,1489166100.0,0.03,19.86,e2,Brown Tabby,f0,g1,h1,i0
1485734400.0,1519152180.0,0.26,8.49,e2,Tan,f0,g7,h2,i0
1470096000.0,1503854820.0,0.06,18.81,e1,Brown,f0,g1,h2,i0
1469577600.0,1474811820.0,0.6,23.17,e2,Calico,f13,g9,h1,i1
1438387200.0,1488127380.0,0.26,28.64,e1,Fawn,f0,g7,h2,i0
1534982400.0,1543491960.0,0.96,24.33,e0,Black,f0,g1,h1,i1
1238025600.0,1492775100.0,0.89,42.37,e0,Black,f13,g9,h1,i1
1439683200.0,1473268980.0,0.14,15.3,e0,Blue,f0,g7,h2,i1
1446422400.0,1513171140.0,0.3,11.46,e1,Orange Tabby,f0,g1,h1,i0
1534377600.0,1536852660.0,0.38,6.55,e0,Blue,f13,g9,h1,i2
1506988800.0,1513356780.0,0.36,35.88,e2,Cream Tabby,f13,g9,h1,i0
1408924800.0,1474633380.0,0.98,38.72,e1,Fawn,f0,g7,h2,i0
1506124800.0,1518715680.0,0.25,43.03,e2,Brown,f13,g9,h2,i0
1506038400.0,1542027960.0,0.83,34.59,e0,Calico,f0,g1,h1,i1
1378166400.0,1538678160.0,0.23,13.02,e1,Black,f0,g1,h2,i0
1311120000.0,1553111340.0,0.98,18.3,e0,Blue,f0,g1,h2,i1
1356393600.0,1469472900.0,0.13,7.97,e0,Brown Brindle,f0,g7,h2,i1
1518998400.0,1537142400.0,0.98,10.99,e0,Torbie,f17,g9,h1,i1
1243641600.0,1540315920.0,0.19,36.15,e1,Red,f0,g1,h2,i0
1467244800.0,1478336400.0,0.21,28.77,e2,Orange Tabby,f16,g9,h1,i0
1510531200.0,1520703540.0,0.43,5.56,e1,Orange Tabby,f0,g1,h1,i0
