C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,label
21044.0,0.4783786,0.4076221,0.118276,0.0943792,0.9111861,9.5e-05,0.7856139,0.0021073,0.0368081,0.0334058,0.3633043,0.8874684,0.2133351,0.0983607,0.5230769,112300.0
1400.0,0.5035714,0.0007143,0.0357143,0.0244604,0.955,0.0,0.8840206,0.007732,0.0231959,0.0628019,0.0025773,0.7938144,0.2198068,0.2346939,0.6666667,37400.0
427.0,0.4847775,0.0,0.0913349,0.0863636,0.9086651,0.0,0.76,0.0,0.02,0.0566038,0.0,0.9866667,0.2830189,0.1219512,1.0,35300.0
1562.0,0.4622279,0.0006402,0.1766965,0.1107143,0.8751601,0.0,0.7295597,0.0031447,0.0283019,0.0577778,0.0015723,0.9968553,0.4414815,0.1032609,0.6666667,29600.0
27791.0,0.4820985,0.0792343,0.0754921,0.0611408,0.8965852,0.0198625,0.8005924,0.0047604,0.0340633,0.0471727,0.0736274,0.9938644,0.1608709,0.0992501,0.3053435,67200.0
4061.0,0.4740212,0.1154888,0.1989658,0.1783708,0.8512682,0.0017237,0.6800229,0.0011448,0.0188895,0.0761502,0.0898683,0.9908414,0.306716,0.056338,0.5925926,25600.0
802.0,0.4526185,0.5860349,0.1882793,0.1275626,0.8865337,0.0,0.7021277,0.0,0.0212766,0.1296296,0.4716312,0.9822695,0.3395062,0.2037037,0.8333333,21300.0
19597.0,0.6414757,0.2528448,0.0014798,0.0044122,0.6851559,0.3105577,0.9788813,0.0,0.0022831,0.0146232,0.2451484,0.8938356,0.2620922,0.2665135,0.0,106300.0
5010.0,0.4954092,0.0053892,0.0838323,0.0573576,0.9409182,0.0001996,0.8686275,0.0039216,0.0424837,0.017341,0.0058824,0.9660131,0.1689146,0.1910828,0.375,236700.0
2128.0,0.4351504,0.5,0.2133459,0.2129784,0.8392857,0.0281955,0.6721311,0.0050441,0.0226986,0.0604265,0.4287516,0.998739,0.3116114,0.1619433,0.6666667,26400.0
1953.0,0.4592934,0.0020481,0.1638505,0.1193182,0.8806964,0.0,0.7286432,0.0025126,0.0163317,0.039807,0.0012563,1.0,0.1954162,0.0495495,0.3571429,44100.0
1630553.0,0.4961801,0.2808802,0.0828412,0.0770878,0.8150805,0.0145196,0.6283262,0.0039797,0.0620415,0.150816,0.2617329,0.8032525,0.5002003,0.1245695,0.5458318,38100.0
9932.0,0.4917439,0.0065445,0.0732984,0.0730983,0.886025,0.00735,0.7649847,0.0041818,0.0499024,0.0627123,0.007806,0.9972122,0.2798537,0.0765306,0.8,56500.0
41832.0,0.4832664,0.0092274,0.1440046,0.117228,0.8655336,0.0013148,0.7077567,0.0041213,0.0405364,0.0301855,0.0135326,0.9707203,0.2729225,0.0639452,0.3026316,36800.0
1609.0,0.4692356,0.0,0.0994406,0.0866511,0.8986948,0.0,0.7589577,0.0032573,0.019544,0.0539291,0.0,1.0,0.2003082,0.0185185,0.5,38200.0
157.0,0.5031847,0.0063694,0.0828025,0.0641026,0.8025478,0.0,0.5909091,0.0,0.0606061,0.4054054,0.0151515,1.0,0.5675676,0.0,0.7142857,23400.0
2397.0,0.4760117,0.0120985,0.0926158,0.0342357,0.1910722,0.773884,0.6899563,0.0,0.0305677,0.0458333,0.0043668,0.9956332,0.3166667,0.0588235,0.0,40800.0
163.0,0.4846626,0.0,0.202454,0.1071429,0.9141104,0.0,0.7941176,0.0,0.0,0.1282051,0.0,0.9852941,0.2435897,0.0,1.0,14999.0
180.0,0.5166667,0.0,0.0333333,0.0114943,0.8611111,0.0,0.7288136,0.0169492,0.0508475,0.2716049,0.0,0.9830508,0.3580247,0.3846154,1.0,37500.0
3624.0,0.4831678,0.0019316,0.0913355,0.0619327,0.9183223,0.0,0.7950311,0.0015528,0.0201863,0.038806,0.0015528,0.9875776,0.2097015,0.1130137,0.2,45000.0
8814.0,0.4615385,0.2797822,0.2072839,0.1643489,0.8191514,0.0508282,0.7036922,0.0024822,0.0440583,0.0885181,0.2330127,0.9782811,0.3438914,0.1089109,0.7021277,100600.0
610.0,0.4885246,0.0,0.0885246,0.0737179,0.9311475,0.0,0.8214286,0.0,0.0357143,0.0576923,0.0,0.9846939,0.1778846,0.2692308,0.5,35700.0
461.0,0.5140998,0.35141,0.1995662,0.2008929,0.7787419,0.0932755,0.6666667,0.0,0.0,0.15311,0.2768362,1.0,0.2966507,0.0487805,0.0,27200.0
2059.0,0.4536183,0.001457,0.2957746,0.2195556,0.7775619,0.0568237,0.6295872,0.0022936,0.0183486,0.1156187,0.0,0.9965596,0.2707911,0.0434783,0.7619048,15300.0
979.0,0.4494382,0.2900919,0.1716037,0.1521336,0.8621042,0.0,0.6907731,0.0049875,0.0224439,0.1186813,0.2693267,0.9950125,0.2879121,0.1333333,0.6666667,28500.0
380.0,0.4657895,0.0026316,0.1105263,0.0935961,0.9052632,0.0,0.7923077,0.0153846,0.0307692,0.0076336,0.0076923,0.9923077,0.1526718,0.2,0.0,32500.0
67.0,0.5074627,0.0,0.1641791,0.1212121,0.8208955,0.0,0.6296296,0.037037,0.037037,0.1290323,0.0,1.0,0.1935484,0.0,0.0,14999.0
1073.0,0.4408201,0.4016775,0.2451072,0.22,0.7698043,0.0848089,0.6485849,0.0,0.0165094,0.088172,0.3726415,0.9976415,0.3010753,0.0775862,0.8,32000.0
3131.0,0.4615139,0.0076653,0.1465985,0.1026097,0.8482913,0.0,0.6824,0.0016,0.0528,0.0465294,0.0096,0.9904,0.2654462,0.0301075,0.0,70800.0
183.0,0.4972678,0.010929,0.1256831,0.0543478,0.8196721,0.0,0.7142857,0.012987,0.0779221,0.4689655,0.025974,0.961039,0.6344828,0.1034483,0.0,102300.0
37589.0,0.5011839,0.057038,0.0634228,0.0502933,0.9056107,0.0001596,0.8128927,0.0032581,0.0605073,0.0133935,0.0513537,0.984175,0.068728,0.1424361,0.2,127500.0
87.0,0.4482759,0.0,0.1724138,0.1041667,0.8505747,0.0,0.7027027,0.0,0.0540541,0.3018868,0.0,1.0,0.4150943,0.4,0.0,14999.0
282.0,0.4432624,0.2446809,0.2304965,0.1847134,0.8652482,0.0,0.6923077,0.008547,0.008547,0.025,0.1880342,0.982906,0.1583333,0.16,0.0,28500.0
60569.0,0.4629101,0.0104839,0.2281035,0.1517322,0.7436808,0.0127128,0.5679261,0.002293,0.0741172,0.054091,0.0095248,0.9668748,0.3779031,0.0312637,0.372591,220600.0
127.0,0.4724409,0.0,0.1417323,0.0597015,0.9212598,0.0,0.7954545,0.0,0.0227273,0.0222222,0.0,1.0,0.1111111,0.5,0.0,14999.0
393.0,0.4529262,0.0,0.0966921,0.1023256,0.9236641,0.0,0.8409091,0.0075758,0.030303,0.0434783,0.0,1.0,0.2246377,0.125,0.0,30000.0
563.0,0.4831261,0.1882771,0.0870337,0.0721649,0.8863233,0.0,0.7437186,0.0,0.0653266,0.0339806,0.1658291,0.959799,0.131068,0.1847826,0.0,47700.0
78.0,0.5384615,0.0,0.2179487,0.0833333,0.9358974,0.0,0.8333333,0.0,0.0,0.3877551,0.0,1.0,0.3469388,0.0,1.0,14999.0
296.0,0.5135135,0.0,0.097973,0.0763889,0.9121622,0.0,0.79,0.0,0.04,0.0291262,0.0,1.0,0.0873786,0.2727273,0.0,32600.0
542.0,0.5129151,0.0,0.1365314,0.1174242,0.8523985,0.0202952,0.6941748,0.0097087,0.0145631,0.1234043,0.0,0.9951456,0.2638298,0.097561,0.2857143,23300.0
667.0,0.4077961,0.0,0.3448276,0.2860759,0.7046477,0.143928,0.6255144,0.0041152,0.0123457,0.1163636,0.0,1.0,0.3163636,0.0555556,0.1,25600.0
2732.0,0.5614934,0.0669839,0.0424597,0.0292154,0.2404832,0.6189605,0.5291262,0.0,0.2305825,0.0699774,0.0121359,0.9951456,0.4085779,0.0853081,1.0,50400.0
19507.0,0.4936177,0.111601,0.1150869,0.0926301,0.7561388,0.0218383,0.5689633,0.0043786,0.0874437,0.049106,0.1108822,0.8189311,0.5944159,0.1545699,0.1470588,176300.0
425.0,0.5176471,0.0,0.0988235,0.0731707,0.92,0.0,0.8,0.0071429,0.0285714,0.0410959,0.0,0.9571429,0.1575342,0.1935484,0.5,29700.0
61741.0,0.4693478,0.2362126,0.1534961,0.1255074,0.8277644,0.0195818,0.6709889,0.0036419,0.0388202,0.0832141,0.1906992,0.9932765,0.3539901,0.0851582,0.4433249,39600.0
346.0,0.4479769,0.0,0.3092486,0.2303665,0.800578,0.0,0.6125,0.0125,0.01875,0.1061453,0.0,1.0,0.2458101,0.1538462,0.6666667,14999.0
24587.0,0.4912352,0.007443,0.0565339,0.0373331,0.885712,0.0029284,0.7574241,0.0022244,0.0497164,0.0311422,0.0071182,0.9938828,0.1840517,0.03083,0.575,86200.0
715.0,0.5356643,0.0,0.1328671,0.0783133,0.8657343,0.0223776,0.7416974,0.0,0.0295203,0.0557491,0.0,0.9594096,0.4250871,0.127907,0.0,51700.0
543.0,0.4383057,0.0128913,0.2302026,0.2459016,0.7734807,0.1123389,0.7027027,0.0,0.0324324,0.341637,0.0162162,0.9891892,0.1743772,0.1454545,0.75,44400.0
220.0,0.4636364,0.0,0.1909091,0.1016949,0.8863636,0.0,0.7160494,0.0,0.0246914,0.0581395,0.0,1.0,0.2093023,0.2105263,0.0,14999.0
3035.0,0.4995058,0.014168,0.0971993,0.080316,0.9107084,0.0075783,0.8135081,0.0010081,0.047379,0.0479846,0.0090726,0.9667339,0.2024952,0.126087,0.4666667,148400.0
13986.0,0.5096525,0.038038,0.0652796,0.0527851,0.9365794,0.0376805,0.89367,0.0007112,0.014936,0.0356653,0.0451636,0.9822191,0.2208505,0.4256055,0.625,181000.0
3009.0,0.4602858,0.0003323,0.1335992,0.1182266,0.8454636,0.0249252,0.704287,0.0069991,0.0341207,0.0459098,0.0,0.9650044,0.263773,0.0845921,0.3333333,29000.0
10753.0,0.4713103,0.0270622,0.206175,0.1379068,0.8205152,0.0,0.6429495,0.0023717,0.0482967,0.0415375,0.0269513,0.9890039,0.338293,0.0409739,0.4883721,78600.0
654.0,0.4847095,0.0015291,0.1681957,0.1127596,0.882263,0.0,0.7126437,0.0,0.0076628,0.0333333,0.0,0.9923372,0.2037037,0.1388889,0.0,26400.0
120.0,0.5,0.0,0.125,0.05,0.925,0.0,0.8095238,0.0,0.0238095,0.3731343,0.0,0.9761905,0.3432836,0.2,1.0,26300.0
945.0,0.4550265,0.0042328,0.1587302,0.1203883,0.8952381,0.0,0.7622951,0.0081967,0.0163934,0.1007371,0.0,0.9972678,0.2850123,0.0982143,0.5,30700.0
142.0,0.5,0.0,0.2042254,0.1690141,0.8521127,0.0,0.6666667,0.0,0.0166667,0.1891892,0.0,1.0,0.3648649,0.0833333,1.0,14999.0
231.0,0.4675325,0.0,0.2164502,0.1138211,0.8787879,0.0,0.7333333,0.0111111,0.0333333,0.0217391,0.0,1.0,0.1304348,0.0,1.0,14999.0
283.0,0.4522968,0.0,0.3462898,0.2580645,0.7915194,0.0,0.5827338,0.0,0.0071942,0.2835052,0.0,0.9856115,0.3350515,0.1025641,0.0,30300.0
6041.0,0.463665,0.0014898,0.2135408,0.162037,0.8134415,0.0367489,0.6517041,0.0020781,0.0232751,0.0448591,0.0004156,0.9850374,0.3124256,0.058156,0.5333333,37100.0
915.0,0.4721311,0.0021858,0.2590164,0.1759834,0.8153005,0.0295082,0.6553525,0.0052219,0.0208877,0.0924171,0.0,1.0,0.2654028,0.0,0.5555556,15700.0
1278.0,0.4898279,0.0,0.1025039,0.0904908,0.9053208,0.0,0.7684211,0.0021053,0.0210526,0.0686275,0.0,0.9936842,0.2568627,0.0630631,0.5555556,35500.0
230.0,0.5043478,0.0,0.1652174,0.1491228,0.8956522,0.0,0.75,0.0113636,0.0113636,0.0736842,0.0,1.0,0.1263158,0.0,0.5,14999.0
8263.0,0.5183347,0.005809,0.0816895,0.0605528,0.7871233,0.0304974,0.6340076,0.0104298,0.0840708,0.0583333,0.0069532,0.9804046,0.5613095,0.0918728,0.24,84900.0
331.0,0.5045317,0.0,0.1661631,0.1768293,0.8640483,0.0,0.7014925,0.0074627,0.0298507,0.1066667,0.0,0.9701493,0.1733333,0.0,1.0,29000.0
12101.0,0.4706223,0.0047104,0.1847781,0.1345613,0.7964631,0.0257004,0.6341215,0.0075418,0.05585,0.0626672,0.0028536,0.9808398,0.418418,0.0777154,0.4576271,37400.0
410.0,0.4731707,0.5853659,0.1804878,0.1388889,0.8853659,0.0,0.7267081,0.0062112,0.0124224,0.08,0.5341615,0.9937888,0.2514286,0.1176471,1.0,34300.0
4810.0,0.4713098,0.0002079,0.3403326,0.1616201,0.7700624,0.0,0.6194093,0.0050633,0.0742616,0.3844156,0.0,0.9818565,0.4771429,0.0319285,0.734375,97000.0
9055.0,0.4786306,0.0188846,0.1346218,0.1073925,0.8764219,0.0246273,0.7657738,0.002381,0.0279762,0.028621,0.0196429,0.989881,0.2509396,0.0622837,0.5882353,43700.0
1751.0,0.4825814,0.2004569,0.1113649,0.107064,0.8697887,0.0,0.7084592,0.0045317,0.0407855,0.0894085,0.1722054,0.9833837,0.3768913,0.1403509,1.0,36800.0
371.0,0.5121294,0.0,0.1132075,0.0607735,0.9245283,0.0,0.796875,0.0,0.015625,0.0921986,0.0,0.9921875,0.2198582,0.1363636,0.6666667,18900.0
21.0,0.4285714,0.0,0.3809524,0.0,0.5714286,0.0,0.4,0.0,0.0,0.0625,0.0,0.9333333,0.9375,0.0,0.0,0.0
65.0,0.4461538,0.0,0.1538462,0.1111111,0.8923077,0.0,0.75,0.0,0.0416667,0.1428571,0.0,0.9583333,0.5,0.25,0.0,14999.0
103.0,0.4757282,0.0,0.2135922,0.2037037,0.7961165,0.0,0.5652174,0.0,0.0217391,0.1320755,0.0,1.0,0.2075472,0.0,0.0,14999.0
750.0,0.4653333,0.0026667,0.272,0.1820449,0.7826667,0.076,0.6609589,0.0034247,0.0205479,0.1774648,0.0,0.9931507,0.3380282,0.1282051,0.5454545,14999.0
1810.0,0.481768,0.0016575,0.1618785,0.1353945,0.8508287,0.0546961,0.7630332,0.0015798,0.0315956,0.0261538,0.0,0.9984202,0.2769231,0.083871,1.0,48600.0
232.0,0.5646552,0.0,0.1465517,0.0792079,0.8836207,0.0,0.7325581,0.0116279,0.0232558,0.0652174,0.0,1.0,0.2934783,0.0555556,1.0,22700.0
525.0,0.4971429,0.0,0.1104762,0.125,0.8742857,0.0,0.7165775,0.0106952,0.0320856,0.0360825,0.0,0.9893048,0.2680412,0.1147541,0.0,39100.0
2642.0,0.4882665,0.0325511,0.1419379,0.1161243,0.8576836,0.0208176,0.7175493,0.0062305,0.0373832,0.0577299,0.03946,1.0,0.3189824,0.1076923,0.4444444,31700.0
862.0,0.4582367,0.7320186,0.1032483,0.1199143,0.8990719,0.0,0.7354839,0.0,0.016129,0.1091954,0.7451613,0.9903226,0.4770115,0.1176471,0.8333333,28500.0
34439.0,0.4924069,0.1097012,0.0664944,0.059436,0.8933767,0.0046459,0.7712291,0.0076875,0.0571706,0.0991084,0.106477,0.821154,0.391737,0.1856138,0.2309198,78600.0
392.0,0.4795918,0.3239796,0.125,0.1176471,0.9311224,0.0,0.7923077,0.0,0.0,0.0298507,0.2307692,0.9923077,0.238806,0.4090909,1.0,35600.0
2077.0,0.4472797,0.4342802,0.211844,0.2038328,0.8045258,0.0659605,0.6853503,0.0063694,0.0191083,0.1458107,0.4,0.9923567,0.3220892,0.1111111,0.9285714,39900.0
10953.0,0.4895462,0.0024651,0.1114763,0.0890717,0.90724,0.0,0.7904064,0.0051985,0.0233932,0.0483472,0.0021267,0.9976371,0.2698448,0.0696203,0.5897436,35100.0
34879.0,0.4802603,0.059434,0.096419,0.0781112,0.7399295,0.007569,0.5607828,0.003564,0.1131415,0.0996499,0.0490539,0.93345,0.5094516,0.0449223,0.3474178,76300.0
8584.0,0.501165,0.0241146,0.1058947,0.0824381,0.8646319,0.0,0.6957182,0.0045551,0.0397814,0.0510086,0.0303674,0.9523231,0.3463977,0.0545302,0.5,46200.0
92703.0,0.4624769,0.0102694,0.1807277,0.1366847,0.8288836,0.0188883,0.6637,0.0022786,0.0353859,0.0760867,0.0088197,0.9853631,0.4328421,0.0656269,0.4633028,101200.0
1090.0,0.4651376,0.0,0.2229358,0.212693,0.7788991,0.0678899,0.640553,0.0023041,0.0230415,0.1523438,0.0,0.9815668,0.3808594,0.1011236,0.5,17200.0
819.0,0.4297924,0.008547,0.2869353,0.2291221,0.8021978,0.047619,0.6501458,0.0,0.0087464,0.1425,0.0029155,1.0,0.47,0.0833333,0.8571429,19200.0
76459.0,0.528427,0.0672256,0.1180633,0.0974595,0.7094652,0.1023294,0.603274,0.0038517,0.0814361,0.0472477,0.0490061,0.9258546,0.4854194,0.0791293,0.1170213,209800.0
317.0,0.4858044,0.0,0.1198738,0.0920245,0.9085174,0.0,0.7666667,0.0083333,0.0083333,0.1304348,0.0,1.0,0.3405797,0.1538462,0.6,14999.0
24610.0,0.4815116,0.0411621,0.0559529,0.0448276,0.7921983,0.0022755,0.6647028,0.0031562,0.1269858,0.0419313,0.0398738,0.9543398,0.2199375,0.0716459,0.25,187200.0
193.0,0.5284974,0.0,0.134715,0.1538462,0.8963731,0.0,0.7567568,0.0135135,0.0135135,0.0864198,0.0,1.0,0.382716,0.0,1.0,21300.0
805.0,0.4732919,0.0074534,0.2198758,0.2075472,0.8124224,0.0708075,0.6975089,0.0035587,0.0213523,0.0695364,0.0035587,1.0,0.2251656,0.2068966,1.0,32100.0
704.0,0.4573864,0.0,0.2670455,0.2041885,0.78125,0.0852273,0.6739927,0.0,0.018315,0.1078431,0.0,1.0,0.3627451,0.0617284,1.0,14999.0
1477.0,0.5030467,0.0013541,0.0819228,0.0217984,0.9119838,0.0,0.7996071,0.0019646,0.0471513,0.3267196,0.0,0.9607073,0.4206349,0.1020408,0.7142857,72800.0
308.0,0.512987,0.0,0.1493506,0.1,0.9058442,0.0,0.7592593,0.0,0.0277778,0.092437,0.0,1.0,0.3865546,0.2592593,0.0,15200.0
10891.0,0.4691947,0.1179873,0.1173446,0.1117454,0.8905518,0.0157929,0.7642038,0.0040011,0.0272073,0.0479939,0.1242998,0.9797279,0.2927882,0.0789692,0.1428571,79400.0
3194.0,0.4799624,0.1142768,0.1361929,0.1131848,0.8810269,0.0003131,0.7217538,0.0059022,0.0320405,0.1175595,0.1020236,0.9991568,0.3549107,0.1337047,0.9047619,19200.0
1521.0,0.4852071,0.0026298,0.1505588,0.091954,0.9230769,0.0,0.7955801,0.0,0.0092081,0.0127273,0.0018416,0.9760589,0.1854545,0.0866142,0.0,49800.0
632.0,0.5079114,0.0,0.1455696,0.1093248,0.9224684,0.0,0.7991266,0.0,0.0131004,0.084,0.0,0.9781659,0.068,0.15625,0.8333333,32900.0
58.0,0.4310345,0.0,0.2068966,0.2727273,0.7586207,0.0,0.48,0.0,0.04,0.21875,0.0,0.92,0.28125,0.375,1.0,14999.0
6288.0,0.475827,0.004771,0.2076972,0.1353155,0.8070929,0.0090649,0.6246246,0.0041291,0.0469219,0.1625275,0.0045045,0.725976,0.381641,0.1106965,0.6666667,29200.0
2532.0,0.4308847,0.0189573,0.2290679,0.1866759,0.8112164,0.049763,0.6783626,0.0019493,0.0155945,0.0706522,0.0185185,0.9922027,0.4057971,0.0390625,0.8823529,24500.0
162.0,0.4814815,0.0123457,0.1666667,0.1309524,0.9012346,0.0,0.7288136,0.0,0.0,0.2236842,0.0169492,0.7288136,0.2894737,0.2142857,0.5,15000.0
3247.0,0.4810594,0.0015399,0.210348,0.1560831,0.802279,0.052664,0.6727135,0.0037793,0.0234316,0.158932,0.0015117,0.9916856,0.4132231,0.0719101,0.6415094,38000.0
16162.0,0.4501918,0.368395,0.1936642,0.1533874,0.8372726,0.0068061,0.6607691,0.0019009,0.0250037,0.0644323,0.312765,0.9966369,0.3370725,0.0713755,0.5964912,37000.0
1315.0,0.4555133,0.0,0.2106464,0.1298883,0.895057,0.0,0.7455969,0.0019569,0.0136986,0.0955752,0.0,0.9941292,0.1893805,0.0777778,0.6842105,46800.0
10.0,0.4,0.0,0.1,0.1666667,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32500.0
122.0,0.5163934,0.0,0.2131148,0.0508475,0.8278689,0.0,0.6538462,0.0192308,0.0384615,0.3809524,0.0,1.0,0.3095238,0.1,0.9166667,16300.0
423.0,0.4893617,0.0070922,0.2245863,0.1342593,0.8747045,0.0,0.7068966,0.0,0.0114943,0.1167513,0.0,1.0,0.3147208,0.0625,0.8,15000.0
1349.0,0.4521868,0.0111193,0.2594514,0.1894452,0.7983692,0.0363232,0.642732,0.0035026,0.028021,0.0639344,0.0087566,0.9807356,0.2639344,0.075,1.0,21300.0
279.0,0.4587814,0.0,0.1971326,0.1655629,0.8673835,0.0,0.6814159,0.0,0.0088496,0.1811594,0.0,0.9823009,0.3405797,0.1851852,0.0,18100.0
3928.0,0.4758147,0.0254582,0.1463849,0.1500729,0.8205193,0.0837576,0.7536122,0.0007605,0.0273764,0.03663,0.0205323,0.9923954,0.2380952,0.0906593,0.5833333,44800.0
3661.0,0.4924884,0.045616,0.1398525,0.0775027,0.8456706,0.0095602,0.7096995,0.0047814,0.0635246,0.0291777,0.0389344,0.9952186,0.2619363,0.0094118,0.2222222,67100.0
10034.0,0.4797688,0.0057803,0.0773371,0.0561303,0.5242177,0.2418776,0.5261069,0.0045802,0.1532824,0.0446324,0.0058015,0.9908397,0.457993,0.0378531,0.25,39800.0
507.0,0.5226824,0.0,0.1282051,0.0702479,0.9033531,0.0,0.772973,0.0054054,0.0324324,0.079602,0.0,0.9837838,0.2587065,0.2093023,0.5,33800.0
93.0,0.4086022,0.0,0.0860215,0.0909091,0.9354839,0.0,0.7368421,0.0,0.0526316,0.4864865,0.0,1.0,0.1351351,0.0,1.0,18800.0
944.0,0.470339,0.0,0.128178,0.102,0.8972458,0.0,0.7628571,0.0028571,0.0285714,0.0514905,0.0,0.9914286,0.2303523,0.0707071,0.4,29400.0
99567.0,0.4793255,0.0097221,0.1368024,0.1045099,0.7774363,0.0276196,0.6230601,0.0056027,0.0846348,0.0906878,0.0089246,0.9834895,0.4349992,0.0580696,0.4888889,100500.0
30206.0,0.4708667,0.2721976,0.1529166,0.1312645,0.8441369,0.0308217,0.699697,0.0028515,0.0294065,0.1013773,0.2411335,0.9394047,0.3683536,0.1235069,0.5202703,30900.0
6746.0,0.4816187,0.0219389,0.1675067,0.1292536,0.8190039,0.0168989,0.6622272,0.0099889,0.0469848,0.0367071,0.0203478,0.9966704,0.2626515,0.081266,0.5,34900.0
5791.0,0.4576066,0.0029356,0.2001381,0.1407195,0.8178208,0.0141599,0.6453367,0.0054371,0.0422417,0.0810915,0.0012547,0.9962359,0.2290546,0.0600667,0.375,34200.0
4997.0,0.460076,0.3530118,0.168301,0.158636,0.8599159,0.0242145,0.7186992,0.004336,0.0254743,0.0991211,0.3252033,0.995122,0.2973633,0.1055118,0.7027027,26600.0
464.0,0.4525862,0.0,0.3922414,0.2440945,0.7521552,0.125,0.6871508,0.0,0.0055866,0.0820513,0.0,1.0,0.3128205,0.0454545,0.75,16500.0
4765.0,0.4493179,0.1162644,0.2104932,0.1871189,0.8190976,0.0098636,0.6379723,0.0023912,0.0215208,0.0731383,0.1004304,0.9947394,0.4042553,0.068323,0.6176471,24600.0
2426.0,0.4439406,0.1809563,0.2444353,0.2053373,0.7918384,0.0589448,0.6539235,0.0030181,0.0140845,0.0524309,0.1448692,0.998994,0.3326978,0.0743034,0.3333333,26600.0
842.0,0.4952494,0.0059382,0.1247031,0.12,0.8432304,0.0,0.6555891,0.0090634,0.0392749,0.0293255,0.0030211,0.9818731,0.3049853,0.0666667,0.0,40400.0
892.0,0.4439462,0.0011211,0.3475336,0.2096774,0.8026906,0.0650224,0.6878453,0.0,0.0138122,0.1298077,0.0,0.9834254,0.2692308,0.0675676,0.75,14999.0
13404.0,0.4772456,0.0027604,0.269621,0.1699729,0.8354969,0.0367055,0.6931272,0.0039691,0.0315438,0.0274279,0.0018801,0.8218091,0.4071516,0.2493438,0.2857143,43300.0
398.0,0.4824121,0.0276382,0.178392,0.1650485,0.879397,0.0,0.7423313,0.0,0.0306748,0.1236559,0.0368098,1.0,0.155914,0.0625,1.0,55600.0
132.0,0.5,0.0,0.1666667,0.1060606,0.9090909,0.0,0.7959184,0.0,0.0408163,0.1090909,0.0,1.0,0.3090909,0.0,1.0,25900.0
1050.0,0.467619,0.0,0.1838095,0.157424,0.8133333,0.0609524,0.6966581,0.0,0.033419,0.0323383,0.0,1.0,0.3208955,0.038835,0.5,50500.0
1942.0,0.4958805,0.0061792,0.1555098,0.0837589,0.9088568,0.0,0.7651297,0.0014409,0.018732,0.1515892,0.0043228,0.6743516,0.3814181,0.1619718,0.5714286,22300.0
3271.0,0.4344237,0.9807398,0.0804035,0.092973,0.9269337,0.0,0.8080073,0.0018198,0.0236579,0.1533128,0.977252,0.9963603,0.366718,0.1438515,0.0,30200.0
239.0,0.5020921,0.0,0.2008368,0.1260504,0.9330544,0.0,0.826087,0.0,0.0,0.0980392,0.0,0.9891304,0.245098,0.0,0.8,25100.0
980.0,0.4612245,0.0010204,0.172449,0.1344697,0.8479592,0.0377551,0.718663,0.0111421,0.0167131,0.0452128,0.0,0.9972145,0.3031915,0.09375,0.6666667,35400.0
