age,balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,y
26,2786,23,415,1,-1,0,management,single,tertiary,no,no,no,cellular,mar,unknown,yes
35,184,18,181,2,-1,0,admin.,single,secondary,no,yes,no,cellular,may,unknown,no
40,17,17,192,1,-1,0,technician,married,secondary,no,no,no,telephone,nov,unknown,no
31,1531,28,48,5,-1,0,admin.,single,tertiary,no,yes,no,unknown,may,unknown,no
34,286,13,329,1,-1,0,admin.,single,primary,no,yes,no,cellular,may,unknown,no
50,830,2,60,2,-1,0,management,married,tertiary,no,no,no,unknown,jul,unknown,no
53,207,4,212,1,-1,0,blue-collar,married,primary,no,no,yes,unknown,jul,unknown,no
45,-173,27,315,2,-1,0,admin.,married,secondary,no,yes,no,unknown,may,unknown,no
49,177,28,90,1,204,1,technician,married,secondary,no,yes,yes,cellular,jan,failure,no
45,-320,28,204,3,-1,0,blue-collar,married,unknown,no,yes,no,unknown,may,unknown,no
40,1028,17,319,1,-1,0,blue-collar,married,secondary,no,yes,yes,cellular,apr,unknown,no
29,1992,12,119,2,-1,0,admin.,single,secondary,no,no,no,cellular,apr,unknown,no
42,1812,31,84,2,-1,0,technician,married,secondary,no,yes,no,cellular,jul,unknown,no
48,454,10,114,1,-1,0,technician,married,secondary,no,yes,no,cellular,jul,unknown,no
38,1619,9,324,1,-1,0,technician,single,tertiary,no,no,no,unknown,jun,unknown,no
38,259,18,63,1,-1,0,entrepreneur,married,unknown,no,no,no,cellular,nov,unknown,no
54,162,6,184,1,-1,0,blue-collar,married,primary,no,yes,no,cellular,may,unknown,no
82,0,12,226,1,-1,0,retired,divorced,tertiary,no,no,no,telephone,nov,unknown,yes
48,0,28,123,1,204,1,technician,married,secondary,no,yes,no,cellular,jan,failure,no
24,805,5,169,2,-1,0,admin.,single,tertiary,no,yes,no,cellular,may,unknown,no
33,231,27,198,2,-1,0,technician,single,tertiary,no,yes,no,unknown,may,unknown,no
35,294,9,301,1,90,4,technician,married,secondary,no,yes,no,cellular,mar,success,yes
38,0,11,260,3,95,3,unknown,single,tertiary,no,no,no,cellular,sep,success,yes
53,2647,30,121,1,-1,0,technician,married,secondary,no,yes,no,unknown,may,unknown,no
33,80,22,572,2,-1,0,technician,single,secondary,no,no,no,cellular,aug,unknown,no
37,208,31,350,5,-1,0,self-employed,married,tertiary,no,yes,no,cellular,jul,unknown,no
35,2801,31,184,2,-1,0,management,married,tertiary,no,yes,no,cellular,jul,unknown,no
44,93,7,125,2,-1,0,entrepreneur,married,secondary,no,no,no,cellular,jul,unknown,no
37,46,19,119,4,-1,0,entrepreneur,married,secondary,no,no,yes,cellular,aug,unknown,no
35,907,8,242,1,-1,0,blue-collar,single,secondary,no,yes,yes,unknown,may,unknown,no
38,10,2,86,1,161,5,technician,married,secondary,no,no,no,cellular,feb,other,no
54,122,22,126,3,-1,0,management,married,tertiary,no,yes,no,cellular,jul,unknown,no
32,5670,4,326,1,-1,0,unemployed,single,secondary,no,no,no,cellular,feb,unknown,no
29,-191,14,115,2,-1,0,blue-collar,married,secondary,no,no,yes,cellular,jul,unknown,no
45,644,22,92,1,-1,0,admin.,married,secondary,no,no,yes,telephone,jul,unknown,no
43,6614,30,192,4,-1,0,blue-collar,married,primary,no,no,no,unknown,may,unknown,no
37,767,22,160,2,-1,0,management,single,tertiary,no,no,no,cellular,aug,unknown,no
53,76,16,283,1,-1,0,unemployed,married,secondary,no,yes,yes,unknown,may,unknown,no
34,0,21,872,5,-1,0,services,married,secondary,no,yes,no,unknown,may,unknown,no
35,2486,25,265,1,-1,0,management,single,tertiary,no,yes,no,cellular,may,unknown,no
40,780,12,206,1,357,1,blue-collar,married,primary,no,yes,no,cellular,may,failure,no
32,11697,20,296,1,-1,0,technician,married,secondary,no,yes,no,unknown,may,unknown,no
36,556,18,154,3,189,1,technician,divorced,secondary,no,yes,no,cellular,nov,failure,no
37,4721,28,46,1,-1,0,management,married,primary,no,no,no,telephone,jan,unknown,no
48,4,8,198,1,-1,0,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
45,141,14,21,10,-1,0,blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,no
58,255,28,362,3,-1,0,retired,married,secondary,no,no,no,unknown,may,unknown,no
21,39,6,207,2,-1,0,student,single,secondary,no,no,no,cellular,jul,unknown,no
28,20,28,144,2,-1,0,management,single,tertiary,no,no,no,cellular,jan,unknown,no
39,627,16,32,2,-1,0,management,married,tertiary,no,no,no,unknown,jun,unknown,no
28,3412,15,22,4,-1,0,blue-collar,single,secondary,no,yes,no,cellular,may,unknown,no
35,3863,20,239,1,-1,0,admin.,married,secondary,no,yes,no,cellular,nov,unknown,no
53,197,17,307,1,-1,0,services,married,secondary,no,yes,no,cellular,apr,unknown,no
40,0,26,105,2,172,1,technician,married,secondary,no,yes,yes,cellular,jul,failure,no
54,6191,19,102,2,-1,0,blue-collar,married,primary,no,no,no,cellular,nov,unknown,no
52,225,21,58,2,-1,0,technician,divorced,secondary,no,no,no,cellular,aug,unknown,no
27,1167,29,394,1,-1,0,unemployed,married,secondary,no,no,no,cellular,jan,unknown,no
28,431,13,68,2,363,2,blue-collar,single,primary,no,yes,no,cellular,may,failure,no
52,2102,18,292,2,-1,0,technician,married,secondary,no,yes,no,cellular,jul,unknown,no
35,714,26,135,22,-1,0,management,single,tertiary,no,yes,no,cellular,aug,unknown,no
34,1191,21,383,2,-1,0,admin.,married,secondary,no,yes,no,unknown,may,unknown,no
48,94,12,87,2,-1,0,technician,divorced,secondary,no,yes,no,cellular,may,unknown,no
51,428,18,145,2,-1,0,technician,married,secondary,no,no,yes,cellular,jul,unknown,no
28,356,28,296,1,-1,0,services,divorced,secondary,no,no,no,cellular,jan,unknown,no
39,762,8,288,1,-1,0,admin.,single,secondary,no,yes,no,unknown,may,unknown,no
51,2323,18,151,10,-1,0,technician,divorced,secondary,no,yes,yes,cellular,aug,unknown,no
49,-215,26,155,2,-1,0,technician,married,secondary,no,yes,no,unknown,may,unknown,no
27,3,8,346,2,-1,0,admin.,single,secondary,no,yes,no,cellular,may,unknown,no
29,715,27,170,1,-1,0,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
33,176,12,157,5,-1,0,blue-collar,divorced,secondary,no,yes,no,unknown,may,unknown,no
37,0,7,228,1,-1,0,management,married,tertiary,no,yes,no,unknown,may,unknown,no
36,953,17,80,1,81,2,admin.,married,secondary,no,yes,no,cellular,aug,failure,no
31,1016,20,9,5,-1,0,admin.,single,secondary,no,yes,no,unknown,jun,unknown,no
53,1373,5,78,2,-1,0,admin.,married,secondary,no,no,no,cellular,aug,unknown,no
46,501,14,230,2,-1,0,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
28,737,27,125,1,-1,0,student,single,tertiary,no,yes,no,unknown,may,unknown,no
45,985,13,390,1,-1,0,admin.,married,secondary,no,yes,no,unknown,may,unknown,no
25,4923,19,266,2,219,12,student,married,tertiary,no,yes,yes,cellular,feb,other,no
36,436,13,567,1,595,2,management,single,tertiary,no,no,no,cellular,apr,failure,yes
22,652,31,139,1,-1,0,services,single,secondary,no,no,no,telephone,aug,unknown,no
53,261,14,154,2,336,2,management,married,tertiary,no,yes,no,telephone,may,failure,no
52,7742,11,149,3,-1,0,admin.,married,secondary,no,no,no,cellular,aug,unknown,no
26,0,18,130,4,-1,0,services,married,secondary,no,yes,no,cellular,may,unknown,no
41,-81,2,83,3,-1,0,entrepreneur,married,tertiary,no,no,yes,unknown,jul,unknown,no
33,261,20,252,1,-1,0,blue-collar,married,primary,no,yes,no,cellular,nov,unknown,no
58,928,26,304,1,-1,0,retired,married,primary,no,no,no,cellular,may,unknown,no
48,457,11,199,1,326,5,services,divorced,secondary,no,yes,no,cellular,may,other,no
71,2651,5,531,2,-1,0,retired,married,tertiary,no,no,no,cellular,feb,unknown,no
43,50,28,90,8,-1,0,blue-collar,married,primary,no,no,no,unknown,may,unknown,no
56,5486,30,251,3,-1,0,services,married,secondary,no,yes,no,cellular,jul,unknown,no
58,-354,7,98,1,-1,0,technician,divorced,secondary,no,yes,yes,cellular,jul,unknown,no
30,60,25,61,2,-1,0,admin.,married,secondary,no,no,yes,cellular,jul,unknown,no
50,5361,18,276,3,195,1,admin.,married,secondary,no,no,no,cellular,feb,failure,no
42,341,24,790,3,-1,0,housemaid,married,secondary,no,no,no,unknown,jun,unknown,no
51,8304,12,105,2,-1,0,management,married,tertiary,no,no,no,cellular,aug,unknown,no
20,4137,16,55,2,-1,0,student,single,unknown,no,yes,no,telephone,apr,unknown,no
47,0,21,85,1,198,1,admin.,married,unknown,no,yes,no,cellular,nov,failure,no
24,183,18,453,4,-1,0,services,married,secondary,no,yes,no,cellular,may,unknown,no
63,18016,7,371,1,-1,0,retired,married,secondary,no,no,no,cellular,jul,unknown,yes
56,728,31,107,15,-1,0,retired,married,secondary,no,no,no,cellular,jul,unknown,no
49,495,16,40,5,-1,0,unemployed,divorced,secondary,no,yes,no,unknown,may,unknown,no
32,1118,9,128,2,-1,0,technician,married,secondary,no,yes,yes,unknown,may,unknown,no
30,0,13,150,4,-1,0,technician,single,tertiary,no,yes,no,cellular,aug,unknown,no
44,1467,17,49,1,-1,0,management,divorced,tertiary,no,no,no,unknown,jun,unknown,no
58,-205,3,497,2,-1,0,technician,married,unknown,no,yes,no,unknown,jun,unknown,no
52,990,21,96,2,-1,0,blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
35,118,6,358,2,-1,0,technician,married,tertiary,no,no,no,cellular,aug,unknown,no
34,7279,12,882,1,-1,0,entrepreneur,married,primary,no,yes,no,cellular,may,unknown,yes
29,534,18,382,1,-1,0,technician,single,secondary,no,yes,no,cellular,may,unknown,no
36,1520,22,101,2,-1,0,management,single,tertiary,no,no,no,cellular,aug,unknown,no
43,2271,10,524,1,-1,0,admin.,married,secondary,no,no,no,telephone,nov,unknown,yes
53,8093,19,93,1,-1,0,management,married,tertiary,no,no,no,cellular,nov,unknown,no
47,523,20,7,1,-1,0,self-employed,married,secondary,no,no,no,unknown,jul,unknown,no
52,618,10,352,2,102,2,housemaid,married,primary,no,yes,yes,cellular,aug,failure,no
27,5,19,205,3,-1,0,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,no
49,96,7,51,2,-1,0,management,married,tertiary,no,no,no,cellular,jul,unknown,no
49,399,29,679,1,-1,0,blue-collar,married,primary,no,no,no,cellular,jan,unknown,no
42,199,2,272,1,-1,0,blue-collar,married,primary,no,yes,no,cellular,feb,unknown,no
38,284,3,1030,6,-1,0,blue-collar,married,secondary,no,yes,yes,unknown,jun,unknown,no
42,1162,13,406,5,364,1,management,married,tertiary,no,yes,no,cellular,may,other,no
39,-516,9,86,2,-1,0,services,married,unknown,no,yes,no,unknown,may,unknown,no
48,-361,12,1062,3,349,3,services,divorced,secondary,no,yes,no,cellular,may,other,yes
35,4698,16,359,1,-1,0,admin.,married,secondary,no,yes,no,unknown,jun,unknown,no
34,-45,21,88,4,-1,0,admin.,married,secondary,no,yes,no,cellular,jul,unknown,no
45,171,7,292,1,-1,0,admin.,married,secondary,no,yes,yes,cellular,aug,unknown,no
57,3551,12,458,1,-1,0,admin.,single,secondary,no,yes,no,cellular,may,unknown,yes
47,3531,7,49,6,-1,0,admin.,single,secondary,no,yes,no,cellular,jul,unknown,no
55,5804,24,56,3,-1,0,management,married,tertiary,no,no,no,unknown,jun,unknown,no
39,2226,6,158,1,-1,0,blue-collar,married,primary,no,yes,no,unknown,may,unknown,no
49,375,21,110,7,-1,0,retired,married,primary,no,no,yes,telephone,jul,unknown,no
37,531,17,150,7,-1,0,technician,divorced,secondary,no,no,no,unknown,jun,unknown,no
32,3283,12,623,2,191,2,management,single,tertiary,no,no,no,cellular,aug,success,yes
31,328,14,414,1,175,1,blue-collar,single,tertiary,no,yes,no,cellular,may,failure,no
30,581,21,197,3,-1,0,self-employed,married,secondary,no,yes,no,cellular,nov,unknown,no
37,0,5,309,2,-1,0,blue-collar,single,primary,no,yes,no,unknown,jun,unknown,no
47,275,20,447,4,-1,0,technician,married,secondary,no,no,no,cellular,aug,unknown,no
58,807,7,57,1,366,2,blue-collar,married,unknown,no,yes,no,cellular,may,failure,no
33,901,3,18,5,6,3,admin.,single,secondary,no,no,no,cellular,feb,other,no
25,674,24,736,2,-1,0,blue-collar,single,secondary,no,no,no,cellular,jul,unknown,no
32,3095,12,204,10,-1,0,technician,married,secondary,no,no,no,cellular,aug,unknown,no
57,5368,21,585,1,-1,0,management,single,unknown,no,yes,no,cellular,nov,unknown,no
37,3075,20,29,3,-1,0,housemaid,married,unknown,no,no,no,unknown,jun,unknown,no
31,168,4,193,2,-1,0,self-employed,married,tertiary,no,no,no,cellular,feb,unknown,yes
59,57,22,212,11,-1,0,housemaid,married,primary,no,no,no,cellular,aug,unknown,no
33,-53,29,617,2,-1,0,management,single,tertiary,no,no,no,cellular,jan,unknown,no
55,5345,6,278,1,-1,0,unemployed,married,tertiary,no,no,no,unknown,may,unknown,no
31,-110,26,440,1,-1,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
41,-750,21,251,3,-1,0,blue-collar,married,secondary,yes,yes,yes,cellular,jul,unknown,no
70,2064,22,334,1,-1,0,retired,married,secondary,no,no,no,cellular,oct,unknown,no
32,-32,29,320,1,185,5,admin.,single,secondary,no,no,no,cellular,jan,other,no
27,2329,27,131,1,-1,0,entrepreneur,married,secondary,no,no,no,telephone,oct,unknown,yes
35,556,13,214,1,-1,0,technician,divorced,secondary,no,yes,no,unknown,may,unknown,no
31,424,7,224,2,-1,0,management,single,tertiary,no,no,yes,cellular,aug,unknown,no
35,0,9,42,1,-1,0,services,married,secondary,no,no,yes,telephone,jul,unknown,no
36,386,18,359,2,-1,0,student,single,unknown,no,no,no,unknown,jun,unknown,no
34,471,20,247,1,332,4,management,divorced,tertiary,no,no,no,cellular,apr,failure,no
56,0,19,122,1,-1,0,self-employed,married,tertiary,yes,no,no,cellular,nov,unknown,no
37,153,31,15,26,-1,0,blue-collar,married,primary,no,no,yes,cellular,jul,unknown,no
55,726,16,271,1,-1,0,technician,married,secondary,no,yes,no,unknown,may,unknown,no
56,1181,28,186,1,433,1,technician,married,tertiary,no,no,no,cellular,jan,failure,yes
44,533,8,153,4,171,3,technician,married,secondary,no,yes,no,cellular,may,failure,no
59,941,4,231,1,210,1,retired,married,tertiary,no,no,yes,cellular,feb,failure,no
53,354,29,133,1,226,2,blue-collar,single,primary,no,yes,no,cellular,jan,failure,no
48,3663,19,239,1,-1,0,management,married,secondary,no,yes,no,cellular,nov,unknown,no
33,0,18,114,1,-1,0,entrepreneur,married,tertiary,no,yes,yes,cellular,nov,unknown,no
28,153,23,1124,2,-1,0,student,single,secondary,no,no,no,cellular,jul,unknown,yes
44,8666,6,172,1,-1,0,blue-collar,married,secondary,no,no,no,telephone,apr,unknown,no
35,73,9,134,3,-1,0,blue-collar,married,secondary,no,no,no,unknown,may,unknown,no
25,72,23,305,2,-1,0,services,married,secondary,no,yes,no,cellular,jul,unknown,no
56,5,23,122,3,-1,0,retired,married,tertiary,no,no,no,cellular,jul,unknown,no
37,0,30,100,6,-1,0,student,divorced,tertiary,no,no,no,telephone,jul,unknown,no
38,7303,20,164,6,-1,0,management,single,tertiary,no,yes,no,cellular,apr,unknown,no
51,0,21,322,2,-1,0,blue-collar,divorced,primary,no,yes,no,cellular,jul,unknown,no
35,500,5,177,1,252,1,management,divorced,tertiary,no,yes,no,cellular,feb,failure,no
58,413,27,104,5,-1,0,retired,married,secondary,no,no,no,cellular,aug,unknown,no
31,-1038,16,255,2,-1,0,management,married,tertiary,yes,yes,no,cellular,jul,unknown,no
84,1680,6,113,5,97,3,retired,divorced,primary,no,no,no,telephone,sep,other,no
53,3911,30,63,2,-1,0,management,married,tertiary,no,yes,yes,unknown,may,unknown,no
29,2424,6,93,1,-1,0,unemployed,single,secondary,no,no,no,cellular,feb,unknown,no
30,800,6,95,2,-1,0,self-employed,single,tertiary,no,no,no,unknown,may,unknown,no
31,626,21,211,1,-1,0,admin.,single,secondary,no,yes,no,unknown,may,unknown,no
44,-264,29,227,1,-1,0,self-employed,married,secondary,no,yes,no,cellular,jan,unknown,no
50,5164,12,117,5,-1,0,unemployed,married,secondary,no,no,no,unknown,jun,unknown,no
34,4953,7,235,2,-1,0,technician,married,tertiary,no,no,no,cellular,aug,unknown,no
30,1692,28,141,2,-1,0,technician,single,secondary,no,yes,yes,unknown,may,unknown,no
31,714,23,254,1,-1,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
36,2151,13,134,1,370,1,technician,single,secondary,no,yes,no,cellular,may,failure,no
31,7118,8,795,6,170,3,self-employed,single,unknown,no,yes,no,cellular,may,failure,no
54,2171,18,1034,1,-1,0,management,divorced,tertiary,no,yes,yes,telephone,nov,unknown,yes
42,10072,16,137,3,208,1,self-employed,married,tertiary,no,no,no,cellular,nov,failure,no
26,690,5,76,3,-1,0,management,single,tertiary,no,no,no,cellular,feb,unknown,no
23,2211,15,210,2,-1,0,services,married,secondary,no,yes,no,cellular,may,unknown,no
55,2206,12,265,1,91,5,unknown,married,secondary,no,no,no,cellular,aug,success,yes
24,387,4,340,8,-1,0,student,single,secondary,no,no,no,telephone,may,unknown,yes
26,376,2,237,2,-1,0,student,single,tertiary,no,no,no,telephone,feb,unknown,no
34,0,20,110,3,269,2,technician,divorced,secondary,no,yes,yes,cellular,apr,other,no
38,-104,28,13,17,-1,0,technician,married,secondary,no,no,no,cellular,aug,unknown,no
43,1318,11,10,8,-1,0,entrepreneur,married,primary,no,yes,yes,telephone,may,unknown,no
38,3598,6,154,1,-1,0,blue-collar,married,secondary,no,no,no,unknown,jun,unknown,no
31,12857,4,483,4,87,2,management,single,tertiary,no,yes,no,telephone,may,success,yes
43,350,4,128,1,-1,0,management,divorced,tertiary,no,yes,no,unknown,jun,unknown,no
27,1,12,86,1,-1,0,admin.,single,secondary,no,yes,no,unknown,may,unknown,no
51,1854,7,166,3,338,2,management,married,tertiary,no,yes,yes,cellular,may,failure,no
26,-759,11,191,1,-1,0,housemaid,married,secondary,no,yes,no,cellular,jul,unknown,no
59,0,19,239,1,-1,0,entrepreneur,married,primary,no,no,no,unknown,jun,unknown,no
53,359,8,238,8,-1,0,blue-collar,married,secondary,no,no,yes,unknown,may,unknown,no
33,2126,8,174,2,-1,0,management,married,tertiary,no,no,no,cellular,aug,unknown,no
37,36,13,428,1,-1,0,admin.,married,secondary,no,yes,no,unknown,may,unknown,no
40,3311,26,243,6,-1,0,blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,no
38,889,18,362,1,-1,0,blue-collar,divorced,secondary,no,no,yes,unknown,jun,unknown,no
56,-8,6,159,2,-1,0,services,married,secondary,yes,no,no,cellular,aug,unknown,no
50,49,5,180,2,-1,0,management,married,secondary,no,yes,no,unknown,may,unknown,no
34,1406,27,145,1,-1,0,admin.,married,secondary,no,yes,no,cellular,may,unknown,yes
41,1077,9,207,3,387,2,unemployed,married,secondary,no,yes,yes,telephone,dec,failure,yes
55,0,18,984,2,-1,0,housemaid,married,primary,no,no,no,cellular,aug,unknown,no
59,1040,5,123,2,-1,0,housemaid,married,secondary,no,no,no,cellular,aug,unknown,no
51,52,13,114,2,-1,0,technician,married,secondary,no,no,no,cellular,aug,unknown,no
33,475,7,1046,1,-1,0,admin.,single,tertiary,no,yes,no,cellular,may,unknown,yes
45,11,22,247,1,-1,0,technician,single,secondary,no,no,no,cellular,aug,unknown,no
50,246,17,270,1,123,2,technician,single,secondary,no,yes,no,cellular,nov,failure,no
34,6662,14,308,2,-1,0,services,married,secondary,no,yes,yes,cellular,apr,unknown,no
39,804,21,193,8,203,1,unemployed,single,secondary,no,no,no,cellular,dec,success,no
47,289,5,210,1,-1,0,unemployed,single,primary,no,no,no,cellular,feb,unknown,no
58,0,13,181,1,-1,0,blue-collar,married,primary,no,no,no,telephone,aug,unknown,no
33,6127,8,127,3,-1,0,technician,single,tertiary,no,no,no,cellular,aug,unknown,no
36,160,30,344,2,-1,0,blue-collar,married,secondary,no,yes,no,cellular,jan,unknown,no
38,1655,29,392,2,-1,0,technician,single,secondary,no,no,no,cellular,jul,unknown,no
28,902,28,296,2,-1,0,blue-collar,married,tertiary,no,yes,no,telephone,jul,unknown,no
33,272,18,166,2,-1,0,technician,married,secondary,no,yes,no,cellular,jul,unknown,no
49,518,29,1917,2,-1,0,unemployed,married,primary,no,no,no,cellular,jan,unknown,yes
34,384,6,127,2,831,1,technician,married,secondary,no,yes,no,cellular,sep,other,no
26,2158,5,227,1,-1,0,services,single,secondary,no,yes,yes,telephone,jun,unknown,no
51,390,30,102,3,-1,0,housemaid,married,tertiary,no,yes,no,cellular,jul,unknown,no
58,2074,18,259,2,-1,0,retired,married,primary,no,no,no,cellular,jun,unknown,yes
31,1660,20,342,1,-1,0,blue-collar,married,secondary,no,yes,no,cellular,apr,unknown,no
47,0,19,563,2,-1,0,entrepreneur,married,secondary,no,no,no,unknown,jun,unknown,no
56,4246,6,304,2,-1,0,admin.,divorced,unknown,no,yes,no,unknown,may,unknown,no
37,262,8,268,1,281,4,technician,divorced,secondary,no,yes,no,cellular,may,other,no
56,1947,3,124,1,34,2,retired,married,primary,no,no,no,cellular,jun,failure,no
58,3337,8,369,2,690,3,admin.,divorced,secondary,no,yes,no,telephone,oct,failure,yes
30,893,26,45,3,-1,0,technician,single,secondary,no,no,no,cellular,aug,unknown,no
34,1009,12,68,2,-1,0,management,single,tertiary,no,yes,no,cellular,aug,unknown,no
54,-337,12,288,2,-1,0,admin.,married,unknown,no,yes,no,unknown,may,unknown,no
31,144,4,43,11,-1,0,admin.,single,secondary,no,yes,no,unknown,jul,unknown,no
51,1242,25,75,11,-1,0,self-employed,married,primary,no,no,no,cellular,aug,unknown,no
37,3574,2,152,2,-1,0,blue-collar,married,primary,no,yes,no,unknown,jun,unknown,no
52,1415,4,163,1,-1,0,management,married,tertiary,no,no,no,cellular,aug,unknown,no
38,238,30,376,8,-1,0,technician,married,secondary,yes,no,no,cellular,jul,unknown,no
52,1944,15,238,3,323,2,management,married,tertiary,no,yes,no,cellular,apr,failure,no
48,861,9,49,6,-1,0,blue-collar,married,secondary,no,no,no,telephone,feb,unknown,no
46,9319,21,31,7,-1,0,admin.,married,secondary,no,yes,no,cellular,nov,unknown,no
45,1670,24,171,1,-1,0,blue-collar,married,primary,no,no,yes,cellular,jul,unknown,no
31,1463,11,97,2,-1,0,technician,single,tertiary,no,no,no,cellular,aug,unknown,no
37,1609,20,10,19,-1,0,technician,single,tertiary,no,no,yes,unknown,jun,unknown,no
33,577,15,59,4,-1,0,blue-collar,single,primary,no,yes,no,cellular,may,unknown,no
30,194,27,60,3,-1,0,technician,single,secondary,no,no,yes,cellular,aug,unknown,no
34,412,13,217,1,287,2,admin.,married,primary,no,yes,no,cellular,may,failure,no
34,587,4,77,8,-1,0,blue-collar,married,secondary,no,yes,no,unknown,jun,unknown,no
59,1553,18,79,2,-1,0,entrepreneur,married,tertiary,no,no,yes,cellular,nov,unknown,no
47,4556,14,146,1,-1,0,management,divorced,tertiary,no,yes,no,unknown,may,unknown,no
34,333,26,90,4,-1,0,management,married,secondary,no,no,no,cellular,aug,unknown,no
43,370,4,257,1,-1,0,services,single,secondary,no,yes,no,cellular,feb,unknown,no
37,2642,25,591,3,-1,0,technician,single,tertiary,no,yes,no,cellular,jul,unknown,no
30,270,9,123,1,-1,0,admin.,single,secondary,no,no,no,cellular,feb,unknown,yes
37,400,16,244,1,-1,0,management,single,tertiary,no,yes,no,unknown,jun,unknown,no
81,0,11,198,1,-1,0,retired,married,primary,no,no,no,telephone,aug,unknown,no
47,7985,29,347,1,-1,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,no
39,2,11,62,1,-1,0,services,divorced,secondary,no,yes,yes,unknown,jun,unknown,no
32,-213,28,310,7,-1,0,technician,married,secondary,no,yes,no,cellular,aug,unknown,no
27,377,21,171,3,91,1,management,single,tertiary,no,no,no,cellular,aug,failure,no
42,2103,13,384,2,-1,0,blue-collar,married,primary,no,yes,no,cellular,apr,unknown,yes
38,381,29,126,2,-1,0,technician,married,secondary,no,yes,no,unknown,may,unknown,no
44,-24,7,564,1,-1,0,blue-collar,single,primary,no,no,no,telephone,jul,unknown,no
37,561,4,204,2,-1,0,management,married,tertiary,no,no,no,cellular,aug,unknown,no
33,340,8,348,2,-1,0,technician,single,tertiary,no,no,no,cellular,aug,unknown,no
31,-120,3,100,3,201,2,blue-collar,married,unknown,no,yes,no,cellular,feb,failure,no
60,-46,23,132,2,-1,0,services,married,secondary,no,no,no,unknown,may,unknown,no
50,354,7,123,2,-1,0,blue-collar,married,primary,yes,yes,no,unknown,may,unknown,no
43,-236,28,745,7,-1,0,services,married,secondary,no,yes,no,cellular,jul,unknown,yes
46,466,29,169,1,-1,0,admin.,married,secondary,no,yes,no,cellular,jan,unknown,no
34,105,28,249,2,-1,0,entrepreneur,married,tertiary,no,yes,no,unknown,may,unknown,no
52,821,8,426,2,-1,0,services,married,primary,no,yes,yes,cellular,apr,unknown,no
48,2321,27,218,7,-1,0,blue-collar,married,primary,no,no,no,cellular,aug,unknown,no
